Title,Artist,Year,Country,Thumbnail
b'Judith and her Maidservant',b'Artemisia Gentileschi',b'1618',b'IT',https://az333960.vo.msecnd.net/images-3/judith-and-her-maidservant-artemisia-gentileschi-1618-b5199e1f.jpg
b'La Bella',b'Titian',b'1536',b'IT',https://az333960.vo.msecnd.net/images-5/la-bella-titian-1536-df83a394.jpg
b'Portrait of Tommaso Inghirami',b'Raphael',b'1509',b'IT',https://az334034.vo.msecnd.net/images-4/portrait-of-tommaso-inghirami-raphael-1509-0490423e.jpg
b'Madonna of the Basket',b'Peter Paul Rubens',b'1615',b'NL',https://az334034.vo.msecnd.net/images-9/madonna-of-the-basket-peter-paul-rubens-1615-cd65afe6.jpg
b'Madonna del Baldacchino',b'Raphael',b'1506',b'IT',https://az333960.vo.msecnd.net/images-1/madonna-del-baldacchino-raphael-1506-676173c7.jpg
b'Portrait of Agnolo Doni',b'Raphael',b'1506',b'IT',https://az334033.vo.msecnd.net/images-2/portrait-of-agnolo-doni-raphael-1506-8821925c.jpg
b'Untitled',b'Sandro Botticelli',b'1495',b'IT',https://az333960.vo.msecnd.net/images-3/untitled-sandro-botticelli-1495-af2f6dd3.jpg
b'Portrait of Vincenzo Mosti',b'Titian',b'1520',b'IT',https://az334033.vo.msecnd.net/images-3/portrait-of-vincenzo-mosti-titian-1520-4449cc8e.jpg
b'Die zehntausend M\xc3\xa4rtyrer',b'Pontormo',b'1530',b'IT',https://az334033.vo.msecnd.net/images-0/untitled-pontormo-1529-d73f35c0.jpg
b'La velata',b'Raphael',b'1516',b'IT',https://az334034.vo.msecnd.net/images-3/la-velata-raphael-1516-1161565a.jpg
b"Ezekiel's Vision",b'Raphael',b'1518',b'IT',https://az333959.vo.msecnd.net/images-4/ezekiel-s-vision-raphael-1518-f59ba6b7.jpg
b'Portrait of a Young Woman',b'Sandro Botticelli',b'1475',b'IT',https://az334034.vo.msecnd.net/images-9/untitled-sandro-botticelli-1485-53587956.jpg
b'Madonna del Granduca',b'Raphael',b'1505',b'IT',https://az334033.vo.msecnd.net/images-8/madonna-del-granduca-raphael-1505-72adf434.jpg
|b'Virgin and Child, with rosary'|,b'Bartolom\xc3\xa9 Esteban Murillo',b'rosary',b'ES',https://az334034.vo.msecnd.net/images-3/virgin-and-child-with-rosary-bartolome-esteban-murillo-f1b0d58d.jpg
b"Madonna dell'Impannata",b'Raphael',b'1513',b'IT',https://az333959.vo.msecnd.net/images-2/madonna-dell-impannata-raphael-1513-70405bda.jpg
b'Annunciation',b'Andrea del Sarto',b'1513',,https://az334034.vo.msecnd.net/images-2/untitled-andrea-del-sarto-1513-2-792ea5bd.jpg
b'Virgin with the Child and Scenes from the Life of St Anne',b'Fra Filippo Lippi',b'1452',b'IT',https://az334034.vo.msecnd.net/images-5/untitled-filippo-lippi-1452-d40f8e05.jpg
b'Disputation on the Trinity',b'Andrea del Sarto',b'1517',,https://az334033.vo.msecnd.net/images-5/disputation-on-the-trinity-andrea-del-sarto-1517-514a7637.jpg
