Title,Artist,Year,Country,Thumbnail
b'Virgin of the Sea',b'Sandro Botticelli',b'1477',b'IT',https://az334034.vo.msecnd.net/images-2/virgin-of-the-sea-sandro-botticelli-1477-8c8b37e0.jpg
b'Venus and Cupid',b'Pontormo',b'1533',b'IT',https://az334033.vo.msecnd.net/images-1/untitled-pontormo-1533-eb299325.jpg
b'Untitled',b'Pacino di Buonaguida',b'1305',,https://az334033.vo.msecnd.net/images-8/untitled-pacino-di-buonaguida-1305-9c84de19.jpg
b'Untitled',b'Paolo Uccello',b'1460',b'IT',https://az333959.vo.msecnd.net/images-1/untitled-paolo-uccello-1460-0ede4e1e.jpg
b'Vallombrosa Altarpiece',b'Pietro Perugino',b'1500',b'IT',https://az334034.vo.msecnd.net/images-3/vallombrosa-altarpiece-pietro-perugino-1500-0e724201.jpg
b'The Visitation',b'Pietro Perugino',b'1472',b'IT',https://az334033.vo.msecnd.net/images-3/the-visitation-pietro-perugino-1472-b7d89c89.jpg
b'Untitled',b'Domenico Ghirlandaio',b'1493',,https://az334033.vo.msecnd.net/images-8/untitled-domenico-ghirlandaio-1493-a2d9ab05.jpg
b'Untitled',b'Filippino Lippi',b'1500',b'IT',https://az334034.vo.msecnd.net/images-2/untitled-filippino-lippi-1500-2-c5b0b87c.jpg
b'Untitled',b'Alessandro Allori',b'1579',b'IT',https://az334034.vo.msecnd.net/images-7/untitled-alessandro-allori-1579-0b729be7.jpg
b'Annunciation Triptych',b'Lorenzo Monaco',b'1406',,https://az333960.vo.msecnd.net/images-8/annunciation-triptych-lorenzo-monaco-1406-931949cb.jpg
b'Madonna and Child with Saint John the Baptist and Two Angels',b'Sandro Botticelli',b'1470',b'IT',https://az333959.vo.msecnd.net/images-1/madonna-and-child-with-saint-john-the-baptist-and-two-angels-sandro-botticelli-1470-1d1541d8.jpg
b'Untitled',b'Bernardo Daddi',b'1340',,https://az334034.vo.msecnd.net/images-3/untitled-bernardo-daddi-1340-9a825c5c.jpg
b'Untitled',b'Master of Saint Cecilia',b'1320',,https://az333960.vo.msecnd.net/images-0/untitled-master-of-saint-cecilia-1320-bb39c324.jpg
b'The Annunciation',b'Filippino Lippi',b'1460',b'IT',https://az333960.vo.msecnd.net/images-3/the-annunciation-filippino-lippi-1460-b4138efe.jpg
b'Annunziata Polyptych',b'Pietro Perugino',b'1504',b'IT',https://az334033.vo.msecnd.net/images-5/annunziata-polyptych-pietro-perugino-1504-9384710e.jpg
b'Untitled',b'Nardo di Cione',b'1365',,https://az334034.vo.msecnd.net/images-5/untitled-nardo-di-cione-1365-f0c6b80c.jpg
b'Untitled',b'Giovanni dal Ponte',b'1420',,https://az333960.vo.msecnd.net/images-6/untitled-giovanni-dal-ponte-1420-ecf24c07.jpg
b'Untitled',b'Filippino Lippi',b'1500',b'IT',https://az334034.vo.msecnd.net/images-3/untitled-filippino-lippi-1500-82efb8c4.jpg
