Title,Artist,Year,Country,Thumbnail
|b'Head of a Young Woman, La Scapigliata'|,b'Leonardo da Vinci',b'1508',b'IT',https://az333960.vo.msecnd.net/images-8/head-of-a-woman-leonardo-da-vinci-1508-3d35ef06.jpg
b'Martyrdom of Four Saints',b'Antonio da Correggio',b'1524',b'IT',https://az334033.vo.msecnd.net/images-2/martyrdom-of-four-saints-antonio-da-correggio-1524-1a5d16f9.jpg
b'Montini Altarpiece',b'Cima da Conegliano',b'1506',,https://az334033.vo.msecnd.net/images-0/montini-altarpiece-cima-da-conegliano-1506-95b97b19.jpg
b'Madonna and Child',b'Anthony van Dyck',b'Child',b'NL',https://az334034.vo.msecnd.net/images-8/madonna-and-child-anthony-van-dyck-4aeab040.jpg
b'Madonna of St. Jerome',b'Antonio da Correggio',b'1528',b'IT',https://az333960.vo.msecnd.net/images-5/madonna-of-st-jerome-antonio-da-correggio-1528-3dd2c1c8.jpg
b'Untitled',b'Parmigianino',b'Untitled',b'IT',https://az334034.vo.msecnd.net/images-7/untitled-parmigianino-188150a1.jpg
b'Untitled',b'Agnolo Gaddi',b'Untitled',,https://az333959.vo.msecnd.net/images-5/untitled-agnolo-gaddi-2141e222.jpg
b'Untitled',b'Dosso Dossi',b'Untitled',b'IT',https://az333959.vo.msecnd.net/images-4/untitled-dosso-dossi-1-f6388d4b.jpg
b'Untitled',b'Pieter Mulier',b'Untitled',,https://az333960.vo.msecnd.net/images-2/untitled-pieter-mulier-1-2a51be58.jpg
b'Untitled',b'Antonio da Correggio',b'1523',b'IT',https://az334033.vo.msecnd.net/images-0/untitled-antonio-da-correggio-1523-19f45dde.jpg
b'Turkish Slave',b'Parmigianino',b'1533',b'IT',https://az334033.vo.msecnd.net/images-4/turkish-slave-parmigianino-1533-f37cabc0.jpg
b'Capriccio with the Capitol',b'Bernardo Bellotto',b'1742',b'IT',https://az334034.vo.msecnd.net/images-2/capriccio-with-the-capitol-bernardo-bellotto-1742-8e5e1cb7.jpg
b'Lamentation over the Dead Christ',b'Antonio da Correggio',b'1524',b'IT',https://az334034.vo.msecnd.net/images-2/lamentation-over-the-dead-christ-antonio-da-correggio-1524-61365a99.jpg
b'Capriccio with the Colosseum',b'Bernardo Bellotto',b'1743',b'IT',https://az333959.vo.msecnd.net/images-5/capriccio-with-the-colosseum-bernardo-bellotto-1743-e3e467c8.jpg
b'Untitled',b'Cima da Conegliano',b'1505',,https://az334033.vo.msecnd.net/images-4/untitled-cima-da-conegliano-1505-2-1e5a7895.jpg
|b'Capriccio: a Palladian Design for the Rialto Bridge, with...'|,b'Canaletto',b'1756',b'IT',https://az334033.vo.msecnd.net/images-9/capriccio-a-palladian-design-for-the-rialto-bridge-with-buildings-at-vicenza-canaletto-1756-d91589fe.jpg
b'Untitled',b'Guercino',b'Untitled',b'IT',https://az334033.vo.msecnd.net/images-5/untitled-guercino-4-69ee9ff7.jpg
b'Untitled',b'Antonio da Correggio',b'1521',b'IT',https://az334033.vo.msecnd.net/images-6/untitled-antonio-da-correggio-1521-858c150e.jpg
b'Pope Paul III with a Nephew',b'Sebastiano del Piombo',b'1534',b'IT',https://az333959.vo.msecnd.net/images-4/pope-paul-iii-with-a-nephew-sebastiano-del-piombo-1534-52340701.jpg
b'Madonna col Bambino e i santi Luigi Gonzaga e Stanislao...',b'Giuseppe Maria Crespi',b'1726',,https://az333959.vo.msecnd.net/images-7/madonna-col-bambino-e-i-santi-luigi-gonzaga-e-stanislao-kostka-giuseppe-maria-crespi-1726-6e9beb47.jpg
b'Deposizione di Cristo nel sepolcro',b'Bartolomeo Schedoni',b'1613',,https://az334034.vo.msecnd.net/images-2/deposizione-di-cristo-nel-sepolcro-bartolomeo-schedoni-1613-28ec6585.jpg
|b'Portrait of Marie-Louise, Duchess of Parma and Piacenza'|,b'Giovanni Battista Borghesi',b'1837',,https://az333959.vo.msecnd.net/images-4/portrait-of-marie-louise-duchess-of-parma-and-piacenza-giovanni-battista-borghesi-1837-280a1364.jpg
b'The Artist and his Wife',b'Giuseppe Baldrighi',b'1757',,https://az333960.vo.msecnd.net/images-7/the-artist-and-his-wife-giuseppe-baldrighi-1757-99f1da30.jpg
b'Ritratto di Bartolomeo Prati',b'Girolamo Mazzola Bedoli',b'1542',,https://az334034.vo.msecnd.net/images-7/ritratto-di-bartolomeo-prati-girolamo-mazzola-bedoli-1542-418fc900.jpg
|b'Dispensa con selvaggina, punta di formaggio, limoni,...'|,b'Felice Boselli',b'1690',,https://az334033.vo.msecnd.net/images-0/dispensa-con-selvaggina-punta-di-formaggio-limoni-gatto-colomba-e-porcellino-d-india-felice-boselli-1690-adb8bdaf.jpg
b'Self-Portrait',b'Annibale Carracci',b'1593',b'IT',https://az333960.vo.msecnd.net/images-7/self-portrait-annibale-carracci-1593-fde269b1.jpg
b'Sposalizio della Vergine',b'Giulio Cesare Procaccini',b'1617',,https://az333959.vo.msecnd.net/images-1/sposalizio-della-vergine-giulio-cesare-procaccini-1617-89955193.jpg
b'Marie al sepolcro',b'Bartolomeo Schedoni',b'1613',,https://az334034.vo.msecnd.net/images-8/marie-al-sepolcro-bartolomeo-schedoni-1613-31d0cb06.jpg
b'Portraint of Princess Maria Carolina of Bourbon with Diadem',b'Anton Graff',b'1792',,https://az333959.vo.msecnd.net/images-4/portraint-of-princess-maria-carolina-of-bourbon-with-diadem-anton-graff-1792-c2376657.jpg
b'Incoronazione della Vergine e santi',b'Gherardo Starnina',b'1404',,https://az334034.vo.msecnd.net/images-6/incoronazione-della-vergine-e-santi-gherardo-starnina-1404-f66ad7eb.jpg
