Title,Artist,Year,Country,Thumbnail
b'Valenza Gradenigo before the Inquisition',b'Francesco Hayez',b'1835',b'IT',https://az333960.vo.msecnd.net/images-6/valenza-gradenigo-before-the-inquisition-francesco-hayez-1835-944059ba.jpg
b'Imaginary View',b'Giovanni Migliara',b'View',,https://az334033.vo.msecnd.net/images-0/imaginary-view-giovanni-migliara-980f0038.jpg
b'The Death of Abradates',b'Francesco Hayez',b'Abradates',b'IT',https://az333960.vo.msecnd.net/images-0/the-death-of-abradates-francesco-hayez-5bb52c2d.jpg
b'Spring',b'Filippo Palizzi',b'1868',,https://az333959.vo.msecnd.net/images-9/spring-filippo-palizzi-1868-490077cb.jpg
b'La partenza del garibaldino',b'Gerolamo Induno',b'1860',,https://az333960.vo.msecnd.net/images-0/la-partenza-del-garibaldino-gerolamo-induno-1860-aa6ff9eb.jpg
b'The Return from the Festival',b'Mos\xc3\xa8 Bianchi',b'1880',,https://az334034.vo.msecnd.net/images-4/the-return-from-the-festival-mose-bianchi-1880-c16740f5.jpg
b'The Confession',b'Giuseppe Molteni',b'1838',,https://az333959.vo.msecnd.net/images-4/the-confession-giuseppe-molteni-1838-d167e736.jpg
b'Untitled',b'Vincenzo Irolli',b'1900',,https://az333959.vo.msecnd.net/images-7/untitled-vincenzo-irolli-1900-46ba132c.jpg
b'Pope Urban II preaching the first crusade in the square...',b'Francesco Hayez',b'1835',b'IT',https://az334033.vo.msecnd.net/images-1/pope-urban-ii-preaching-the-first-crusade-in-the-square-of-clermont-francesco-hayez-1835-0e3a43fc.jpg
b'Il coro della chiesa di Abate a Milano.',b'Giovanni Segantini',b'1879',,https://az333960.vo.msecnd.net/images-1/il-coro-della-chiesa-di-abate-a-milano-giovanni-segantini-1879-720e5663.jpg
b'Pescarenico',b'Gerolamo Induno',b'1862',,https://az334033.vo.msecnd.net/images-5/pescarenico-gerolamo-induno-1862-1b270f33.jpg
