Title,Artist,Year,Country,Thumbnail
b'Wisteria',b'Claude Monet',b'1925',b'FR',https://az334034.vo.msecnd.net/images-8/untitled-claude-monet-11-a2e4529e.jpg
b'The Red Tree',b'Piet Mondrian',b'1909',b'NL',https://az333960.vo.msecnd.net/images-5/the-red-tree-piet-mondrian-1909-8a633479.jpg
b'Flowering Garden with Path',b'Vincent van Gogh',b'1888',b'NL',https://az334034.vo.msecnd.net/images-4/untitled-vincent-van-gogh-20-7d034271.jpg
b'Poppy field',b'Vincent van Gogh',b'field',b'NL',https://az334033.vo.msecnd.net/images-5/untitled-vincent-van-gogh-23-84165c60.jpg
|b'Composition with Red, Yellow, Blue, and Black'|,b'Piet Mondrian',b'1921',b'NL',https://az334033.vo.msecnd.net/images-0/composition-with-red-yellow-blue-and-black-piet-mondrian-1921-69a0071e.jpg
b'Abundance',b'Henri Le Fauconnier',b'1911',b'FR',https://az334034.vo.msecnd.net/images-5/abundance-henri-le-fauconnier-1911-958a8788.jpg
b'White Rose in a Glass',b'Piet Mondrian',b'1921',b'NL',https://az333959.vo.msecnd.net/images-0/white-rose-in-a-glass-piet-mondrian-1921-27e4b212.jpg
b'Tea at Fehmarn',b'Ernst Ludwig Kirchner',b'1920',b'DE',https://az333959.vo.msecnd.net/images-6/tea-at-fehmarn-ernst-ludwig-kirchner-1914-02d19b99.jpg
b'Portrait of a Girl with Flowers',b'Piet Mondrian',b'1901',b'NL',https://az333960.vo.msecnd.net/images-7/portrait-of-a-girl-with-flowers-piet-mondrian-1900-a7ae404e.jpg
b'Trees by the Gein at Moonrise',b'Piet Mondrian',b'1907',b'NL',https://az333959.vo.msecnd.net/images-1/trees-by-the-gein-at-moonrise-piet-mondrian-1907-d817afa1.jpg
b'Portrait Of Edith Schiele In A Striped Dress',b'Egon Schiele',b'1915',b'AT',https://az333960.vo.msecnd.net/images-6/untitled-egon-schiele-1915-1-ddd19a03.jpg
b'Composition Trees II',b'Piet Mondrian',b'1912',b'NL',https://az334033.vo.msecnd.net/images-2/composition-trees-ii-piet-mondrian-1912-bb34e6b6.jpg
b'Fishing Boat',b'Jacob Maris',b'1878',b'NL',https://az333960.vo.msecnd.net/images-7/fishing-boat-jacob-maris-3ebf8970.jpg
|b'Girl knitting on a balcony, Montmartre'|,b'Jacob Maris',b'1869',b'NL',https://az334033.vo.msecnd.net/images-0/untitled-jacob-maris-1869-a0596cba.jpg
b'Landscape at Night',b'Piet Mondrian',b'1907',b'NL',https://az334033.vo.msecnd.net/images-7/landscape-at-night-piet-mondrian-b6337e75.jpg
b'Woods near Oele',b'Piet Mondrian',b'1908',b'NL',https://az334034.vo.msecnd.net/images-2/woods-near-oele-piet-mondrian-1908-23bf89fe.jpg
b'Dune III',b'Piet Mondrian',b'III',b'NL',https://az333960.vo.msecnd.net/images-5/dune-iii-piet-mondrian-c5a02502.jpg
b'Devotion',b'Piet Mondrian',b'1908',b'NL',https://az333960.vo.msecnd.net/images-0/devotion-piet-mondrian-1908-d0bdb51b.jpg
|b'Cassis, Cap Lombard, Opus 196'|,b'Paul Signac',b'1889',b'FR',https://az333960.vo.msecnd.net/images-1/untitled-paul-signac-1-fdecc3e8.jpg
b'Lighthouse in Westkapelle',b'Piet Mondrian',b'1909',b'NL',https://az334033.vo.msecnd.net/images-3/lighthouse-in-westkapelle-piet-mondrian-1909-1-e2f0a439.jpg
b'Church at Domburg',b'Piet Mondrian',b'1909',b'NL',https://az333960.vo.msecnd.net/images-4/church-at-domburg-piet-mondrian-1909-a0b00c81.jpg
b'Untitled',b'Jacob Maris',b'Untitled',b'NL',https://az333960.vo.msecnd.net/images-8/untitled-jacob-maris-5-1d9e279f.jpg
b'Fishing boat on the beach',b'Anton Mauve',b'1882',b'NL',https://az333959.vo.msecnd.net/images-0/fishing-boat-on-the-beach-anton-mauve-1882-abc10d12.jpg
b'Gray Tree',b'Piet Mondrian',b'Tree',b'NL',https://az333960.vo.msecnd.net/images-3/gray-tree-piet-mondrian-651384a8.jpg
b'Untitled',b'Jozef Isra\xc3\xabls',b'Untitled',b'NL',https://az333960.vo.msecnd.net/images-2/untitled-jozef-israels-3-b9535224.jpg
b'The Oostzijdse Molen by Night',b'Piet Mondrian',b'1907',b'NL',https://az334033.vo.msecnd.net/images-5/the-oostzijdse-molen-by-night-piet-mondrian-1907-7d4c8aaf.jpg
b'Self-portrait with pince-nez',b'George Hendrik Breitner',b'1882',b'NL',https://az334033.vo.msecnd.net/images-0/untitled-george-hendrik-breitner-6-1f6eb84b.jpg
b'Composition No.IV / Composition 6',b'Piet Mondrian',b'1914',b'NL',https://az334033.vo.msecnd.net/images-0/composition-no-iv-composition-6-piet-mondrian-1914-da271aaf.jpg
b'Sea after Sunset',b'Piet Mondrian',b'1909',b'NL',https://az333960.vo.msecnd.net/images-2/sea-after-sunset-piet-mondrian-1909-0ae2d0e7.jpg
b'Lighthouse in Westkapelle',b'Piet Mondrian',b'1908',b'NL',https://az334034.vo.msecnd.net/images-3/lighthouse-in-westkapelle-piet-mondrian-1908-77f73672.jpg
b'Boerderij met wasgoed aan de lijn',b'Piet Mondrian',b'1897',b'NL',https://az334034.vo.msecnd.net/images-0/boerderij-met-wasgoed-aan-de-lijn-piet-mondrian-1897-31419cf6.jpg
b'Rastercompositie 9: dambordcompositie heldere kleuren',b'Piet Mondrian',b'1919',b'NL',https://az333959.vo.msecnd.net/images-9/rastercompositie-9-dambordcompositie-heldere-kleuren-piet-mondrian-1919-21f4d7e7.jpg
b'Evolution',b'Piet Mondrian',b'1911',b'NL',https://az334033.vo.msecnd.net/images-5/evolution-piet-mondrian-1911-b59b5201.jpg
b'Mill at Domburg',b'Piet Mondrian',b'1908',b'NL',https://az333959.vo.msecnd.net/images-2/mill-at-domburg-piet-mondrian-1908-a364a61c.jpg
b'Self-portrait',b'Piet Mondrian',b'1918',b'NL',https://az334034.vo.msecnd.net/images-2/self-portrait-piet-mondrian-1918-99203033.jpg
b'The Red Mill',b'Piet Mondrian',b'1910',b'NL',https://az333959.vo.msecnd.net/images-2/the-red-mill-piet-mondrian-1910-65416b0a.jpg
