Title,Artist,Year,Country,Thumbnail
b'Susanna at her Bath',b'Cornelis van Haarlem',b'Bath',,https://az333960.vo.msecnd.net/images-9/susanna-at-her-bath-cornelis-van-haarlem-59e6b839.jpg
b'Moonlight Behind a Castle Ruin with Alcove',b'Carl Gustav Carus',b'Alcove',,https://az333959.vo.msecnd.net/images-7/moonlight-behind-a-castle-ruin-with-alcove-carl-gustav-carus-26b6d18b.jpg
b'The Heldstein near Rathen on the Elbe',b'Caspar David Friedrich',b'1828',b'DE',https://az333959.vo.msecnd.net/images-0/the-heldstein-near-rathen-on-the-elbe-caspar-david-friedrich-1828-dbf9e88f.jpg
b'Self-portrait with breastplate',b'Rembrandt',b'breastplate',b'NL',https://az334034.vo.msecnd.net/images-3/self-portrait-with-breastplate-rembrandt-0dcb290f.jpg
b'The Tower of Babel',b'Anonymous',b'1590',,https://az334034.vo.msecnd.net/images-5/the-tower-of-babel-anonymous-1590-b07623da.jpg
b'Self-portrait',b'Anna Dorothea Therbusch',b'1782',,https://az334034.vo.msecnd.net/images-1/self-portrait-anna-dorothea-therbusch-1782-576a827c.jpg
b'Germania',b'Philipp Veit',b'Germania',,https://az334034.vo.msecnd.net/images-0/germania-philipp-veit-958b68df.jpg
b'Lamentation of Christ',b'Albrecht D\xc3\xbcrer',b'1498',b'DE',https://az334033.vo.msecnd.net/images-9/lamentation-of-christ-albrecht-durer-1498-0176cff5.jpg
b'Still Life with Crystal Ball',b'Pieter Claesz.',b'1625',b'BE',https://az333960.vo.msecnd.net/images-6/still-life-with-crystal-ball-pieter-claesz-1625-b97f94e2.jpg
b'Saint Paul at his Writing Desk',b'Rembrandt',b'Desk',b'NL',https://az333960.vo.msecnd.net/images-3/saint-paul-at-his-writing-desk-rembrandt-bf6e496a.jpg
b'The Tower of Babel',b'Roelant Savery',b'1602',b'BE',https://az334034.vo.msecnd.net/images-0/the-tower-of-babel-roelant-savery-1602-482d8603.jpg
b'Portrait of a Flautist',b'Jan Kupeck\xc3\xbd',b'1710',,https://az333960.vo.msecnd.net/images-7/portrait-of-a-flautist-jan-kupecky-1710-034193a5.jpg
b'Self-portrait as a Drinker',b'Ernst Ludwig Kirchner',b'1914',b'DE',https://az333959.vo.msecnd.net/images-3/untitled-ernst-ludwig-kirchner-1914-1-7a844176.jpg
b'Snow hill with Ravens',b'Caspar David Friedrich',b'1798',b'DE',https://az333959.vo.msecnd.net/images-5/snow-hill-with-ravens-caspar-david-friedrich-1798-17282466.jpg
b'Portrait of Barbara Holper',b'Albrecht D\xc3\xbcrer',b'1490',b'DE',https://az334033.vo.msecnd.net/images-8/portrait-of-barbara-holper-albrecht-durer-1490-f3472888.jpg
b'Portrait of Michael Wolgemut',b'Albrecht D\xc3\xbcrer',b'1516',b'DE',https://az333960.vo.msecnd.net/images-9/portrait-of-michael-wolgemut-albrecht-durer-1516-08303c67.jpg
b'Two men and a young woman in a distinguished interior',b'Pieter de Hooch',b'interior',b'NL',https://az333959.vo.msecnd.net/images-0/two-men-and-a-young-woman-in-a-distinguished-interior-pieter-de-hooch-ec6a8dde.jpg
b'Untitled',b'Albrecht D\xc3\xbcrer',b'1500',b'DE',https://az333959.vo.msecnd.net/images-3/untitled-albrecht-durer-1500-0d4534be.jpg
