Title,Artist,Year,Country,Thumbnail
b'Little Suzanne',b'Carl Larsson',b'1886',b'SE',https://az333959.vo.msecnd.net/images-0/little-suzanne-carl-larsson-1886-89646c35.jpg
b'Vampire',b'Edvard Munch',b'1893',b'NO',https://az333960.vo.msecnd.net/images-9/vampire-edvard-munch-1893-26e2ffe5.jpg
b'Rococo - Renaissance - Contemporary art',b'Carl Larsson',b'1888',b'SE',https://az334034.vo.msecnd.net/images-0/rococo-renaissance-contemporary-art-carl-larsson-1888-c7e53d97.jpg
b'The Adoration of the Magi (copy?)',b'Rembrandt',b'(copy?)',b'NL',https://az333960.vo.msecnd.net/images-3/the-adoration-of-the-magi-copy-rembrandt-e4fda764.jpg
b'Boys drawing',b'Sofie Ribbing',b'drawing',,https://az334033.vo.msecnd.net/images-4/boys-drawing-sofie-ribbing-959a2bec.jpg
b'At sea',b'Albert Edelfelt',b'sea',b'FI',https://az333959.vo.msecnd.net/images-5/at-sea-albert-edelfelt-b349b871.jpg
b'Landscape with Watermill',b'Henri Rousseau',b'1896',b'FR',https://az334033.vo.msecnd.net/images-1/landscape-with-watermill-henri-rousseau-1896-a8537499.jpg
b'Big brother playing',b'Harriet Backer',b'playing',,https://az333960.vo.msecnd.net/images-3/big-brother-playing-harriet-backer-b2aa3a70.jpg
|b'Hip, Hip, Hurrah!'|,b'Peder Severin Kr\xc3\xb8yer',b'1888',b'DK',https://az334034.vo.msecnd.net/images-0/hip-hip-hurrah-peder-severin-kroyer-1888-c0a86909.jpg
b'The Sick Child',b'Edvard Munch',b'1896',b'NO',https://az334033.vo.msecnd.net/images-8/the-sick-child-edvard-munch-1896-a9d2567c.jpg
b"Un voyageur dans les environs d'Acqua Acetosa",b'Martinus R\xc3\xb8rbye',b'1835',b'DK',https://az333960.vo.msecnd.net/images-0/untitled-martinus-rorbye-3-02d0dccd.jpg
b'Double Portrait',b'Alexander Roslin',b'Portrait',,https://az333960.vo.msecnd.net/images-1/double-portrait-alexander-roslin-eeaa1ccd.jpg
b'Untitled',b'Peder Severin Kr\xc3\xb8yer',b'Untitled',b'DK',https://az334033.vo.msecnd.net/images-5/untitled-peder-severin-kroyer-63204c72.jpg
b'Man with a Falcon (possibly St. Bavo)',b'Rembrandt',b'Bavo)',b'NL',https://az333960.vo.msecnd.net/images-1/man-with-a-falcon-possibly-st-bavo-rembrandt-6a633c63.jpg
b'Untitled',b'Gustaf Cederstr\xc3\xb6m',b'Untitled',,https://az334034.vo.msecnd.net/images-2/untitled-gustaf-cederstrom-2-658680b3.jpg
b'Untitled',b'Richard Bergh',b'1899',,https://az333960.vo.msecnd.net/images-1/untitled-richard-bergh-1899-44788f6f.jpg
b'On the Plain',b'Erik Werenskiold',b'1883',,https://az333959.vo.msecnd.net/images-4/on-the-plain-erik-werenskiold-1883-8585a0fd.jpg
b'At Sea',b'Albert Edelfelt',b'1883',b'FI',https://az333959.vo.msecnd.net/images-5/at-sea-albert-edelfelt-1883-f14d5bdb.jpg
