Title,Artist,Year,Country,Thumbnail
b'The Last Judgment',b'Francisco Pacheco',b'Judgment',,https://az334033.vo.msecnd.net/images-0/the-last-judgment-francisco-pacheco-cdce9c81.jpg
b'Portrait of Jacques Seligmann',b'Joaquin Sorolla y Bastida',b'Seligmann',b'ES',https://az334034.vo.msecnd.net/images-2/portrait-of-jacques-seligmann-joaquin-sorolla-9d9191ba.jpg
b'Autoportrait au haut de forme et \xc3\xa0 la pipe',b'Marcel Briguiboul',b'1861',,https://az333960.vo.msecnd.net/images-7/untitled-marcel-briguiboul-10072fce.jpg
b'Untitled',b'Francisco Pacheco',b'Untitled',,https://az333960.vo.msecnd.net/images-2/untitled-francisco-pacheco-9aa6680a.jpg
b'La Sainte Famille',b'Gregorio Baus\xc3\xa1',b'1700',,https://az333960.vo.msecnd.net/images-9/la-sainte-famille-gregorio-bausa-1700-6c13fd6a.jpg
b"L'Adoration des bergers",b'Pedro Orrente',b'1700',,https://az334034.vo.msecnd.net/images-7/l-adoration-des-bergers-pedro-orrente-1700-501847eb.jpg
b'Le Christ servi par les anges',b'Juan de Vald\xc3\xa9s Leal',b'1663',,https://az333959.vo.msecnd.net/images-7/le-christ-servi-par-les-anges-juan-de-valdes-leal-1663-805b6ca1.jpg
b'Martyre de Saint Andr\xc3\xa9',b'Jusepe de Ribera',b'1700',b'ES',https://az334033.vo.msecnd.net/images-6/martyre-de-saint-andre-jusepe-de-ribera-1700-3efafb64.jpg
b'La Visitation',b'Alonso Cano',b'1655',,https://az333960.vo.msecnd.net/images-0/la-visitation-alonso-cano-1655-f0307b59.jpg
b'Goya Self portrait with spectacles',b'Francisco de Goya',b'spectacles',b'ES',https://az333960.vo.msecnd.net/images-8/untitled-francisco-de-goya-31-24cde588.jpg
b'La Virgen del Rosario',b'Bartolom\xc3\xa9 Esteban Murillo',b'Rosario',b'ES',https://az334034.vo.msecnd.net/images-2/la-virgen-del-rosario-bartolome-esteban-murillo-f4719322.jpg
b'The Junta of the Philippines',b'Francisco de Goya',b'Philippines',b'ES',https://az334034.vo.msecnd.net/images-9/the-junta-of-the-philippines-francisco-de-goya-15afbc54.jpg
b'Portrait of Francisco del Mazo',b'Francisco de Goya',b'Mazo',b'ES',https://az333959.vo.msecnd.net/images-5/portrait-of-francisco-del-mazo-francisco-de-goya-6be3f1ba.jpg
b'Saint Augustin',b'Jusepe de Ribera',b'1636',b'ES',https://az334034.vo.msecnd.net/images-9/saint-augustin-jusepe-de-ribera-1636-ef180f08.jpg
b"T\xc3\xaate de sainte Catherine d'Alexandrie",b'Sebasti\xc3\xa1n de Llanos y Vald\xc3\xa9s',b'1652',,https://az333960.vo.msecnd.net/images-0/tete-de-sainte-catherine-d-alexandrie-sebastian-de-llanos-y-valdes-1652-1b3b2f23.jpg
b"Jeune femme faisant la charit\xc3\xa9 \xc3\xa0 l'entr\xc3\xa9e de la chapelle...",b'L\xc3\xa9on Bonnat',b'1863',b'FR',https://az334033.vo.msecnd.net/images-2/jeune-femme-faisant-la-charite-a-l-entree-de-la-chapelle-de-l-hopital-san-sebastian-a-cordoue-leon-bonnat-1863-a0ed6fd2.jpg
b'Portrait of Francisco del Mazo',b'Francisco Goya',b'1817',,https://az334034.vo.msecnd.net/images-8/portrait-of-francisco-del-mazo-francisco-goya-1817-5583f156.jpg
b'La D\xc3\xa9ploration du Christ',b'Vicente Masip',b'Christ',,https://az333960.vo.msecnd.net/images-9/la-deploration-du-christ-vicente-masip-a3795942.jpg
