Title,Artist,Year,Country,Thumbnail
b'La Ghirlandata',b'Dante Gabriel Rossetti',b'Ghirlandata',b'GB',https://az333959.vo.msecnd.net/images-6/la-ghirlandata-dante-gabriel-rossetti-c5720404.jpg
b'Eavesdropper with a Scolding Woman',b'Nicolaes Maes',b'Woman',b'NL',https://az334033.vo.msecnd.net/images-9/eavesdropper-with-a-scolding-woman-nicolaes-maes-10963ba5.jpg
b'Boy with a glass and a lute',b'Frans Hals',b'1626',b'NL',https://az333959.vo.msecnd.net/images-8/boy-with-a-glass-and-a-lute-frans-hals-1626-73c1d7cd.jpg
b'Ruby',b'Henry Scott Tuke',b'Ruby',,https://az334034.vo.msecnd.net/images-2/ruby-henry-scott-tuke-e1bad6a8.jpg
b'A Pyrrhic Dance',b'Lawrence Alma-Tadema',b'1869',b'NL',https://az333960.vo.msecnd.net/images-9/a-pyrrhic-dance-lawrence-alma-tadema-1869-1c52d21a.jpg
b'Winter Landscape with Figures on a Frozen Canal',b'Aert van der Neer',b'1654',,https://az334033.vo.msecnd.net/images-9/winter-landscape-with-figures-on-a-frozen-canal-aert-van-der-neer-1654-70838f16.jpg
b'Cattle by a River',b'Aelbert Cuyp',b'River',b'NL',https://az333959.vo.msecnd.net/images-3/cattle-by-a-river-aelbert-cuyp-2b456179.jpg
b'View of Slot Heemstede',b'Gerrit Adriaenszoon Berckheyde',b'1667',,https://az333960.vo.msecnd.net/images-1/view-of-slot-heemstede-gerrit-adriaenszoon-berckheyde-1667-a510fa8a.jpg
b'The Oyster Meal',b'Jacob Ochtervelt',b'1664',,https://az334034.vo.msecnd.net/images-0/the-oyster-meal-jacob-ochtervelt-1664-b2d3a9c5.jpg
b"The Woodman's Daughter",b'John Everett Millais',b'Daughter',b'GB',https://az333959.vo.msecnd.net/images-1/the-woodman-s-daughter-john-everett-millais-2960ee2d.jpg
b'My First Sermon',b'John Everett Millais',b'Sermon',b'GB',https://az334034.vo.msecnd.net/images-2/my-first-sermon-john-everett-millais-08d5d165.jpg
b'The Castle of Bentheim',b'Jacob van Ruisdael',b'Bentheim',b'NL',https://az334033.vo.msecnd.net/images-0/the-castle-of-bentheim-jacob-van-ruisdael-1b1189c1.jpg
b'Panoramic View of Haarlem',b'Jacob van Ruisdael',b'Haarlem',b'NL',https://az334034.vo.msecnd.net/images-0/panoramic-view-of-haarlem-jacob-van-ruisdael-2189a46c.jpg
b'Too Early',b'James Tissot',b'1873',b'FR',https://az334034.vo.msecnd.net/images-5/too-early-james-tissot-1873-167f084c.jpg
b'The Wine Shop',b'Lawrence Alma-Tadema',b'1871',b'NL',https://az334034.vo.msecnd.net/images-8/the-wine-shop-lawrence-alma-tadema-1871-e61991f8.jpg
|b'Panoramic Landscape with Shepherds, Sheep and a Town in...'|,b'Aelbert Cuyp',b'1644',b'NL',https://az333960.vo.msecnd.net/images-6/panoramic-landscape-with-shepherds-sheep-and-a-town-in-the-distance-possibly-beverwijk-holland-aelbert-cuyp-1644-c6bf035f.jpg
b'A Young Boy Copying a Painting',b'Wallerant Vaillant',b'1670',,https://az333960.vo.msecnd.net/images-5/a-young-boy-copying-a-painting-wallerant-vaillant-1670-17c93574.jpg
b'The Lute Player',b'Anonymous',b'Player',,https://az334033.vo.msecnd.net/images-5/the-lute-player-anonymous-dfb33af5.jpg
