Title,Artist,Year,Country,Thumbnail
b'The Nymphaeum',b'William-Adolphe Bouguereau',b'1878',b'FR',https://az333959.vo.msecnd.net/images-9/the-nymphaeum-william-adolphe-bouguereau-1878-6d4a3a3f.jpg
b'Canadian Rockies',b'Albert Bierstadt',b'1889',,https://az334033.vo.msecnd.net/images-1/canadian-rockies-albert-bierstadt-1889-4be8880c.jpg
b'Gathering for the Hunt',b'Rosa Bonheur',b'1856',b'FR',https://az333959.vo.msecnd.net/images-8/gathering-for-the-hunt-rosa-bonheur-1856-57f87148.jpg
b'Les D\xc3\xa9sguis\xc3\xa9s',b'Marie Laurencin',b'1926',,https://az334033.vo.msecnd.net/images-4/les-desguises-marie-laurencin-1926-8a8ec5e9.jpg
|b'The Standing Bearer, Unfolding the Holy Flag'|,b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1876',b'FR',https://az334034.vo.msecnd.net/images-0/the-standing-bearer-unfolding-the-holy-flag-jean-leon-gerome-1876-4660d287.jpg
b'The Moated Wall',b'L\xc3\xa9on Augustin Lhermitte',b'1893',,https://az333959.vo.msecnd.net/images-5/the-moated-wall-leon-augustin-lhermitte-1893-c69ee234.jpg
b'Sunset in the Yosemite Valley',b'Albert Bierstadt',b'1868',,https://az333959.vo.msecnd.net/images-4/sunset-in-the-yosemite-valley-albert-bierstadt-1868-54456e71.jpg
b'Looking up Yosemite Valley',b'Albert Bierstadt',b'1865',,https://az334033.vo.msecnd.net/images-5/looking-up-yosemite-valley-albert-bierstadt-1865-78d11a5f.jpg
b'Check!',b'Jehan Georges Vibert',b'Check!',,https://az334034.vo.msecnd.net/images-9/check-jehan-georges-vibert-66598177.jpg
b'The Artist and His Model',b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1894',b'FR',https://az334033.vo.msecnd.net/images-2/the-artist-and-his-model-jean-leon-gerome-1894-afb47087.jpg
|b'A Last Summer Day, Normandy'|,b'Constant Troyon',b'Normandy',,https://az334034.vo.msecnd.net/images-0/a-last-summer-day-normandy-constant-troyon-c84fd1e6.jpg
b'The Horse Market',b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1867',b'FR',https://az334034.vo.msecnd.net/images-4/the-horse-market-jean-leon-gerome-1867-5de07163.jpg
