Title,Artist,Year,Country,Thumbnail
b'Still-Life with Flowers',b'Rachel Ruysch',b'Flowers',b'NL',https://az333960.vo.msecnd.net/images-6/still-life-with-flowers-rachel-ruysch-9d68f9ab.jpg
b'A visit to the Art Dealer',b'Frans Francken the Younger',b'Dealer',b'BE',https://az333959.vo.msecnd.net/images-3/a-visit-to-the-art-dealer-frans-francken-the-younger-86a410b5.jpg
b'Portrait of a Middle-Aged Man',b'Paulus Moreelse',b'1630',b'NL',https://az334033.vo.msecnd.net/images-3/portrait-of-a-middle-aged-man-paulus-moreelse-1630-24be5c0c.jpg
b'The Costumes of the Lapponians',b'Pehr Hillestr\xc3\xb6m',b'Lapponians',,https://az333959.vo.msecnd.net/images-7/the-costumes-of-the-lapponians-pehr-hillestrom-a92f98e0.jpg
b'Ships in a Storm on a Rocky Coast',b'Jan Porcellis',b'1614',,https://az333959.vo.msecnd.net/images-0/ships-in-a-storm-on-a-rocky-coast-jan-porcellis-1614-904f0122.jpg
b'Venus and Cupid',b'Frans Floris',b'Cupid',,https://az333960.vo.msecnd.net/images-0/venus-and-cupid-frans-floris-0e2c9689.jpg
b'Market Scene',b'Pieter Aertsen',b'1569',b'NL',https://az334033.vo.msecnd.net/images-3/market-scene-pieter-aertsen-1569-c1a2e435.jpg
b'Still-Life',b'Willem Claeszoon Heda',b'Still-Life',,https://az334034.vo.msecnd.net/images-4/still-life-willem-claeszoon-heda-2b299631.jpg
b'Still-Life with Nautilus Cup',b'Maerten Boelema de Stomme',b'Cup',,https://az334033.vo.msecnd.net/images-8/still-life-with-nautilus-cup-maerten-boelema-de-stomme-42de623e.jpg
b'A scholar in his Study',b'Thomas Wijck',b'Study',,https://az333959.vo.msecnd.net/images-4/a-scholar-in-his-study-thomas-wijck-322deb22.jpg
b'Still-Life with flowers',b'Ambrosius Bosschaert',b'flowers',b'NL',https://az333959.vo.msecnd.net/images-0/still-life-with-flowers-ambrosius-bosschaert-df0d818c.jpg
b'The Peasant Wedding',b'Pieter Brueghel the Younger',b'Wedding',,https://az333960.vo.msecnd.net/images-8/the-peasant-wedding-pieter-brueghel-the-younger-a020ab3f.jpg
b'Winter Landscape with Skaters on a Frozen River',b'Aert van der Neer',b'River',,https://az333960.vo.msecnd.net/images-0/winter-landscape-with-skaters-on-a-frozen-river-aert-van-der-neer-6d4d24fe.jpg
b'Landscape with Cornfields',b'Salomon van Ruysdael',b'1638',b'NL',https://az333959.vo.msecnd.net/images-4/landscape-with-cornfields-salomon-van-ruysdael-1638-ce17cccd.jpg
b'The Annunciation',b'Salomon Koninck',b'1655',,https://az333959.vo.msecnd.net/images-7/the-annunciation-salomon-koninck-1655-2097abec.jpg
b'The Musical Contest between Apollo and Marsyas',b'Cornelius van Poelenburgh',b'1630',,https://az334033.vo.msecnd.net/images-9/the-musical-contest-between-apollo-and-marsyas-cornelius-van-poelenburgh-1630-eb242bce.jpg
b'The Goddess Calypso rescues Ulysses',b'Cornelius van Poelenburgh',b'1630',,https://az334033.vo.msecnd.net/images-2/the-goddess-calypso-rescues-ulysses-cornelius-van-poelenburgh-1630-4240ccd1.jpg
b'Family',b'Gerard ter Borch',b'1656',,https://az333959.vo.msecnd.net/images-6/family-gerard-ter-borch-1656-6ccd3735.jpg
b'A Merry Company',b'Anthonie Palamedes',b'1633',,https://az333960.vo.msecnd.net/images-8/a-merry-company-anthonie-palamedes-1633-349e5208.jpg
b'Pomona',b'Frans de Vriendt',b'1564',,https://az333959.vo.msecnd.net/images-9/pomona-frans-de-vriendt-1564-24525174.jpg
