Title,Artist,Year,Country,Thumbnail
b'Salom\xc3\xa9 Dancing before Herod',b'Gustave Moreau',b'1876',b'FR',https://az333960.vo.msecnd.net/images-6/salome-dancing-before-herod-gustave-moreau-1876-ce3e6591.jpg
b'Portrait of a Man Holding a Hat',b'Rembrandt',b'Hat',b'NL',https://az334033.vo.msecnd.net/images-1/portrait-of-a-man-holding-a-hat-rembrandt-cc012ef6.jpg
b'The Sower: Outskirts of Arles in the Background',b'Vincent van Gogh',b'1888',b'NL',https://az334033.vo.msecnd.net/images-4/the-sower-outskirts-of-arles-in-the-background-vincent-van-gogh-1888-edfe12db.jpg
b'Summertime',b'Mary Cassatt',b'1894',b'US',https://az333959.vo.msecnd.net/images-4/summertime-mary-cassatt-1894-0b7a80f7.jpg
b'Bonjour Monsieur Gauguin',b'Paul Gauguin',b'1889',b'FR',https://az334033.vo.msecnd.net/images-9/bonjour-monsieur-gauguin-paul-gauguin-1889-1-335134cb.jpg
b'Untitled',b'Edouard Manet',b'Untitled',b'FR',https://az333960.vo.msecnd.net/images-6/untitled-edouard-manet-1-f9e087b8.jpg
b'Boulevard Montmartre: Mardi Gras',b'Camille Pissarro',b'Gras',b'FR',https://az334033.vo.msecnd.net/images-5/boulevard-montmartre-mardi-gras-camille-pissarro-e5f74cf1.jpg
b'Lilacs',b'Vincent van Gogh',b'1887',b'NL',https://az334033.vo.msecnd.net/images-0/lilacs-vincent-van-gogh-1887-8112c3b2.jpg
b'Study for In the Salon on the Rue des Moulins',b'Henri de Toulouse-Lautrec',b'Moulins',b'FR',https://az334033.vo.msecnd.net/images-8/study-for-in-the-salon-on-the-rue-des-moulins-henri-de-toulouse-lautrec-2a3c17e1.jpg
b'Gar\xc3\xa7on couch\xc3\xa9 (Boy by the Brook)',b'Paul C\xc3\xa9zanne',b'Brook)',b'FR',https://az334034.vo.msecnd.net/images-5/garcon-couche-boy-by-the-brook-paul-cezanne-de776bc0.jpg
b'King David',b'Gustave Moreau',b'1878',b'FR',https://az334033.vo.msecnd.net/images-4/king-david-gustave-moreau-1878-8dca07a7.jpg
