Title,Artist,Year,Country,Thumbnail
|b'Boulevard Montmartre, Mid-Lent'|,b'Camille Pissarro',b'Mid-Lent',b'FR',https://az333960.vo.msecnd.net/images-9/boulevard-montmartre-mid-lent-camille-pissarro-ec6e3f15.jpg
|b'H. I. M., the Empress Dowager of China, Cixi'|,b'Hubert Vos',b'1905',,https://az333960.vo.msecnd.net/images-1/h-i-m-the-empress-dowager-of-china-cixi-hubert-vos-d76ede63.jpg
b'Floral Still Life with Hollyhock and Marigold',b'Jan van Huysum',b'1718',b'NL',https://az334033.vo.msecnd.net/images-0/floral-still-life-with-hollyhock-and-marigold-jan-van-huysum-1718-92af6c1e.jpg
b'Bertha Hallowell Vaughan (1866-1948)',b'Cecilia Beaux',b'(1866-1948)',b'US',https://az333959.vo.msecnd.net/images-9/bertha-hallowell-vaughan-1866-1948-cecilia-beaux-1319f7d4.jpg
b'Christ Bearing the Cross',b'El Greco',b'1600',b'GR',https://az333960.vo.msecnd.net/images-6/christ-bearing-the-cross-el-greco-1600-27b379fb.jpg
|b'Piazza San Marco, Venice'|,b'Canaletto',b'1730',b'IT',https://az333960.vo.msecnd.net/images-5/piazza-san-marco-venice-canaletto-1730-f93eb729.jpg
b'Arab Combat',b'Th\xc3\xa9odore Chass\xc3\xa9riau',b'1855',,https://az334033.vo.msecnd.net/images-8/arab-combat-theodore-chasseriau-1855-7751cfe6.jpg
b'Grazing Horses IV',b'Franz Marc',b'1911',b'DE',https://az334034.vo.msecnd.net/images-1/grazing-horses-iv-franz-marc-1911-d76025c6.jpg
b'Singer with a Glove',b'Edgar Degas',b'1878',b'FR',https://az334033.vo.msecnd.net/images-7/singer-with-a-glove-edgar-degas-1878-87c235b8.jpg
b'Portrait of a Girl',b'Joshua Johnson',b'1810',,https://az333959.vo.msecnd.net/images-8/portrait-of-a-girl-joshua-johnson-1810-b5cb94ef.jpg
b'Portrait of an Apostle (Saint Philip)',b'El Greco',b'1600',b'GR',https://az334033.vo.msecnd.net/images-9/portrait-of-an-apostle-saint-philip-el-greco-1600-8338d80c.jpg
