Title,Artist,Year,Country,Thumbnail
b'The Girl with the Wine Glass',b'Johannes Vermeer',b'1659',b'NL',https://az334034.vo.msecnd.net/images-3/the-girl-with-the-wine-glass-johannes-vermeer-1659-28f10619.jpg
b'The Dentist',b'Jan Miense Molenaer',b'1630',b'NL',https://az333959.vo.msecnd.net/images-1/the-dentist-jan-miense-molenaer-1630-83161f51.jpg
|b'Circumcision, copy after part of the Passion series for...'|,b'Rembrandt',b'for...',b'NL',https://az333960.vo.msecnd.net/images-5/circumcision-copy-after-part-of-the-passion-series-for-frederik-hendrik-rembrandt-59b68476.jpg
b'Young scholar reading in a study',b'Rembrandt',b'study',b'NL',https://az333959.vo.msecnd.net/images-9/young-scholar-reading-in-a-study-rembrandt-e1c9dfd8.jpg
b'Hilly Landscape',b'Jacob van Ruisdael',b'Landscape',b'NL',https://az334034.vo.msecnd.net/images-8/hilly-landscape-jacob-van-ruisdael-28ad7bef.jpg
b'Portrait of a family',b'Rembrandt',b'1668',b'NL',https://az334033.vo.msecnd.net/images-6/portrait-of-a-family-rembrandt-1668-38e86583.jpg
b'Judith with the Head of Holofernes',b'Peter Paul Rubens',b'1616',b'NL',https://az333959.vo.msecnd.net/images-3/judith-with-the-head-of-holofernes-peter-paul-rubens-1616-4d151b76.jpg
b'Portrait of Rembrandt with sword',b'Anonymous',b'sword',,https://az333959.vo.msecnd.net/images-5/portrait-of-rembrandt-with-sword-anonymous-8e733672.jpg
b'Untitled',b'Lucas Cranach the Elder',b'1537',b'DE',https://az334034.vo.msecnd.net/images-4/untitled-lucas-cranach-the-elder-1537-35cde82f.jpg
b'Untitled',b'Rosso Fiorentino',b'1525',b'IT',https://az333959.vo.msecnd.net/images-5/untitled-rosso-fiorentino-1525-082692db.jpg
b'Self-portrait',b'Giorgione',b'1510',,https://az333960.vo.msecnd.net/images-0/self-portrait-giorgione-1510-4b5d8270.jpg
b'Stormy Landscape',b'Rembrandt',b'1638',b'NL',https://az334034.vo.msecnd.net/images-9/stormy-landscape-rembrandt-1638-7d5db2cd.jpg
|b'Christ Appearing to Mary Magdalene, \xe2\x80\x98Noli me tangere\xe2\x80\x99'|,b'Rembrandt',b'tangere\xe2\x80\x99',b'NL',https://az334033.vo.msecnd.net/images-4/christ-appearing-to-mary-magdalene-noli-me-tangere-rembrandt-3fd83cca.jpg
b'Waterfall with Castle Built on the Rock',b'Jacob van Ruisdael',b'Rock',b'NL',https://az334034.vo.msecnd.net/images-6/waterfall-with-castle-built-on-the-rock-jacob-van-ruisdael-2c6a370d.jpg
b'Portrait of a Woman with Millstone Collar',b'Rembrandt',b'Collar',b'NL',https://az334034.vo.msecnd.net/images-7/portrait-of-a-woman-with-millstone-collar-rembrandt-6dbbd13e.jpg
b'Portrait of a Man with Millstone Collar',b'Rembrandt',b'Collar',b'NL',https://az333959.vo.msecnd.net/images-8/portrait-of-a-man-with-millstone-collar-rembrandt-ea5bc46a.jpg
b'Untitled',b'Giorgione',b'1509',,https://az334033.vo.msecnd.net/images-1/untitled-giorgione-1509-50e0a590.jpg
b'Georg Schweigger',b'Godfrey Kneller',b'Schweigger',,https://az333959.vo.msecnd.net/images-8/georg-schweigger-godfrey-kneller-a8c238e9.jpg
b'Italianate Landscape with Stubborn Donkey',b'Nicolaes Pieterszoon Berchem',b'1665',,https://az333959.vo.msecnd.net/images-9/italianate-landscape-with-stubborn-donkey-nicolaes-pieterszoon-berchem-1665-329ca9e8.jpg
b'Boy playing with a plaster mask',b'Godfried Schalcken',b'1680',b'NL',https://az333959.vo.msecnd.net/images-9/boy-playing-with-a-plaster-mask-godfried-schalcken-1680-66b61865.jpg
b'Portrait of a Young Man wearing a Plumed Hat',b'Reynier van Gherwen',b'1649',,https://az334033.vo.msecnd.net/images-6/portrait-of-a-young-man-wearing-a-plumed-hat-reynier-van-gherwen-1649-e54fe78b.jpg
b'Allegory of transience',b'Cornelis de Vos',b'1625',,https://az334033.vo.msecnd.net/images-8/allegory-of-transience-cornelis-de-vos-1625-3c1cb591.jpg
