Title,Artist,Year,Country,Thumbnail
b'Evening on the Ausable River',b'Arthur Parton',b'1875',,https://az334034.vo.msecnd.net/images-7/evening-on-the-ausable-river-arthur-parton-1875-5ed577cf.jpg
b'Lake Scene',b'Thomas Doughty',b'1833',,https://az333959.vo.msecnd.net/images-5/lake-scene-thomas-doughty-1833-65a4f2fe.jpg
b'Niagara Falls',b'R\xc3\xa9gis Fran\xc3\xa7ois Gignoux',b'1855',,https://az333959.vo.msecnd.net/images-2/niagara-falls-regis-francois-gignoux-1855-42b6ea1e.jpg
b'Sunset on the Coast',b'Alfred Thompson Bricher',b'1885',b'US',https://az333960.vo.msecnd.net/images-5/sunset-on-the-coast-alfred-thompson-bricher-1885-08253d4e.jpg
|b'Woodland Stream, an Idyll'|,b'Robert S. Duncanson',b'1865',,https://az334033.vo.msecnd.net/images-2/woodland-stream-an-idyll-robert-s-duncanson-1865-298c7039.jpg
b'Two Hummingbirds with an Orchid',b'Martin Johnson Heade',b'1875',b'US',https://az333960.vo.msecnd.net/images-0/two-hummingbirds-with-an-orchid-martin-johnson-heade-1875-c2a41898.jpg
b'Shipwrecked off Labrador',b'William Bradford',b'1867',b'US',https://az334034.vo.msecnd.net/images-3/shipwrecked-off-labrador-william-bradford-1867-9c97ccb9.jpg
b'River Landscape with Sheep',b'John William Casilear',b'1877',,https://az333959.vo.msecnd.net/images-9/river-landscape-with-sheep-john-william-casilear-1877-97b673b3.jpg
b'Destruction of Sodom and Gomorrah',b'Henry Ossawa Tanner',b'1929',b'US',https://az333960.vo.msecnd.net/images-9/destruction-of-sodom-and-gomorrah-henry-ossawa-tanner-1929-69f268a9.jpg
b'Abandoned in the Arctic Ice Fields',b'William Bradford',b'1876',b'US',https://az333959.vo.msecnd.net/images-2/abandoned-in-the-arctic-ice-fields-william-bradford-1876-2ad4df4d.jpg
|b'View near Rutland, Vermont'|,b'Asher Brown Durand',b'1837',,https://az333959.vo.msecnd.net/images-4/view-near-rutland-vermont-asher-brown-durand-1837-1b78a2c0.jpg
b'Bouquet of Roses',b'Camille Pissarro',b'Roses',b'FR',https://az333959.vo.msecnd.net/images-1/bouquet-of-roses-camille-pissarro-ba9da045.jpg
b'Ralph Curtis on the Beach in Scheveningen',b'John Singer Sargent',b'1880',b'US',https://az333960.vo.msecnd.net/images-9/untitled-john-singer-sargent-3-7e106c40.jpg
|b'Sunset, Winter by Louis R\xc3\xa9my Mignot, 1862, High Museum of...'|,b'Louis R\xc3\xa9my Mignot',b'1862',,https://az333959.vo.msecnd.net/images-7/sunset-winter-by-louis-remy-mignot-1862-high-museum-of-art-louis-remy-mignot-1862-9eb1ae23.jpg
|b'Morning, Cape Ann'|,b'Alfred Thompson Bricher',b'1875',b'US',https://az334034.vo.msecnd.net/images-9/morning-cape-ann-alfred-thompson-bricher-1875-39cc0d69.jpg
b'Twilight',b'Martin Johnson Heade',b'1886',b'US',https://az334034.vo.msecnd.net/images-2/twilight-martin-johnson-heade-1886-b49a60d0.jpg
b'Tuileries Garden',b'Childe Hassam',b'1897',b'US',https://az334033.vo.msecnd.net/images-1/tuileries-garden-childe-hassam-1897-b3a1b093.jpg
b'The Sea from Capri',b'William Stanley Haseltine',b'1875',,https://az334033.vo.msecnd.net/images-6/the-sea-from-capri-william-stanley-haseltine-1875-7e1aabae.jpg
b'Alpine Lake',b'John William Casilear',b'1860',,https://az333959.vo.msecnd.net/images-6/alpine-lake-john-william-casilear-1860-f0484e95.jpg
b'Landscape',b'Thomas Doughty',b'1829',,https://az333959.vo.msecnd.net/images-2/landscape-thomas-doughty-1829-4cbf254c.jpg
b'A View of Fes',b'Henry Ossawa Tanner',b'1912',b'US',https://az333959.vo.msecnd.net/images-8/a-view-of-fes-henry-ossawa-tanner-1912-76670f37.jpg
b'Rondel',b'Louise Cox',b'1892',,https://az334034.vo.msecnd.net/images-8/rondel-louise-cox-1892-c98a0a67.jpg
|b'The Bay of Uri, Lake Lucerne'|,b'Worthington Whittredge',b'1859',,https://az334033.vo.msecnd.net/images-9/the-bay-of-uri-lake-lucerne-worthington-whittredge-1859-0b768253.jpg
|b'View of Subiaco, Italy'|,b'Albert Bierstadt',b'1859',,https://az334034.vo.msecnd.net/images-5/view-of-subiaco-italy-albert-bierstadt-1859-174415b4.jpg
|b'Lake Scene, Boating'|,b'William Trost Richards',b'1861',,https://az333959.vo.msecnd.net/images-2/lake-scene-boating-william-trost-richards-1861-066ce3aa.jpg
|b'Ruins at Narni, Italy'|,b'Jasper Francis Cropsey',b'1875',b'US',https://az333959.vo.msecnd.net/images-8/ruins-at-narni-italy-jasper-francis-cropsey-1875-87dcbb83.jpg
|b'Luccombe Chine, Isle of Wight'|,b'Jasper Francis Cropsey',b'1861',b'US',https://az333959.vo.msecnd.net/images-2/luccombe-chine-isle-of-wight-jasper-francis-cropsey-1861-3b313ac6.jpg
b'Untitled',b'Camille Pissarro',b'Untitled',b'FR',https://az333959.vo.msecnd.net/images-4/untitled-camille-pissarro-29-f4f2c542.jpg
b'Untitled',b'Moretto da Brescia',b'1517',,https://az333959.vo.msecnd.net/images-2/untitled-moretto-da-brescia-1517-0db17372.jpg
b'Twilight in the Catskills',b'Frederic Edwin Church',b'1849',b'US',https://az333959.vo.msecnd.net/images-9/twilight-in-the-catskills-frederic-edwin-church-1849-d3b74bc7.jpg
b'Beach and Rocks',b'Worthington Whittredge',b'1870',,https://az333960.vo.msecnd.net/images-9/beach-and-rocks-worthington-whittredge-1870-eae45ddc.jpg
