Title,Artist,Year,Country,Thumbnail
b'Judgement of Paris',b'Auguste Renoir',b'1913',b'FR',https://az334034.vo.msecnd.net/images-5/judgement-of-paris-pierre-auguste-renoir-1913-9009b976.jpg
|b'The Trinit\xc3\xa9 Plaza, Paris'|,b'Auguste Renoir',b'1875',b'FR',https://az333960.vo.msecnd.net/images-3/the-trinite-plaza-paris-pierre-auguste-renoir-1875-68965a43.jpg
b'Aristide Bruant',b'Henri de Toulouse-Lautrec',b'1893',b'FR',https://az334034.vo.msecnd.net/images-0/aristide-bruant-henri-de-toulouse-lautrec-1893-287f9e0e.jpg
b'The Promenade on Horseback',b'Edgar Degas',b'1867',b'FR',https://az334034.vo.msecnd.net/images-8/the-promenade-on-horseback-edgar-degas-1867-8735145f.jpg
b"Bathing Boys at the Watermill in the Bois D'Amour",b'Paul Gauguin',b'1886',b'FR',https://az334033.vo.msecnd.net/images-0/bathing-boys-at-the-watermill-in-the-bois-d-amour-paul-gauguin-1886-bad1e500.jpg
b'Bathing Women',b'Camille Pissarro',b'1896',b'FR',https://az334033.vo.msecnd.net/images-3/bathing-women-camille-pissarro-1896-8d8397a4.jpg
b'A Seated Peasant',b'Paul C\xc3\xa9zanne',b'1897',b'FR',https://az334033.vo.msecnd.net/images-7/a-seated-peasant-paul-cezanne-1897-c49d9957.jpg
b'The Arabs at the Grave',b'Eug\xc3\xa8ne Delacroix',b'1838',b'FR',https://az334033.vo.msecnd.net/images-0/the-arabs-at-the-grave-eugene-delacroix-1838-9559d650.jpg
b'Morning on the Seine',b'Claude Monet',b'1897',b'FR',https://az334033.vo.msecnd.net/images-6/morning-on-the-seine-claude-monet-1897-373beb18.jpg
b'View of the Fortifications',b'Henri Rousseau',b'1909',b'FR',https://az334034.vo.msecnd.net/images-5/view-of-the-fortifications-henri-rousseau-1909-35b01ae3.jpg
b'Woman in Rose Shoes (Berthe Morisot)',b'Edouard Manet',b'1872',b'FR',https://az334034.vo.msecnd.net/images-0/woman-in-rose-shoes-berthe-morisot-edouard-manet-1872-ca24255b.jpg
b'Grove in Jas de Bouffan',b'Paul C\xc3\xa9zanne',b'1871',b'FR',https://az334033.vo.msecnd.net/images-8/grove-in-jas-de-bouffan-paul-cezanne-1871-c51c0f58.jpg
b'The Branch at Croissy',b'Auguste Renoir',b'1911',b'FR',https://az334033.vo.msecnd.net/images-9/the-branch-at-croissy-pierre-auguste-renoir-1911-24c308f5.jpg
b'The Pont-Neuf',b'Camille Pissarro',b'1902',b'FR',https://az333959.vo.msecnd.net/images-5/the-pont-neuf-camille-pissarro-1902-f3385e0a.jpg
