Title,Artist,Year,Country,Thumbnail
b'Naked woman doing her hair before a mirror',b'Christoffer Wilhelm Eckersberg',b'1841',b'DK',https://az334033.vo.msecnd.net/images-0/a-nude-woman-doing-her-hair-before-a-mirror-christoffer-wilhelm-eckersberg-1841-e2fc1e3a.jpg
b'"Surely he will come?"',b'Christen Dalsgaard',b'come?"',b'DK',https://az334033.vo.msecnd.net/images-5/surely-he-will-come-christen-dalsgaard-8dc59d4d.jpg
b'The maid in the kitchen',b'Anna Ancher',b'1886',b'DK',https://az333959.vo.msecnd.net/images-8/the-maid-in-the-kitchen-anna-ancher-a753ada7.jpg
b'Portrait of My Wife (The Painter Anna Ancher)',b'Michael Peter Ancher',b'1884',b'DK',https://az333959.vo.msecnd.net/images-2/untitled-michael-peter-ancher-fb22fc40.jpg
b'Portrait of model Maddalena or Anna Maria Uhden',b'Christoffer Wilhelm Eckersberg',b'1815',b'DK',https://az334033.vo.msecnd.net/images-6/portrait-of-the-model-maddalena-or-anna-maria-uhden-christoffer-wilhelm-eckersberg-ca499e7a.jpg
b'Spring',b'Laurits Andersen Ring',b'1895',b'DK',https://az333960.vo.msecnd.net/images-0/untitled-laurits-andersen-ring-33-a570fc1d.jpg
|b'A luncheon. The artist, his wife and the writer Otto Benzon'|,b'Peder Severin Kr\xc3\xb8yer',b'Benzon',b'DK',https://az334033.vo.msecnd.net/images-8/a-luncheon-the-artist-his-wife-and-the-writer-otto-benzon-peder-severin-kroyer-9b94a440.jpg
b'A blind woman in her room',b'Anna Ancher',b'room',b'DK',https://az334033.vo.msecnd.net/images-9/a-blind-woman-in-her-room-anna-ancher-1ba0ea50.jpg
b'Interior with a Young Man Reading',b'Vilhelm Hammersh\xc3\xb8i',b'1898',b'DK',https://az334034.vo.msecnd.net/images-8/untitled-vilhelm-hammershoi-9-9f62482a.jpg
b'Summer Evening at Skagen Beach \xe2\x80\x93 The Artist and his Wife',b'Peder Severin Kr\xc3\xb8yer',b'Wife',b'DK',https://az333960.vo.msecnd.net/images-6/summer-evening-at-skagen-beach-the-artist-and-his-wife-peder-severin-kroyer-07ecdff7.jpg
b'The Hirschsprung family portrait',b'Peder Severin Kr\xc3\xb8yer',b'portrait',b'DK',https://az333960.vo.msecnd.net/images-5/the-hirschsprung-family-portrait-peder-severin-kroyer-c162af29.jpg
b'Ung pige',b'Vilhelm Hammersh\xc3\xb8i',b'1885',b'DK',https://az333960.vo.msecnd.net/images-3/untitled-vilhelm-hammershoi-6-49ce5cfa.jpg
b'Figures in a landscape. Blind Kristian and Tine among the...',b'Michael Peter Ancher',b'1880',b'DK',https://az334033.vo.msecnd.net/images-7/figures-in-a-landscape-blind-kristian-and-tine-among-the-dunes-michael-peter-ancher-afc58a8d.jpg
b'A hunter showing his wife the bag of the first snipe hunt...',b'Martinus R\xc3\xb8rbye',b'hunt...',b'DK',https://az333959.vo.msecnd.net/images-7/a-hunter-showing-his-wife-the-bag-of-the-first-snipe-hunt-portrait-of-the-master-of-the-royal-hunt-chr-fr-zeuthen-and-his-wife-sophie-hedevig-martinus-rorbye-331197d8.jpg
b'Portrait of the Swedish pianist Hanna Lucia Bauck',b'Bertha Wegmann',b'Bauck',,https://az333960.vo.msecnd.net/images-3/portrait-of-the-swedish-pianist-hanna-lucia-bauck-bertha-wegmann-4c2bcfaa.jpg
b'Interior from Amaliegade. Captain Carl Ludvig Bendz...',b'Wilhelm Bendz',b'1829',b'DK',https://az334034.vo.msecnd.net/images-2/interior-from-amaliegade-captain-carl-ludvig-bendz-standing-and-dr-jacob-christian-bendz-seated-wilhelm-bendz-1-05bf8fc8.jpg
b'Spring',b'Fritz Syberg',b'1893',,https://az334033.vo.msecnd.net/images-3/untitled-fritz-syberg-1-510d6523.jpg
b'Ung pige foran spejl',b'Anna Ancher',b'spejl',b'DK',https://az333959.vo.msecnd.net/images-3/untitled-anna-ancher-1-d8edd290.jpg
b"Foggy winter's day. Karren\xc3\xa6ksminde",b'Laurits Andersen Ring',b'Karren\xc3\xa6ksminde',b'DK',https://az334034.vo.msecnd.net/images-9/foggy-winter-s-day-karrenaeksminde-laurits-andersen-ring-9aefc06a.jpg
b'Untitled',b'Joakim Skovgaard',b'Untitled',,https://az334034.vo.msecnd.net/images-8/untitled-joakim-skovgaard-a4060d1b.jpg
b'Untitled',b'J\xc3\xb8rgen Roed',b'Untitled',,https://az333959.vo.msecnd.net/images-6/untitled-jorgen-roed-5703672e.jpg
b'Untitled',b'Kristian Zahrtmann',b'Untitled',,https://az334033.vo.msecnd.net/images-9/untitled-kristian-zahrtmann-e27567a7.jpg
b'Untitled',b'Peder Severin Kr\xc3\xb8yer',b'Untitled',b'DK',https://az333959.vo.msecnd.net/images-6/untitled-peder-severin-kroyer-6-810c3cd1.jpg
b'Untitled',b'Peder Severin Kr\xc3\xb8yer',b'Untitled',b'DK',https://az333959.vo.msecnd.net/images-7/untitled-peder-severin-kroyer-9-7560bf78.jpg
b'Untitled',b'Laurits Andersen Ring',b'Untitled',b'DK',https://az334034.vo.msecnd.net/images-2/untitled-laurits-andersen-ring-34-c290387d.jpg
b'Untitled',b'Dankvart Dreyer',b'Untitled',,https://az334033.vo.msecnd.net/images-0/untitled-dankvart-dreyer-d4d2a07d.jpg
b'Untitled',b'Harald Slott-M\xc3\xb8ller',b'Untitled',b'DK',https://az334034.vo.msecnd.net/images-8/untitled-harald-slott-moller-7f24ba38.jpg
b"A the victualler's when there is no fishing",b'Peder Severin Kr\xc3\xb8yer',b'fishing',b'DK',https://az333959.vo.msecnd.net/images-7/a-the-victualler-s-when-there-is-no-fishing-peder-severin-kroyer-137b10b5.jpg
b'Untitled',b'Bertha Wegmann',b'Untitled',,https://az333959.vo.msecnd.net/images-7/untitled-bertha-wegmann-dc0b3f2e.jpg
b'Untitled',b'Peder Severin Kr\xc3\xb8yer',b'Untitled',b'DK',https://az334034.vo.msecnd.net/images-2/untitled-peder-severin-kroyer-3-a186a41e.jpg
b'Untitled',b'Theodor Philipsen',b'Untitled',,https://az334033.vo.msecnd.net/images-5/untitled-theodor-philipsen-1-7d04059a.jpg
b'Heinrich Hirschsprung',b'Peder Severin Kr\xc3\xb8yer',b'Hirschsprung',b'DK',https://az333960.vo.msecnd.net/images-6/heinrich-hirschsprung-peder-severin-kroyer-66a43b25.jpg
b'Untitled',b'Kristian Zahrtmann',b'Untitled',,https://az333960.vo.msecnd.net/images-4/untitled-kristian-zahrtmann-2-5c0d7b19.jpg
b'Georg Brandes',b'Peder Severin Kr\xc3\xb8yer',b'Brandes',b'DK',https://az334034.vo.msecnd.net/images-3/georg-brandes-peder-severin-kroyer-d1ebb182.jpg
|b'Summer evening at the South beach, Skagen. Anna Ancher...'|,b'Peder Severin Kr\xc3\xb8yer',b'1893',b'DK',https://az334034.vo.msecnd.net/images-3/summer-evening-at-the-south-beach-skagen-anna-ancher-and-marie-kroyer-study-peder-severin-kroyer-1893-1dcd9514.jpg
b'Untitled',b'Christian Albrecht Jensen',b'Untitled',,https://az334033.vo.msecnd.net/images-6/untitled-christian-albrecht-jensen-1-8b1741f3.jpg
b'Untitled',b'Johan Rohde',b'Untitled',,https://az334033.vo.msecnd.net/images-7/untitled-johan-rohde-d8120e06.jpg
b'Untitled',b'Ditlev Blunck',b'Untitled',,https://az334033.vo.msecnd.net/images-5/untitled-ditlev-blunck-94bceaf9.jpg
b'Portrait of Holger Drachmann',b'Peder Severin Kr\xc3\xb8yer',b'1902',b'DK',https://az333960.vo.msecnd.net/images-4/portrait-of-holger-drachmann-peder-severin-kroyer-1902-4ac31608.jpg
b'Untitled',b'Peder Severin Kr\xc3\xb8yer',b'1902',b'DK',https://az334034.vo.msecnd.net/images-8/untitled-peder-severin-kroyer-1902-1-246a27be.jpg
b'By a sickbed',b'Michael Peter Ancher',b'1879',b'DK',https://az334033.vo.msecnd.net/images-6/by-a-sickbed-michael-peter-ancher-1879-b01d4c4c.jpg
b'Untitled',b'Peder Severin Kr\xc3\xb8yer',b'1887',b'DK',https://az334034.vo.msecnd.net/images-8/untitled-peder-severin-kroyer-1887-e27fc8d0.jpg
b'View of the northern gate of the Citadel from the bastion...',b'Christen K\xc3\xb8bke',b'1834',b'DK',https://az334034.vo.msecnd.net/images-7/view-of-the-northern-gate-of-the-citadel-from-the-bastion-east-of-the-bridge-christen-kobke-1834-0e6ffbb2.jpg
|b'Self-Portrait, by Christoffer Wilhelm Eckersberg'|,b'Christoffer Wilhelm Eckersberg',b'1811',b'DK',https://az334034.vo.msecnd.net/images-1/self-portrait-by-christoffer-wilhelm-eckersberg-christoffer-wilhelm-eckersberg-1811-0749e7f0.jpg
b'Loggia in Ravello',b'Peder Severin Kr\xc3\xb8yer',b'1890',b'DK',https://az333959.vo.msecnd.net/images-0/loggia-in-ravello-peder-severin-kroyer-1890-74f95115.jpg
b'Untitled',b'Julius Paulsen',b'Untitled',,https://az334033.vo.msecnd.net/images-4/untitled-julius-paulsen-922e59a5.jpg
