Title,Artist,Year,Country,Thumbnail
b'Allegory of music',b'Dosso Dossi',b'1530',b'IT',https://az334034.vo.msecnd.net/images-1/allegory-of-music-dosso-dossi-1530-6a8b7d00.jpg
b'Christ in Florence',b'Fra Filippo Lippi',b'1435',b'IT',https://az334033.vo.msecnd.net/images-8/untitled-filippo-lippi-1435-054cc722.jpg
b'Saint Stephen',b'Giotto di Bondone',b'1330',b'IT',https://az334033.vo.msecnd.net/images-4/saint-stephen-giotto-di-bondone-1330-5e074b49.jpg
b'Untitled',b'Filippino Lippi',b'1480',b'IT',https://az333959.vo.msecnd.net/images-8/untitled-filippino-lippi-1480-1-da55191f.jpg
b'Untitled',b'Domenico di Pace Beccafumi',b'1520',,https://az333959.vo.msecnd.net/images-0/untitled-domenico-di-pace-beccafumi-1520-1-127b7ba1.jpg
b'Saint Catherine of Alexandria',b'Luca Signorelli',b'1512',,https://az334033.vo.msecnd.net/images-0/saint-catherine-of-alexandria-luca-signorelli-1512-8917fa83.jpg
b'Untitled',b'Domenico di Pace Beccafumi',b'1528',,https://az334033.vo.msecnd.net/images-7/untitled-domenico-di-pace-beccafumi-1528-f581b4b1.jpg
b'Untitled',b'Benozzo Gozzoli',b'1497',,https://az333960.vo.msecnd.net/images-7/untitled-benozzo-gozzoli-1497-d80d4c8a.jpg
b'Three saints',b'Pietro Lorenzetti',b'1315',,https://az333960.vo.msecnd.net/images-0/three-saints-pietro-lorenzetti-1315-fe5ccfd3.jpg
b'Untitled',b'Piero di Cosimo',b'1495',b'IT',https://az333959.vo.msecnd.net/images-2/untitled-piero-di-cosimo-1495-9c1f31c1.jpg
b'Untitled',b'Domenico di Pace Beccafumi',b'1522',,https://az333960.vo.msecnd.net/images-8/untitled-domenico-di-pace-beccafumi-1522-a17c20bc.jpg
