Title,Artist,Year,Country,Thumbnail
b'Pilgrimage to the Cedars in Lebanon',b'Tivadar Kosztka Csontv\xc3\xa1ry',b'Lebanon',,https://az334034.vo.msecnd.net/images-9/pilgrimage-to-the-cedars-in-lebanon-tivadar-kosztka-csontvary-4dd8bf1a.jpg
b'Fear',b'Erzs\xc3\xa9bet Vaszk\xc3\xb3',b'1970',b'HU',https://az334034.vo.msecnd.net/images-5/fear-1970-hungarian-national-gallery-erzsebet-vaszko-1970-abb1dafd.jpg
b'Women in the Prison',b'Ott\xc3\xb3 Baditz',b'Prison',,https://az333960.vo.msecnd.net/images-2/women-in-the-prison-otto-baditz-49e934d5.jpg
b'Untitled',b'Gyula Bencz\xc3\xbar',b'Untitled',,https://az334034.vo.msecnd.net/images-8/untitled-gyula-benczur-e86778bc.jpg
b'The Visitation',b'Master MS',b'Visitation',,https://az333959.vo.msecnd.net/images-0/the-visitation-master-ms-423d93d2.jpg
b'Dusty Road II',b'Mih\xc3\xa1ly Munk\xc3\xa1csy',b'1884',b'HU',https://az334034.vo.msecnd.net/images-8/dusty-road-ii-mihaly-munkacsy-e755733c.jpg
b'Sheep herd',b'Gyula Aggh\xc3\xa1zy',b'herd',,https://az334033.vo.msecnd.net/images-5/sheep-herd-gyula-agghazy-72d9d668.jpg
b'Portrait of J\xc3\xb3zsef E\xc3\xb6tv\xc3\xb6s',b'M\xc3\xb3r Adler',b'1872',,https://az334034.vo.msecnd.net/images-1/portrait-of-jozsef-eotvos-mor-adler-1872-1a088203.jpg
b'Bathing Woman',b'K\xc3\xa1roly Lotz',b'1901',,https://az334034.vo.msecnd.net/images-7/bathing-woman-karoly-lotz-1901-24ce3b14.jpg
b'Storm at the Puszta',b'Mih\xc3\xa1ly Munk\xc3\xa1csy',b'1867',b'HU',https://az333960.vo.msecnd.net/images-7/storm-at-the-puszta-mihaly-munkacsy-1867-55f4a86f.jpg
b'The Condemned Cell I',b'Mih\xc3\xa1ly Munk\xc3\xa1csy',b'I',b'HU',https://az333959.vo.msecnd.net/images-5/the-condemned-cell-i-mihaly-munkacsy-669c8a80.jpg
b'Garden of Roses with Tower',b'Ilka Ged\xc5\x91',b'1971',b'HU',https://az333959.vo.msecnd.net/images-5/garden-of-roses-with-tower-1971-hungarian-national-gallery-ilka-gedo-1971-46ef31dc.jpg
b'War - knife',b'Imre \xc3\x81mos',b'1943',b'HU',https://az333959.vo.msecnd.net/images-1/war-knife-imre-amos-1943-e74332ce.jpg
b'The painter in front of a burning house',b'Imre \xc3\x81mos',b'1940',b'HU',https://az334034.vo.msecnd.net/images-0/the-painter-in-front-of-a-burning-house-imre-amos-1940-3e865f41.jpg
b'Still Life',b'M\xc3\xb3r Adler',b'1850',,https://az334033.vo.msecnd.net/images-5/still-life-mor-adler-1850-c3df1ec2.jpg
b'On the Slopes of Gell\xc3\xa9rt Hill',b'J\xc3\xb3zsef Nemes Lamp\xc3\xa9rth',b'1917',,https://az334033.vo.msecnd.net/images-8/on-the-slopes-of-gellert-hill-jozsef-nemes-lamperth-1917-d897c2e2.jpg
b"The Artist's Studio",b'P\xc3\xa1l Szinyei Merse',b'1873',,https://az334033.vo.msecnd.net/images-9/the-artist-s-studio-pal-szinyei-merse-1873-0e77c94c.jpg
b'Landscape',b'Gyula Aggh\xc3\xa1zy',b'1878',,https://az333959.vo.msecnd.net/images-5/landscape-gyula-agghazy-1878-a244ac73.jpg
b'Self-Portrait',b'S\xc3\xa1ndor Kozina',b'1832',,https://az333959.vo.msecnd.net/images-4/self-portrait-sandor-kozina-1832-0489b03f.jpg
|b'My Father and Piacsek, with Red Wine'|,b'J\xc3\xb3zsef Rippl-R\xc3\xb3nai',b'1907',,https://az333959.vo.msecnd.net/images-8/my-father-and-piacsek-with-red-wine-jozsef-rippl-ronai-1907-92ac33e7.jpg
b'St. Paul the Apostle',b'Franz Anton Maulbertsch',b'1759',,https://az334033.vo.msecnd.net/images-6/st-paul-the-apostle-franz-anton-maulbertsch-1759-24db881d.jpg
b'Horses in a Rainstorm',b'K\xc3\xa1roly Lotz',b'1862',,https://az334034.vo.msecnd.net/images-8/horses-in-a-rainstorm-karoly-lotz-1862-c2705632.jpg
|b'Italian Landscapes at Sunset, Fishermen'|,b'K\xc3\xa1roly Mark\xc3\xb3',b'1851',,https://az333959.vo.msecnd.net/images-4/italian-landscapes-at-sunset-fishermen-karoly-marko-1851-d8c2fd3d.jpg
b'Landscape',b'Antal Ligeti',b'1854',,https://az333959.vo.msecnd.net/images-7/landscape-antal-ligeti-1854-cabada01.jpg
b'The garden of the magician',b'Lajos Gul\xc3\xa1csy',b'1906',,https://az333960.vo.msecnd.net/images-4/the-garden-of-the-magician-lajos-gulacsy-1906-ef4beed7.jpg
b'Self-portrait',b'J\xc3\xb3zsef Nemes Lamp\xc3\xa9rth',b'1911',,https://az334033.vo.msecnd.net/images-7/self-portrait-jozsef-nemes-lamperth-1911-d298302e.jpg
b'Among Coachmen',b'J\xc3\xa1nos Thorma',b'1902',,https://az333960.vo.msecnd.net/images-5/among-coachmen-janos-thorma-1902-ca07a292.jpg
b'Ordeal of the Bier',b'Jen\xc5\x91 Gy\xc3\xa1rf\xc3\xa1s',b'1881',,https://az334033.vo.msecnd.net/images-5/ordeal-of-the-bier-jeno-gyarfas-1881-807bae85.jpg
b'Bust-Portrait of a Woman',b'Alajos Gy\xc3\xb6rgyi Giergl',b'1856',,https://az334033.vo.msecnd.net/images-1/bust-portrait-of-a-woman-alajos-gyorgyi-giergl-1856-9acfc9f4.jpg
b'Moonrise (Evening at the Corrall)',b'B\xc3\xa9la Iv\xc3\xa1nyi-Gr\xc3\xbcnwald',b'1897',,https://az334034.vo.msecnd.net/images-9/moonrise-evening-at-the-corrall-bela-ivanyi-grunwald-1897-c0d30fc2.jpg
b"The Exile's Dream",b'Viktor Madar\xc3\xa1sz',b'1856',,https://az333959.vo.msecnd.net/images-3/the-exile-s-dream-viktor-madarasz-1856-2cf53e11.jpg
b'Woman on a Garden Seat',b'P\xc3\xa1l Szinyei Merse',b'1873',,https://az334034.vo.msecnd.net/images-0/woman-on-a-garden-seat-pal-szinyei-merse-1873-5df7e873.jpg
b'Maria Theresa as Queen of Hungary',b'Anonymous',b'1740',,https://az333960.vo.msecnd.net/images-1/maria-theresa-as-queen-of-hungary-anonymous-1740-70163402.jpg
b'Woman Lying in Bed',b'J\xc3\xb3zsef Rippl-R\xc3\xb3nai',b'1891',,https://az333960.vo.msecnd.net/images-6/woman-lying-in-bed-jozsef-rippl-ronai-1891-68701ff2.jpg
b'The Self- Sacrifice of Titusz Dugovics',b'Alexander von Wagner',b'1859',,https://az333959.vo.msecnd.net/images-6/the-self-sacrifice-of-titusz-dugovics-alexander-von-wagner-1859-4eb4722c.jpg
b'Still life of fruits with pomegranates and figs',b'Jakob Bogdani',b'figs',,https://az333960.vo.msecnd.net/images-9/still-life-of-fruits-with-pomegranates-and-figs-jakob-bogdani-69670367.jpg
b'Man Standing at a Window',b'Lajos Tihanyi',b'1922',,https://az334034.vo.msecnd.net/images-6/man-standing-at-a-window-lajos-tihanyi-1922-f91fcb6f.jpg
b'Dark Street',b'Mih\xc3\xa1ly Munk\xc3\xa1csy',b'1871',b'HU',https://az334034.vo.msecnd.net/images-0/dark-street-mihaly-munkacsy-1871-2cbe24a3.jpg
