Title,Artist,Year,Country,Thumbnail
b'The Signing of Peace in the Hall of Mirrors',b'William Orpen',b'Mirrors',b'GB',https://az334034.vo.msecnd.net/images-4/the-signing-of-peace-in-the-hall-of-mirrors-william-orpen-069e7d34.jpg
b'Gassed',b'John Singer Sargent',b'1919',b'US',https://az334034.vo.msecnd.net/images-7/gassed-john-singer-sargent-1919-5f8c6fb1.jpg
b'A Street in Arras',b'John Singer Sargent',b'1918',b'US',https://az333960.vo.msecnd.net/images-4/a-street-in-arras-john-singer-sargent-c6ea5590.jpg
b'Ruby Loftus Screwing a Breech Ring',b'Laura Knight',b'Ring',,https://az334034.vo.msecnd.net/images-9/ruby-loftus-screwing-a-breech-ring-laura-knight-1232989e.jpg
b'The Kensingtons at Laventie',b'Eric Kennington',b'Laventie',,https://az333959.vo.msecnd.net/images-8/the-kensingtons-at-laventie-eric-kennington-5201a75b.jpg
|b'Sunrise, Inverness Copse'|,b'Paul Nash',b'1918',,https://az333959.vo.msecnd.net/images-6/sunrise-inverness-copse-paul-nash-1918-ef14030e.jpg
b'Youth Mourning',b'George Clausen',b'1916',b'US',https://az333959.vo.msecnd.net/images-7/youth-mourning-george-clausen-1916-a6a42bbb.jpg
b'Observation of Fire',b'Colin Gill',b'Fire',,https://az333959.vo.msecnd.net/images-3/observation-of-fire-colin-gill-d32bf54f.jpg
|b'Loss of HMS Pathfinder, September 5th 1914'|,b'William Lionel Wyllie',b'1914',,https://az333960.vo.msecnd.net/images-9/loss-of-hms-pathfinder-september-5th-1914-william-lionel-wyllie-1dd0a6b3.jpg
|b'Petty Officer E Pitcher VC, 1918'|,b'Ambrose McEvoy',b'1918',,https://az333959.vo.msecnd.net/images-0/petty-officer-e-pitcher-vc-1918-ambrose-mcevoy-1918-7300dfa1.jpg
b"A Peace Conference at the Quai d'Orsay",b'William Orpen',b"d'Orsay",b'GB',https://az333959.vo.msecnd.net/images-6/a-peace-conference-at-the-quai-d-orsay-william-orpen-2e34f7cc.jpg
b'To the Unknown British Soldier in France',b'William Orpen',b'France',b'GB',https://az333959.vo.msecnd.net/images-2/to-the-unknown-british-soldier-in-france-william-orpen-ce93446c.jpg
b'Damaged Tanks being Lowered into the Hold of a Merchant Ship',b'Bernard Hailstone',b'1943',,https://az333960.vo.msecnd.net/images-2/damaged-tanks-being-lowered-into-the-hold-of-a-merchant-ship-bernard-hailstone-1943-90a33931.jpg
|b'Lieut A. P. F. Rhys Davids, DSO, MC (1897\xe2\x80\x931917)'|,b'William Orpen',b'(1897\xe2\x80\x931917)',b'GB',https://az334033.vo.msecnd.net/images-7/lieut-a-p-f-rhys-davids-dso-mc-1897-1917-william-orpen-7b4f13ca.jpg
|b'Brigadier-general a R H Hutchinson, Cb, Cmg, Dso,...'|,b'Ambrose McEvoy',b'1918',,https://az334033.vo.msecnd.net/images-9/brigadier-general-a-r-h-hutchinson-cb-cmg-dso-assistant-adjutant-general-rm-1918-ambrose-mcevoy-1918-a4a67ba9.jpg
b'An Aerial Fight',b'Louis Whirter',b'Fight',,https://az334033.vo.msecnd.net/images-1/an-aerial-fight-louis-whirter-46a4e413.jpg
b'Self portrait',b'William Orpen',b'1917',b'GB',https://az334033.vo.msecnd.net/images-2/self-portrait-william-orpen-1917-76bfe3e2.jpg
|b'A Balloon Site, Coventry'|,b'Laura Knight',b'1943',,https://az334034.vo.msecnd.net/images-6/a-balloon-site-coventry-laura-knight-1943-0ae18111.jpg
