Title,Artist,Year,Country,Thumbnail
b'Morning at Grand Manan',b'Alfred Thompson Bricher',b'1878',b'US',https://az333960.vo.msecnd.net/images-5/morning-at-grand-manan-alfred-t-bricher-1878-84565080.jpg
b'The Next Wave',b'Frederick J. Waugh',b'1924',b'US',https://az334034.vo.msecnd.net/images-4/the-next-wave-frederick-j-waugh-1924-e0033357.jpg
b'At the End of the Porch',b'John Sharman',b'1918',,https://az334033.vo.msecnd.net/images-0/at-the-end-of-the-porch-john-sharman-1918-3d2654e2.jpg
b'Spring Beauty',b'Raimundo de Madrazo y Garreta',b'Beauty',b'ES',https://az334033.vo.msecnd.net/images-4/spring-beauty-raimundo-de-madrazo-y-garreta-2295897c.jpg
b'Landscape at Saint-R\xc3\xa9my (Enclosed Field with Peasant)',b'Vincent van Gogh',b'1889',b'NL',https://az333960.vo.msecnd.net/images-3/landscape-at-saint-remy-enclosed-field-with-peasant-vincent-van-gogh-1889-f9c575df.jpg
b'Beech Trees',b'William M. Snyder',b'Trees',,https://az334033.vo.msecnd.net/images-5/beech-trees-william-m-snyder-5d9bbd30.jpg
|b'Orchard in the Mountains of Saratoga, California'|,b'Theodore Wores',b'1925',b'US',https://az333960.vo.msecnd.net/images-0/orchard-in-the-mountains-of-saratoga-california-theodore-wores-1925-180266b2.jpg
b'The House of the Deaf Woman and the Belfry at Eragny (La...',b'Camille Pissarro',b'1886',b'FR',https://az333959.vo.msecnd.net/images-8/the-house-of-the-deaf-woman-and-the-belfry-at-eragny-la-maison-de-la-sourde-et-le-clocher-d-eragny-camille-pissarro-1886-32e81edd.jpg
b'The Banks of the Oise near Pontoise',b'Camille Pissarro',b'1873',b'FR',https://az333960.vo.msecnd.net/images-0/the-banks-of-the-oise-near-pontoise-camille-pissarro-1873-be9b1a28.jpg
b'Sunlight',b'Frank Weston Benson',b'1909',b'US',https://az333960.vo.msecnd.net/images-2/sunlight-frank-w-benson-1909-4ec68498.jpg
b'The Park at Mortefontaine',b'Jean-Joseph-Xavier Bidauld',b'1806',b'FR',https://az333960.vo.msecnd.net/images-4/the-park-at-mortefontaine-jean-j-bidauld-1806-a948e938.jpg
b'Afternoon - Yellow Room',b'Frederick Carl Frieseke',b'1910',b'US',https://az334034.vo.msecnd.net/images-0/afternoon-yellow-room-frederick-c-frieseke-1910-347f6b9d.jpg
b'Still Life',b'Matthias Withoos',b'1670',,https://az334033.vo.msecnd.net/images-1/still-life-matthias-withoos-1670-cb8fafa1.jpg
|b'Summer, Lake Ontario'|,b'Jasper Francis Cropsey',b'1857',b'US',https://az333959.vo.msecnd.net/images-5/summer-lake-ontario-jasper-francis-cropsey-1857-4b51c437.jpg
b'The Flageolet Player on the Cliff',b'Paul Gauguin',b'1889',b'FR',https://az333959.vo.msecnd.net/images-7/the-flageolet-player-on-the-cliff-paul-gauguin-1889-2153748d.jpg
b'Preparing for the Matinee',b'Edmund C. Tarbell',b'1907',b'US',https://az333960.vo.msecnd.net/images-1/preparing-for-the-matinee-edmund-c-tarbell-1907-e3261ba3.jpg
b'Afternoon Tea',b'Richard Emile Miller',b'1910',,https://az334033.vo.msecnd.net/images-3/afternoon-tea-richard-emile-miller-1910-77b9d59d.jpg
b'Landscape',b'George-Daniel de Monfreid',b'1889',b'FR',https://az333959.vo.msecnd.net/images-2/landscape-george-daniel-de-monfreid-1889-8a7a15b3.jpg
b'Calypso',b'George Hitchcock',b'1906',b'US',https://az333960.vo.msecnd.net/images-6/calypso-george-hitchcock-1906-e076d5c6.jpg
b'The Kiss of the Siren',b'Gustav Wertheimer',b'1882',b'FR',https://az334034.vo.msecnd.net/images-8/the-kiss-of-the-siren-gustav-wertheimer-1882-5469b206.jpg
