Title,Artist,Year,Country,Thumbnail
b'El Jaleo',b'John Singer Sargent',b'1882',b'US',https://az333960.vo.msecnd.net/images-1/el-jaleo-john-singer-sargent-8848245c.jpg
b'San Giorgio che uccide il drago',b'Carlo Crivelli',b'1470',,https://az334033.vo.msecnd.net/images-4/untitled-carlo-crivelli-1470-1-344e3461.jpg
b'The Storm on the Sea of Galilee',b'Rembrandt',b'1633',b'NL',https://az333959.vo.msecnd.net/images-6/the-storm-on-the-sea-of-galilee-rembrandt-1633-0f7e588c.jpg
b'The Rape of Europa',b'Titian',b'1560',b'IT',https://az333960.vo.msecnd.net/images-1/the-rape-of-europa-titian-1560-20e78574.jpg
b'A Lady and Gentleman in Black',b'Rembrandt',b'Black',b'NL',https://az333960.vo.msecnd.net/images-0/a-lady-and-gentleman-in-black-rembrandt-cd32423b.jpg
b'The Presentation of the Christ Child in the Temple',b'Giotto di Bondone',b'Temple',b'IT',https://az334033.vo.msecnd.net/images-5/the-presentation-of-the-christ-child-in-the-temple-giotto-di-bondone-1ac32e22.jpg
b'Portrait of William Butts',b'Hans Holbein the Younger',b'1543',b'DE',https://az334034.vo.msecnd.net/images-1/portrait-of-william-butts-hans-holbein-35533ae7.jpg
b'Madame Auguste Manet',b'Edouard Manet',b'1863',b'FR',https://az334033.vo.msecnd.net/images-9/madame-auguste-manet-edouard-manet-1863-c51ae1c9.jpg
b'Portrait of Juana of Austria with a Young Girl',b'Sofonisba Anguissola',b'Girl',,https://az333959.vo.msecnd.net/images-8/portrait-of-juana-of-austria-with-a-young-girl-sofonisba-anguissola-cf6f9774.jpg
b'The Concert',b'Johannes Vermeer',b'1663',b'NL',https://az333959.vo.msecnd.net/images-6/the-concert-johannes-vermeer-1663-8f40fafd.jpg
b'Portrait of Isabella Stewart Gardner',b'John Singer Sargent',b'1888',b'US',https://az334033.vo.msecnd.net/images-8/untitled-john-singer-sargent-1-8e66f528.jpg
b'Harmony in blue and silver: Trouville',b'James Abbott McNeill Whistler',b'Trouville',b'US',https://az333959.vo.msecnd.net/images-6/harmony-in-blue-and-silver-trouville-james-abbott-mcneill-whistler-f19e5270.jpg
b'Chez Tortoni',b'Edouard Manet',b'Tortoni',b'FR',https://az333960.vo.msecnd.net/images-9/chez-tortoni-edouard-manet-7884808b.jpg
b'Virgin and Child with an Angel',b'Sandro Botticelli',b'1470',b'IT',https://az334034.vo.msecnd.net/images-6/virgin-and-child-with-an-angel-sandro-botticelli-1470-557a54e4.jpg
b'Lamentation over the Dead Christ',b'Raphael',b'Christ',b'IT',https://az334033.vo.msecnd.net/images-8/lamentation-over-the-dead-christ-raphael-c34a2b5c.jpg
b'The Story of Lucretia',b'Sandro Botticelli',b'1498',b'IT',https://az334034.vo.msecnd.net/images-6/the-story-of-lucretia-sandro-botticelli-1498-dde044e8.jpg
b'Annunciation',b"Piermatteo Lauro de' Manfredi da Amelia",b'Annunciation',,https://az334034.vo.msecnd.net/images-6/annunciation-piermatteo-lauro-de-manfredi-da-amelia-33a32e2a.jpg
b'Jos\xc3\xa9phine Gaujelin',b'Edgar Degas',b'1867',b'FR',https://az334034.vo.msecnd.net/images-9/josephine-gaujelin-edgar-degas-1867-d1ac342e.jpg
b'Mrs. Grover Cleveland',b'Anders Zorn',b'1899',b'SE',https://az333959.vo.msecnd.net/images-3/mrs-grover-cleveland-anders-zorn-1899-b589e625.jpg
b'The Judgment of Midas',b'Paolo Veronese',b'Midas',b'IT',https://az333959.vo.msecnd.net/images-2/the-judgment-of-midas-paolo-veronese-21eab98b.jpg
b'The Death of Adonis',b'Paolo Veronese',b'Adonis',b'IT',https://az333960.vo.msecnd.net/images-9/the-death-of-adonis-paolo-veronese-e5175679.jpg
b'Perseus and Andromeda',b'Paolo Veronese',b'Andromeda',b'IT',https://az333959.vo.msecnd.net/images-6/perseus-and-andromeda-paolo-veronese-a0b7470d.jpg
b'The Music Lesson',b'Gerard ter Borch',b'Lesson',,https://az334034.vo.msecnd.net/images-7/the-music-lesson-gerard-ter-borch-1-199e155e.jpg
b'A Woman in Green and Crimson',b'Piero del Pollaiolo',b'1494',,https://az333960.vo.msecnd.net/images-9/a-woman-in-green-and-crimson-piero-del-pollaiolo-1494-17a62150.jpg
b'Louis XVII',b'Alexander Kucharsky',b'XVII',,https://az333959.vo.msecnd.net/images-0/louis-xvii-alexander-kucharsky-d79cc74a.jpg
|b'Santa Maria dei Gesuati, Venice'|,b'John Singer Sargent',b'1903',b'US',https://az333960.vo.msecnd.net/images-3/santa-maria-dei-gesuati-venice-john-singer-sargent-1903-564e7b0a.jpg
b'Saint Elizabeth of Hungary',b'Ambrogio Lorenzetti',b'1333',b'DK',https://az333960.vo.msecnd.net/images-8/saint-elizabeth-of-hungary-ambrogio-lorenzetti-1333-0b783768.jpg
b'autoportrait de Baccio Bandinelli',b'Bartolommeo Bandinelli',b'1530',,https://az333960.vo.msecnd.net/images-1/autoportrait-de-baccio-bandinelli-bartolommeo-bandinelli-1530-c0baa58b.jpg
