Title,Artist,Year,Country,Thumbnail
b"The Entry of the Animals into Noah's Ark",b'Jan Brueghel the Elder',b'1613',b'BE',https://az333959.vo.msecnd.net/images-2/the-entry-of-the-animals-into-noah-s-ark-jan-brueghel-the-elder-1613-1-b8240629.jpg
b'An Italianate Landscape with Travelers on a Path',b'Jan Both',b'Path',b'NL',https://az333959.vo.msecnd.net/images-0/an-italianate-landscape-with-travelers-on-a-path-jan-both-4158fb05.jpg
|b'Corner of the Garden, Alcazar, Sevilla'|,b'Joaquin Sorolla y Bastida',b'1910',b'ES',https://az334033.vo.msecnd.net/images-1/corner-of-the-garden-alcazar-sevilla-joaquin-sorolla-1910-e0130c60.jpg
|b'Portrait of Louise de Keroualle, Duchess of Portsmouth'|,b'Peter Lely',b'Portsmouth',,https://az333959.vo.msecnd.net/images-6/portrait-of-louise-de-keroualle-duchess-of-portsmouth-peter-lely-9ae7d801.jpg
b'Tarquin the Elder Consulting Attius Navius',b'Sebastiano Ricci',b'Navius',b'IT',https://az334033.vo.msecnd.net/images-9/tarquin-the-elder-consulting-attius-navius-sebastiano-ricci-fe9dbdb1.jpg
b'The Satyr and the Peasant Family',b'Jan Steen',b'Family',b'NL',https://az334034.vo.msecnd.net/images-1/the-satyr-and-the-peasant-family-jan-steen-0e87f664.jpg
b'Aurora Taking Leave of Tithonus',b'Francesco Solimena',b'1704',b'IT',https://az334033.vo.msecnd.net/images-6/aurora-taking-leave-of-tithonus-francesco-solimena-1704-5ba5f35d.jpg
b'Elijah Receiving Bread from the Widow of Zarephath',b'Giovanni Lanfranco',b'Zarephath',b'IT',https://az333960.vo.msecnd.net/images-7/elijah-receiving-bread-from-the-widow-of-zarephath-giovanni-lanfranco-93b7e518.jpg
b'Venus at the Forge of Vulcan',b'Francesco Solimena',b'1704',b'IT',https://az334033.vo.msecnd.net/images-1/venus-at-the-forge-of-vulcan-francesco-solimena-1704-099b4af1.jpg
b'Vanitas - Still-Life (with crystal ball).',b'Pieter Claesz.',b'1634',b'BE',https://az334033.vo.msecnd.net/images-7/vanitas-still-life-with-crystal-ball-pieter-claesz-1634-45cbfef6.jpg
b'Vase of Flowers',b'Jan van Huysum',b'1722',b'NL',https://az333959.vo.msecnd.net/images-8/vase-of-flowers-jan-van-huysum-1722-a54664dc.jpg
b'Lady Playing a Lute',b'Bartolomeo Veneto',b'Lute',b'IT',https://az334034.vo.msecnd.net/images-1/lady-playing-a-lute-bartolomeo-veneto-a1dc7078.jpg
b'Landscape with Classical Ruins and Figures',b'Sebastiano Ricci',b'Figures',b'IT',https://az334034.vo.msecnd.net/images-0/landscape-with-classical-ruins-and-figures-sebastiano-ricci-ad321905.jpg
b'Diana and Her Nymphs Bathing',b'Jean Fran\xc3\xa7ois de Troy',b'Bathing',,https://az333960.vo.msecnd.net/images-0/diana-and-her-nymphs-bathing-jean-francois-de-troy-fb5591eb.jpg
|b'The Age of Augustus, the Birth of Christ'|,b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'Christ',b'FR',https://az333960.vo.msecnd.net/images-6/the-age-of-augustus-the-birth-of-christ-jean-leon-gerome-02528aec.jpg
|b'Portrait of John, Lord Mountstuart, later 4th Earl and...'|,b'Jean-Etienne Liotard',b'1763',b'CH',https://az333960.vo.msecnd.net/images-6/portrait-of-john-lord-mountstuart-later-4th-earl-and-1st-marquess-of-bute-jean-etienne-liotard-1763-80f9382e.jpg
b'Death of Messalina',b'Francesco Solimena',b'Messalina',b'IT',https://az334033.vo.msecnd.net/images-5/death-of-messalina-francesco-solimena-fac18224.jpg
b'Self-portrait',b'Edgar Degas',b'Self-portrait',b'FR',https://az333960.vo.msecnd.net/images-2/self-portrait-edgar-degas-2671f059.jpg
b'The Glorification of the Union of the Houses of Hapsburg...',b'Franz Anton Maulbertsch',b'1775',,https://az334033.vo.msecnd.net/images-8/the-glorification-of-the-union-of-the-houses-of-hapsburg-and-lorraine-franz-anton-maulbertsch-1775-21e6924a.jpg
|b'Mars and Venus, Allegory of Peace (Mars et V\xc3\xa9nus,...'|,b'Louis-Jean-Fran\xc3\xa7ois Lagren\xc3\xa9e',b'1770',,https://az333959.vo.msecnd.net/images-5/mars-and-venus-allegory-of-peace-mars-et-venus-allegorie-sur-la-paix-louis-jean-francois-lagrenee-1770-05c92745.jpg
b'Before the Ball',b'Jean Fran\xc3\xa7ois de Troy',b'1735',,https://az334034.vo.msecnd.net/images-4/before-the-ball-jean-francois-de-troy-1735-df3a6e59.jpg
b'Baronne de Domecy',b'Odilon Redon',b'Domecy',b'FR',https://az334033.vo.msecnd.net/images-4/baronne-de-domecy-odilon-redon-93ed2a5b.jpg
b'Madonna and Child with Musical Angels',b'Gherardo Starnina',b'Angels',,https://az333959.vo.msecnd.net/images-7/madonna-and-child-with-musical-angels-gherardo-starnina-4e84c8fe.jpg
|b'Holy Family with Saints Anne, Catherine of Alexandria,...'|,b'Nosadella',|b'Alexandria,...'|,,https://az334033.vo.msecnd.net/images-9/holy-family-with-saints-anne-catherine-of-alexandria-and-mary-magdalene-nosadella-19616c5a.jpg
b'Portrait of a Woman with a Book of Music',b'Francesco Bacchiacca',b'Music',,https://az333959.vo.msecnd.net/images-8/portrait-of-a-woman-with-a-book-of-music-francesco-bacchiacca-f78a299c.jpg
b'Entrance to the Jardin Turc',b'Louis-L\xc3\xa9opold Boilly',b'1812',,https://az333960.vo.msecnd.net/images-1/entrance-to-the-jardin-turc-louis-leopold-boilly-1812-0e24b646.jpg
b'Venus and Mars',b'Palma il Giovane',b'Mars',,https://az334034.vo.msecnd.net/images-8/venus-and-mars-palma-il-giovane-fffc2ca5.jpg
b'Still Life with Bowl of Citrons',b'Giovanna Garzoni',b'Citrons',,https://az333959.vo.msecnd.net/images-8/still-life-with-bowl-of-citrons-giovanna-garzoni-a66392ea.jpg
b'Orpheus and Eurydice',b'Jean Raoux',b'Eurydice',,https://az334034.vo.msecnd.net/images-8/orpheus-and-eurydice-jean-raoux-67e1c4fa.jpg
b'Portrait of Louise-Antoinette Feuardent',b'Jean-Fran\xc3\xa7ois Millet',b'1841',b'FR',https://az333959.vo.msecnd.net/images-3/portrait-of-louise-antoinette-feuardent-jean-francois-millet-1841-1-5c4e85b5.jpg
b'Madonna and Child',b'Master of Saint Cecilia',b'Child',,https://az334034.vo.msecnd.net/images-9/madonna-and-child-master-of-saint-cecilia-3b49e58e.jpg
b'Venus and Adonis',b'Simon Vouet',b'Adonis',,https://az333960.vo.msecnd.net/images-9/venus-and-adonis-simon-vouet-0ab815e8.jpg
