Title,Artist,Year,Country,Thumbnail
b'Mrs Williams monument',b'John Ingleby',b'monument',b'GB',https://az333960.vo.msecnd.net/images-1/mrs-williams-monument-john-ingleby-7b41dcb1.jpg
b'Llanafryn',b'John Ingleby',b'Llanafryn',b'GB',https://az334034.vo.msecnd.net/images-4/llanafryn-john-ingleby-c263f9b7.jpg
b'Ystumllyn',b'John Ingleby',b'Ystumllyn',b'GB',https://az334034.vo.msecnd.net/images-6/ystumllyn-john-ingleby-6fdfe3ee.jpg
b'Mold',b'John Ingleby',b'Mold',b'GB',https://az334033.vo.msecnd.net/images-5/mold-john-ingleby-21ebf62a.jpg
b'Powis Castle',b'John Ingleby',b'Castle',b'GB',https://az334034.vo.msecnd.net/images-5/powis-castle-john-ingleby-1-e6a39977.jpg
b'Park',b'John Ingleby',b'Park',b'GB',https://az333959.vo.msecnd.net/images-8/park-john-ingleby-1-d138a7d3.jpg
b'Berrew',b'John Ingleby',b'Berrew',b'GB',https://az333960.vo.msecnd.net/images-7/berrew-john-ingleby-1f6d69b6.jpg
b'Part of the aquaduct at Chirk',b'John Ingleby',b'Chirk',b'GB',https://az333959.vo.msecnd.net/images-6/part-of-the-aquaduct-at-chirk-john-ingleby-5daed4e1.jpg
b'Old chapel in Caernarvon town',b'John Ingleby',b'town',b'GB',https://az334034.vo.msecnd.net/images-5/old-chapel-in-caernarvon-town-john-ingleby-4d2cdeaa.jpg
b'Wattleburgh Castle',b'John Ingleby',b'Castle',b'GB',https://az334033.vo.msecnd.net/images-1/wattleburgh-castle-john-ingleby-f7e5c51e.jpg
b'Upper Berwick',b'John Ingleby',b'Berwick',b'GB',https://az333959.vo.msecnd.net/images-2/upper-berwick-john-ingleby-10749c57.jpg
b'South aspect of Caergwrle Castle',b'John Ingleby',b'Castle',b'GB',https://az334033.vo.msecnd.net/images-4/south-aspect-of-caergwrle-castle-john-ingleby-b1d59b99.jpg
