Title,Artist,Year,Country,Thumbnail
b'Le Printemps',b'William-Adolphe Bouguereau',b'1886',b'FR',https://az334033.vo.msecnd.net/images-8/le-printemps-william-adolphe-bouguereau-1886-be8efd3b.jpg
b'Oregon Trail',b'Albert Bierstadt',b'1869',,https://az334034.vo.msecnd.net/images-4/oregon-trail-albert-bierstadt-1869-894e587a.jpg
b'Untitled',b'Massimo Stanzione',b'1645',,https://az333960.vo.msecnd.net/images-3/untitled-massimo-stanzione-1645-ade7aa60.jpg
b'Portrait of Dirck van Os',b'Rembrandt',b'Os',b'NL',https://az334034.vo.msecnd.net/images-3/portrait-of-dirck-van-os-rembrandt-df96c158.jpg
b'Portrait of Ruamps de Surgeres',b'Jean-Louis Laneuville',b'1792',,https://az334034.vo.msecnd.net/images-0/portrait-of-ruamps-de-surgeres-jean-louis-laneuville-1792-3ad11e69.jpg
|b'Haymakers, Evening, Eragny'|,b'Camille Pissarro',b'1893',b'FR',https://az333960.vo.msecnd.net/images-5/haymakers-evening-eragny-camille-pissarro-1893-e31757a4.png
b"August Night At Russell's Corners",b'George Ault',b'1940',,https://az334033.vo.msecnd.net/images-4/august-night-at-russell-s-corners-george-ault-1940-60b98c11.jpg
b'The Knitting Girl',b'William-Adolphe Bouguereau',b'1869',b'FR',https://az333959.vo.msecnd.net/images-3/the-knitting-girl-william-adolphe-bouguereau-1869-6b1119d5.jpg
b'Storm on the Matterhorn',b'Albert Bierstadt',b'1886',,https://az333960.vo.msecnd.net/images-1/storm-on-the-matterhorn-albert-bierstadt-1886-19531217.jpg
b'Dawn at Donner Lake',b'Albert Bierstadt',b'1871',,https://az333960.vo.msecnd.net/images-4/dawn-at-donner-lake-albert-bierstadt-1871-586d06d0.jpg
b'Untitled',b'Titian',b'1525',b'IT',https://az333960.vo.msecnd.net/images-2/untitled-titian-1525-2-e7d2ad5a.jpg
b'Portrait of Mrs. A. Lawrence Rotch',b'John Singer Sargent',b'1903',b'US',https://az334033.vo.msecnd.net/images-7/portrait-of-mrs-a-lawrence-rotch-john-singer-sargent-1903-d6c9ba90.jpg
b'Rest on the Flight into Egypt',b'Claude Lorrain',b'1640',b'FR',https://az333960.vo.msecnd.net/images-8/rest-on-the-flight-into-egypt-claude-lorrain-1640-35975fe0.jpg
|b'Portrait of a woman, standing before a landscape'|,b'Anthony van Dyck',b'1635',b'NL',https://az333960.vo.msecnd.net/images-0/portrait-of-a-woman-standing-before-a-landscape-anthony-van-dyck-1635-f1e6a322.jpg
