Title,Artist,Year,Country,Thumbnail
b'Saint Mamm\xc3\xa8s',b'Alfred Sisley',b'1898',b'GB',https://az333959.vo.msecnd.net/images-3/saint-mammes-alfred-sisley-1898-3434dc15.jpg
|b'Saint Andrew, patron of the fishermen'|,b'Jusepe de Ribera',b'1634',b'ES',https://az333960.vo.msecnd.net/images-9/saint-andrew-patron-of-the-fishermen-jusepe-de-ribera-1634-dccd9f02.jpg
b'Self-portrait',b'Maarten van Heemskerck',b'1550',b'NL',https://az333959.vo.msecnd.net/images-2/self-portrait-maarten-van-heemskerck-1550-83843f3a.jpg
b'Pigeons and Fowls',b'Francisco Goya',b'1750',,https://az333960.vo.msecnd.net/images-9/pigeons-and-fowls-francisco-goya-1750-cefc0915.jpg
b'En plena naturaleza',b'Mart\xc3\xadn Malharro',b'1911',,https://az334034.vo.msecnd.net/images-4/en-plena-naturaleza-martin-malharro-1911-229f07e1.jpg
b'Alamos',b'Walter de Navazio',b'1921',,https://az334034.vo.msecnd.net/images-0/alamos-walter-de-navazio-1921-66858b15.jpg
b'Still-life',b'Antoine Vollon',b'1900',,https://az333959.vo.msecnd.net/images-4/still-life-antoine-vollon-1900-64599844.jpg
b'Saint Luke paints the Virgin',b'Luca Giordano',b'1660',b'IT',https://az333960.vo.msecnd.net/images-2/saint-luke-paints-the-virgin-luca-giordano-1660-fda6b597.jpg
b'Die Nachricht',b'Ignacio Manzoni',b'1900',,https://az333959.vo.msecnd.net/images-6/die-nachricht-ignacio-manzoni-1900-6107e27c.jpg
b'Pink flowers (Rosario)',b'Henri Fantin-Latour',b'(Rosario)',b'FR',https://az334034.vo.msecnd.net/images-3/pink-flowers-rosario-henri-fantin-latour-e5611cea.jpg
b'Vaca perseguida por un can',b'Constant Troyon',b'1865',,https://az333960.vo.msecnd.net/images-2/vaca-perseguida-por-un-can-constant-troyon-1865-b84173e0.jpg
b'Crep\xc3\xbasculo',b'Charles-Fran\xc3\xa7ois Daubigny',b'1878',b'FR',https://az333959.vo.msecnd.net/images-9/crepusculo-charles-francois-daubigny-1878-c1160a4a.jpg
b'Palermo',b'Ram\xc3\xb3n Silva',b'Palermo',,https://az333960.vo.msecnd.net/images-5/palermo-ramon-silva-1ee8d0de.jpg
b'Agencia de colocaciones',b'Thibon de Libian',b'1920',,https://az334033.vo.msecnd.net/images-7/agencia-de-colocaciones-thibon-de-libian-1920-73870b6c.jpg
b'La cometa',b'Franklin Rawson',b'1868',,https://az333960.vo.msecnd.net/images-8/la-cometa-franklin-rawson-1868-137ef644.jpg
b'Virgin and Child',b'Gerard David',b'Child',b'NL',https://az333960.vo.msecnd.net/images-9/virgin-and-child-gerard-david-98581dbd.jpg
b'Desnudo',b'Eduardo Schiaffino',b'1888',,https://az333959.vo.msecnd.net/images-2/desnudo-eduardo-schiaffino-1888-198776c2.jpg
