Title,Artist,Year,Country,Thumbnail
b'Summer Night. Inger on the Beach',b'Edvard Munch',b'1889',b'NO',https://az334034.vo.msecnd.net/images-9/summer-night-inger-on-the-beach-edvard-munch-1889-826af2eb.jpg
b'Self-Portrait in the Clinic',b'Edvard Munch',b'1909',b'NO',https://az334034.vo.msecnd.net/images-9/self-portrait-in-the-clinic-edvard-munch-1909-1b7974b1.jpg
b'Evening on Karl Johan Street',b'Edvard Munch',b'1892',b'NO',https://az334033.vo.msecnd.net/images-1/evening-on-karl-johan-street-edvard-munch-1892-46523427.jpg
b'Jealousy',b'Edvard Munch',b'Jealousy',b'NO',https://az333959.vo.msecnd.net/images-3/jealousy-edvard-munch-3ecf15c3.jpg
b'Street in Bruges',b'Anders Castus Svarstad',b'Bruges',,https://az334033.vo.msecnd.net/images-1/street-in-bruges-anders-castus-svarstad-baa80080.jpg
b'Dresden by Moonlight',b'Johan Christian Dahl',b'Moonlight',b'NO',https://az333959.vo.msecnd.net/images-4/dresden-by-moonlight-johan-christian-dahl-1-3a5bc982.jpg
|b'Via Bocca di Leone, Rome'|,b'Anders Castus Svarstad',b'Rome',,https://az333960.vo.msecnd.net/images-0/via-bocca-di-leone-rome-anders-castus-svarstad-c8f51034.jpg
|b'Palonetto, Sta. Lucia, Naples'|,b'Anders Castus Svarstad',b'Naples',,https://az334034.vo.msecnd.net/images-3/palonetto-sta-lucia-naples-anders-castus-svarstad-3d89b7a8.jpg
b'Birch Tree in a Storm',b'Johan Christian Dahl',b'Storm',b'NO',https://az334034.vo.msecnd.net/images-9/birch-tree-in-a-storm-johan-christian-dahl-a1f9e235.jpg
|b'From the Romsdal Fjord, 1875'|,b'Adelsteen Normann',b'1875',b'NO',https://az333960.vo.msecnd.net/images-0/from-the-romsdal-fjord-1875-adelsteen-normann-1875-76ee96a4.jpg
b'Weeping Woman',b'Edvard Munch',b'1907',b'NO',https://az333959.vo.msecnd.net/images-8/weeping-woman-edvard-munch-1907-00593c69.jpg
b'Morning',b'Edvard Munch',b'1884',b'NO',https://az333959.vo.msecnd.net/images-0/morning-edvard-munch-1884-42bb6cb5.jpg
b'Karen Bj\xc3\xb8lstad',b'Edvard Munch',b'1885',b'NO',https://az333959.vo.msecnd.net/images-8/karen-bjolstad-edvard-munch-1885-abca34d0.jpg
b'Andreas by the Window',b'Edvard Munch',b'1883',b'NO',https://az334033.vo.msecnd.net/images-4/andreas-by-the-window-edvard-munch-1883-2a065ddf.jpg
b'The Port of London',b'Anders Castus Svarstad',b'London',,https://az334033.vo.msecnd.net/images-1/the-port-of-london-anders-castus-svarstad-54c5cb07.jpg
b'View of Nigardsbreen in Jostedalen',b'Johan Christian Dahl',b'Jostedalen',b'NO',https://az334034.vo.msecnd.net/images-8/view-of-nigardsbreen-in-jostedalen-johan-christian-dahl-fddb1e42.jpg
b'View of Bergen Harbour',b'Johan Christian Dahl',b'Harbour',b'NO',https://az334033.vo.msecnd.net/images-8/view-of-bergen-harbour-johan-christian-dahl-f7f1b44e.jpg
b'M\xc3\xa5b\xc3\xb8dalen',b'Johan Christian Dahl',b'M\xc3\xa5b\xc3\xb8dalen',b'NO',https://az334033.vo.msecnd.net/images-6/mabodalen-johan-christian-dahl-f59f7856.jpg
