Title,Artist,Year,Country,Thumbnail
b'The Anger of Achilles',b'Jacques-Louis David',b'Achilles',b'FR',https://az334034.vo.msecnd.net/images-3/the-anger-of-achilles-jacques-louis-david-56a09a6e.jpg
|b'The Molo, Venice'|,b'Canaletto',b'1735',b'IT',https://az334034.vo.msecnd.net/images-1/the-molo-venice-canaletto-1735-eb05ba16.jpg
b'The Cheat with the Ace of Clubs',b'Georges de La Tour',b'1630',b'FR',https://az333960.vo.msecnd.net/images-2/the-cheat-with-the-ace-of-clubs-georges-de-la-tour-1630-1-8713c413.jpg
b'On the Pont de l\xe2\x80\x99Europe',b'Gustave Caillebotte',b'1877',b'FR',https://az334033.vo.msecnd.net/images-4/on-the-pont-de-l-europe-gustave-caillebotte-1876-2f7de54a.jpg
b'The Girls on the Bridge',b'Edvard Munch',b'1933',b'NO',https://az334034.vo.msecnd.net/images-9/the-girls-on-the-bridge-edvard-munch-1933-77cd54d6.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1861',b'FR',https://az333960.vo.msecnd.net/images-6/untitled-jean-baptiste-camille-corot-1861-1-7c2d605c.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1872',b'FR',https://az334033.vo.msecnd.net/images-5/untitled-jean-baptiste-camille-corot-1872-daae5175.jpg
b'The Anger of Achilles',b'Jacques-Louis David',b'1819',b'FR',https://az333960.vo.msecnd.net/images-8/untitled-jacques-louis-david-1810-1-f74a894d.jpg
b"Heureux age! Age d'or (Happy Age! Golden Age)",b'Antoine Watteau',b'1718',b'FR',https://az333960.vo.msecnd.net/images-6/heureux-age-age-d-or-happy-age-golden-age-antoine-watteau-1718-6570198c.jpg
b'Portia and Brutus',b"Ercole de' Roberti",b'1486',,https://az333959.vo.msecnd.net/images-8/portia-and-brutus-ercole-de-roberti-1486-1bb9b8e1.jpg
b'The Cardsharps',b'Michelangelo Merisi da Caravaggio',b'1594',b'IT',https://az334033.vo.msecnd.net/images-6/the-cardsharps-caravaggio-1594-9b7db0e3.jpg
b'Portrait of May Sartoris',b'Frederic Leighton',b'1860',b'GB',https://az333960.vo.msecnd.net/images-1/portrait-of-may-sartoris-frederic-leighton-1860-39473ec2.jpg
b'Self-portrait',b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'1781',b'FR',https://az333960.vo.msecnd.net/images-4/self-portrait-louise-elisabeth-vigee-le-brun-1781-69fe2227.jpg
b'Four Figures on a Step',b'Bartolom\xc3\xa9 Esteban Murillo',b'1655',b'ES',https://az334034.vo.msecnd.net/images-9/untitled-bartolome-esteban-murillo-1655-dbd4386e.jpg
b'Mountain Peak with Drifting Clouds',b'Caspar David Friedrich',b'1835',b'DE',https://az334033.vo.msecnd.net/images-8/mountain-peak-with-drifting-clouds-caspar-david-friedrich-1835-1250a227.jpg
b'La Simplicit\xc3\xa9 (Simplicity)',b'Jean-Baptiste Greuze',b'1759',b'FR',https://az334034.vo.msecnd.net/images-6/la-simplicite-simplicity-jean-baptiste-greuze-1759-dd9cbaca.jpg
b'The Rommelpot player',b'Frans Hals',b'1618',b'NL',https://az333960.vo.msecnd.net/images-2/the-rommelpot-player-frans-hals-1618-96faf0e6.jpg
b'Rough Sea at a Jetty',b'Jacob van Ruisdael',b'Jetty',b'NL',https://az333959.vo.msecnd.net/images-6/rough-sea-at-a-jetty-jacob-van-ruisdael-6beb6dd3.jpg
b'Young Student Drawing',b'Jean-Baptiste-Sim\xc3\xa9on Chardin',b'1738',b'FR',https://az334033.vo.msecnd.net/images-6/young-student-drawing-jean-baptiste-simeon-chardin-1738-4035080d.jpg
|b'Portrait of Hendrik III, Count of Nassau-Breda'|,b'Jan Gossaert',b'1516',b'NL',https://az334034.vo.msecnd.net/images-1/portrait-of-hendrik-iii-count-of-nassau-breda-jan-gossaert-1516-eb05476f.jpg
b"The Butcher's Shop",b'Annibale Carracci',b'1580',b'IT',https://az334034.vo.msecnd.net/images-1/the-butcher-s-shop-annibale-carracci-1580-bb452cd3.jpg
b'Pythagoras Emerging from the Underworld',b'Salvator Rosa',b'1662',b'IT',https://az333959.vo.msecnd.net/images-9/pythagoras-emerging-from-the-underworld-salvator-rosa-1662-8fb43613.jpg
b'Equestrian Portrait of the Duke of Buckingham',b'Peter Paul Rubens',b'1625',b'NL',https://az333960.vo.msecnd.net/images-8/equestrian-portrait-of-the-duke-of-buckingham-peter-paul-rubens-1625-b55c9b58.jpg
b'Portrait of Georges Clemenceau',b'Edouard Manet',b'1879',b'FR',https://az333959.vo.msecnd.net/images-7/portrait-of-georges-clemenceau-edouard-manet-1879-26bbc745.jpg
b'Selim and Zuleika',b'Eug\xc3\xa8ne Delacroix',b'1857',b'FR',https://az334034.vo.msecnd.net/images-4/selim-and-zuleika-eugene-delacroix-1857-f6dd31b0.jpg
b'The Apostle Saint James the Greater Freeing the Magician...',b'Fra Angelico',b'1426',b'IT',https://az334034.vo.msecnd.net/images-6/the-apostle-saint-james-the-greater-freeing-the-magician-hermogenes-fra-angelico-1426-58e6f516.jpg
b'Portrait of Mrs. Andrew Reid',b'George Romney',b'1780',b'GB',https://az333959.vo.msecnd.net/images-3/portrait-of-mrs-andrew-reid-george-romney-1780-6d90da5e.jpg
b'Saint Sebastian Tended by Irene',b'Georges de La Tour',b'1632',b'FR',https://az333960.vo.msecnd.net/images-3/saint-sebastian-tended-by-irene-georges-de-la-tour-1632-b2b1de33.jpg
b'Dentist by Candlelight',b'Gerrit Dou',b'1664',b'NL',https://az334033.vo.msecnd.net/images-0/dentist-by-candlelight-gerrit-dou-1664-d5880ba9.jpg
b"Venus at Vulcan's Forge",b'Fran\xc3\xa7ois Boucher',b'1769',b'FR',https://az333960.vo.msecnd.net/images-0/venus-at-vulcan-s-forge-francois-boucher-1769-f60c02d3.jpg
b'The Flight into Egypt',b'Adam Elsheimer',b'1605',,https://az334033.vo.msecnd.net/images-8/the-flight-into-egypt-adam-elsheimer-1605-467a09c6.jpg
b'Glaucus and Scylla',b'J M W Turner',b'1841',,https://az333959.vo.msecnd.net/images-9/glaucus-and-scylla-j-m-w-turner-1841-ed2cc2c4.jpg
b'The Coronation of the Virgin',b'Giovanni Battista Tiepolo',b'1754',b'IT',https://az333959.vo.msecnd.net/images-7/the-coronation-of-the-virgin-giovanni-battista-tiepolo-1754-bea41fa2.jpg
b'The Triumph of David',b'Jan van den Hoecke',b'1635',,https://az333960.vo.msecnd.net/images-1/the-triumph-of-david-jan-van-den-hoecke-1635-dd816ac5.jpg
b'La Pointe de la H\xc3\xa8ve at Low Tide',b'Claude Monet',b'1865',b'FR',https://az334033.vo.msecnd.net/images-5/la-pointe-de-la-heve-at-low-tide-claude-monet-1865-029e1758.jpg
b'The Raising of Lazarus',b'Duccio di Buoninsegna',b'1310',,https://az333960.vo.msecnd.net/images-5/the-raising-of-lazarus-duccio-di-buoninsegna-1310-76e06afa.jpg
b'The Judgment of Paris',b'Lucas Cranach the Elder',b'1512',b'DE',https://az333960.vo.msecnd.net/images-9/the-judgment-of-paris-lucas-cranach-the-elder-1512-df7d27d7.jpg
b'Man in a Blue Smock',b'Paul C\xc3\xa9zanne',b'1896',b'FR',https://az333960.vo.msecnd.net/images-7/man-in-a-blue-smock-paul-cezanne-1896-b77bdb1b.jpg
b'Portrait of Doge Pietro Loredan',b'Jacopo Tintoretto',b'Loredan',,https://az333959.vo.msecnd.net/images-3/portrait-of-doge-pietro-loredan-jacopo-tintoretto-cf7e63cc.jpg
|b'Interior of the Buurkerk, Utrecht'|,b'Pieter Jansz Saenredam',b'1645',,https://az333959.vo.msecnd.net/images-5/interior-of-the-buurkerk-utrecht-pieter-jansz-saenredam-1645-2c7e4bd0.jpg
b'Mucius Scaevola Confronting King Porsenna',b'Bernardo Cavallino',b'1650',,https://az333960.vo.msecnd.net/images-9/mucius-scaevola-confronting-king-porsenna-bernardo-cavallino-1650-a3e3817f.jpg
b'Maison Maria with a View of Ch\xc3\xa2teau Noir',b'Paul C\xc3\xa9zanne',b'1895',b'FR',https://az333960.vo.msecnd.net/images-9/maison-maria-with-a-view-of-chateau-noir-paul-cezanne-1895-6211ea93.jpg
|b'Still Life with Oranges, Jars, and Boxes of Sweets'|,b'Luis Egidio Mel\xc3\xa9ndez',b'1760',,https://az334034.vo.msecnd.net/images-6/still-life-with-oranges-jars-and-boxes-of-sweets-luis-egidio-melendez-1760-b33a4939.jpg
b'Peasant Interior with an Old Flute Player',b'Louis Le Nain',b'1642',,https://az333960.vo.msecnd.net/images-4/peasant-interior-with-an-old-flute-player-louis-le-nain-1642-b69c536c.jpg
