Title,Artist,Year,Country,Thumbnail
b'Charles in a Striped Jersey',b'Henri Evenepoel',b'1898',b'BE',https://az334033.vo.msecnd.net/images-4/charles-in-a-striped-jersey-henri-evenepoel-c91ba32d.jpg
b'The Way of the Cross',b'Herri met de Bles',b'1525',,https://az334033.vo.msecnd.net/images-4/the-way-of-the-cross-herri-met-de-bles-1525-4faf8226.jpg
b'La marchande masque',b'Armand Rassenfosse',b'1917',,https://az333960.vo.msecnd.net/images-5/la-marchande-masque-armand-rassenfosse-1917-7aafa8f2.jpg
b'The Bagpipe Player',b'Jacob Jordaens',b'Player',,https://az334034.vo.msecnd.net/images-8/the-bagpipe-player-jacob-jordaens-e1f1bacd.jpg
|b'Portret van Mme Depestre, gravin van Seneffe'|,b'Antoine Vestier',b'1785',,https://az334034.vo.msecnd.net/images-8/portret-van-mme-depestre-gravin-van-seneffe-antoine-vestier-1785-4dd0f29a.jpg
b'The Absinth Drinker',b'L\xc3\xa9on Spilliaert',b'1907',,https://az334033.vo.msecnd.net/images-1/the-absinth-drinker-leon-spilliaert-1907-8382a2ef.jpg
b'View of Brussels',b'Jan Baptist Bonnecroy',b'Brussels',,https://az334033.vo.msecnd.net/images-9/view-of-brussels-jan-baptist-bonnecroy-aeec6824.jpg
b'view from the Basilica of Hal',b'Jean-Baptiste Van Moer',b'1845',,https://az333959.vo.msecnd.net/images-3/view-from-the-basilica-of-hal-jean-baptiste-van-moer-1845-6c8c75e3.jpg
b'Camille Lemonnier in the studio of the artist',b'Alfred Stevens',b'artist',b'BE',https://az333960.vo.msecnd.net/images-0/camille-lemonnier-in-the-studio-of-the-artist-alfred-e-stevens-4a4019ad.jpg
b'The yellow bathrobe',b'Armand Rassenfosse',b'1912',,https://az333959.vo.msecnd.net/images-9/the-yellow-bathrobe-armand-rassenfosse-1912-8928b5b8.jpg
b'Matthew the Apostle',b'Anthony van Dyck',b'1700',b'NL',https://az333960.vo.msecnd.net/images-3/matthew-the-apostle-anthony-van-dyck-1700-9251c877.jpg
b'Portrait of Sophie Wolfers',b'Firmin Baes',b'1903',,https://az334034.vo.msecnd.net/images-7/portrait-of-sophie-wolfers-firmin-baes-1903-eceaa2ed.jpg
b'Landscape and Meeting on the Road to Emmaus',b'Herri met de Bles',b'1600',,https://az334033.vo.msecnd.net/images-8/landscape-and-meeting-on-the-road-to-emmaus-herri-met-de-bles-1600-7c8cd605.jpg
b'Self-portrait',b'Jacob Jordaens',b'1700',,https://az333959.vo.msecnd.net/images-8/self-portrait-jacob-jordaens-1700-7522e80f.jpg
b'Portrait of Jan Vekemans',b'Cornelis de Vos',b'1624',,https://az333959.vo.msecnd.net/images-4/portrait-of-jan-vekemans-cornelis-de-vos-1624-01f9f5c6.jpg
