Title,Artist,Year,Country,Thumbnail
b'Terrace of the caf\xc3\xa9 on the Place du Forum in Arles in the...',b'Vincent van Gogh',b'1888',b'NL',https://az334033.vo.msecnd.net/images-7/cafe-terrace-at-night-vincent-van-gogh-1888-123a8d7f.jpg
b'The Sower',b'Vincent van Gogh',b'1888',b'NL',https://az333960.vo.msecnd.net/images-5/the-sower-vincent-van-gogh-b4a7ab26.jpg
b'Portrait of the Postman Joseph Roulin',b'Vincent van Gogh',b'1889',b'NL',https://az334034.vo.msecnd.net/images-7/untitled-vincent-van-gogh-69-a4e2efd0.jpg
b'The Garden of the Asylum at Saint-R\xc3\xa9my',b'Vincent van Gogh',b'1889',b'NL',https://az333959.vo.msecnd.net/images-4/untitled-vincent-van-gogh-14-7a2bcab9.jpg
b'Four Sunflowers Gone to Seed',b'Vincent van Gogh',b'1887',b'NL',https://az334034.vo.msecnd.net/images-2/four-sunflowers-gone-to-seed-vincent-van-gogh-1887-7911153f.jpg
b'Saint-R\xc3\xa9my - Road with Cypress and Star',b'Vincent van Gogh',b'1890',b'NL',https://az334034.vo.msecnd.net/images-0/untitled-vincent-van-gogh-68-c6a20dc3.jpg
b'Flowering Peach Tree (Memory of Mauve)',b'Vincent van Gogh',b'1888',b'NL',https://az333959.vo.msecnd.net/images-2/untitled-vincent-van-gogh-40-51bbddea.jpg
b'Girl in White in the Woods',b'Vincent van Gogh',b'1882',b'NL',https://az333959.vo.msecnd.net/images-9/girl-in-white-in-the-woods-vincent-van-gogh-1882-2ccbad2d.jpg
b'Oilvenhain mit pfl\xc3\xbcckenden Figuren',b'Vincent van Gogh',b'Figuren',b'NL',https://az334033.vo.msecnd.net/images-1/untitled-vincent-van-gogh-67-5b8b144f.jpg
b'Country Road in Provence by Night',b'Vincent van Gogh',b'1890',b'NL',https://az333960.vo.msecnd.net/images-3/road-with-cypress-and-star-vincent-van-gogh-1890-1eb386e3.jpg
b'Willows at Sunset',b'Vincent van Gogh',b'1888',b'NL',https://az333960.vo.msecnd.net/images-7/untitled-vincent-van-gogh-60d02b70.jpg
b'Vase mit Margeriten und Anemonen',b'Vincent van Gogh',b'Anemonen',b'NL',https://az334033.vo.msecnd.net/images-8/untitled-vincent-van-gogh-29-cba20ceb.jpg
b"At Eternity's Gate",b'Vincent van Gogh',b'1890',b'NL',https://az333960.vo.msecnd.net/images-4/at-eternity-s-gate-vincent-van-gogh-1890-b1d484ee.jpg
b'A Meadow in the Mountains: Le Mas de Saint-Paul',b'Vincent van Gogh',b'1889',b'NL',https://az333960.vo.msecnd.net/images-3/a-meadow-in-the-mountains-le-mas-de-saint-paul-vincent-van-gogh-1889-efa139d0.jpg
b'Le Chahut',b'Georges Seurat',b'1890',b'FR',https://az334034.vo.msecnd.net/images-6/le-chahut-georges-seurat-1889-b1c8dc35.jpg
b'Flowering Meadow with Trees and Dandelions',b'Vincent van Gogh',b'1890',b'NL',https://az334034.vo.msecnd.net/images-8/flowering-meadow-with-trees-and-dandelions-vincent-van-gogh-4f08f4a7.jpg
b'Weizenfeld mit Schnitter und Sonne',b'Vincent van Gogh',b'Sonne',b'NL',https://az334034.vo.msecnd.net/images-6/untitled-vincent-van-gogh-47-b2ce9600.jpg
b'Four Withered Sunflowers',b'Vincent van Gogh',b'1887',b'NL',https://az333959.vo.msecnd.net/images-6/four-withered-sunflowers-vincent-van-gogh-633c249c.jpg
b'Pine with female figure in the sunset',b'Vincent van Gogh',b'1889',b'NL',https://az333959.vo.msecnd.net/images-0/untitled-vincent-van-gogh-34-7d21e57b.jpg
b'Untitled',b'Vincent van Gogh',b'Untitled',b'NL',https://az334033.vo.msecnd.net/images-6/untitled-vincent-van-gogh-25-dfe0d66a.jpg
b'Wheat sheaves in a field',b'Vincent van Gogh',b'1885',b'NL',https://az333959.vo.msecnd.net/images-6/untitled-vincent-van-gogh-45-f52d7cd1.jpg
|b'Still life with plaster torso, a rose and two novels'|,b'Vincent van Gogh',b'1887',b'NL',https://az333960.vo.msecnd.net/images-5/untitled-vincent-van-gogh-24-01858ddd.jpg
b'Landscape with wheat sheaves and rising moon',b'Vincent van Gogh',b'1889',b'NL',https://az333959.vo.msecnd.net/images-9/landscape-with-wheat-sheaves-and-rising-moon-vincent-van-gogh-bd2ef2b6.jpg
b'Interior of a Restaurant',b'Vincent van Gogh',b'1887',b'NL',https://az334033.vo.msecnd.net/images-8/interior-of-a-restaurant-vincent-van-gogh-995e3420.jpg
b'Seed field at sunrise',b'Vincent van Gogh',b'1889',b'NL',https://az333959.vo.msecnd.net/images-5/untitled-vincent-van-gogh-43-aea6ac36.jpg
b'Blossoming chestnut trees',b'Vincent van Gogh',b'trees',b'NL',https://az334033.vo.msecnd.net/images-8/untitled-vincent-van-gogh-50-a73fc572.jpg
|b'The Rainbow, Pontoise'|,b'Camille Pissarro',b'Pontoise',b'FR',https://az333960.vo.msecnd.net/images-3/the-rainbow-pontoise-camille-pissarro-db6b1c86.jpg
|b'Still Life with Coffee Mill, Pipe Case and Jug'|,b'Vincent van Gogh',b'1884',b'NL',https://az333960.vo.msecnd.net/images-2/still-life-with-coffee-mill-pipe-case-and-jug-vincent-van-gogh-b4d1a6c7.jpg
b'Portrait of a man',b'Vincent van Gogh',b'1888',b'NL',https://az334034.vo.msecnd.net/images-6/untitled-vincent-van-gogh-65-1ab23e44.jpg
b'Breakfast',b'Paul Signac',b'Breakfast',b'FR',https://az333959.vo.msecnd.net/images-1/breakfast-paul-signac-39c07d18.jpg
b'Flowering meadow',b'Vincent van Gogh',b'1887',b'NL',https://az334033.vo.msecnd.net/images-6/untitled-vincent-van-gogh-46-04d91764.jpg
b'Still Life with a Basket of Apples and Two Pumpkins',b'Vincent van Gogh',b'1885',b'NL',https://az333960.vo.msecnd.net/images-3/still-life-with-a-basket-of-apples-and-two-pumpkins-vincent-van-gogh-a521a511.jpg
b'Le Moulin de la Galette',b'Vincent van Gogh',b'1886',b'NL',https://az333959.vo.msecnd.net/images-9/untitled-vincent-van-gogh-32-68a34d61.jpg
b'Garden of Saint-Paul Hospital with Figure',b'Vincent van Gogh',b'1889',b'NL',https://az333960.vo.msecnd.net/images-8/untitled-vincent-van-gogh-30-b86f0ed4.jpg
|b'Still life (primroses, pears and promenates)'|,b'Henri Fantin-Latour',b'1904',b'FR',https://az333959.vo.msecnd.net/images-3/untitled-henri-fantin-latour-1866-79c2422d.jpg
