Title,Artist,Year,Country,Thumbnail
b'Death and the Child',b'Edvard Munch',b'Child',b'NO',https://az333959.vo.msecnd.net/images-7/death-and-the-child-edvard-munch-00efcc15.jpg
b'The Cemetery Gate',b'Caspar David Friedrich',b'1825',b'DE',https://az333959.vo.msecnd.net/images-3/the-cemetery-gate-caspar-david-friedrich-1825-bf91ba82.jpg
|b'The Nap, Peasant Woman Lying in the Grass, Pontoise'|,b'Camille Pissarro',b'1882',b'FR',https://az333959.vo.msecnd.net/images-9/the-nap-peasant-woman-lying-in-the-grass-pontoise-camille-pissarro-7e3bc409.jpg
b'Rocky Valley',b'Caspar David Friedrich',b'1813',b'DE',https://az334034.vo.msecnd.net/images-5/rocky-valley-caspar-david-friedrich-1813-439eb1bb.jpg
b'St. Paul writing to the Thessalonians',b'Rembrandt',b'Thessalonians',b'NL',https://az333960.vo.msecnd.net/images-7/st-paul-writing-to-the-thessalonians-rembrandt-2a820790.jpg
|b'March Sun, Pontoise'|,b'Camille Pissarro',b'Pontoise',b'FR',https://az333960.vo.msecnd.net/images-3/march-sun-pontoise-camille-pissarro-d33876d3.jpg
b'Westphalian Watermill',b'Andreas Achenbach',b'1863',b'DE',https://az333960.vo.msecnd.net/images-4/westphalian-watermill-andreas-achenbach-1863-98bb28f9.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1860',b'FR',https://az333960.vo.msecnd.net/images-4/untitled-jean-baptiste-camille-corot-1860-1-77992d3e.jpg
b'Helene Vary',b'Henri de Toulouse-Lautrec',b'1889',b'FR',https://az334034.vo.msecnd.net/images-2/helene-vary-henri-de-toulouse-lautrec-1889-6dd26939.jpg
b'Untitled',b'Eug\xc3\xa8ne Delacroix',b'Untitled',b'FR',https://az333960.vo.msecnd.net/images-0/untitled-eugene-delacroix-4-2c17f06a.jpg
b'Madonna and Child',b'Masolino da Panicale',b'1423',b'IT',https://az333960.vo.msecnd.net/images-3/madonna-and-child-masolino-da-panicale-1423-efe94ab5.jpg
b'The Opening',b'Howard Kanovitz',b'1967',b'US',https://az334033.vo.msecnd.net/images-9/the-opening-howard-kanovitz-1967-f21c2bfb.jpg
b'Nativity',b'Albrecht Altdorfer',b'1507',b'DE',https://az334034.vo.msecnd.net/images-7/nativity-albrecht-altdorfer-1507-73953a13.jpg
b'Morning Awakening',b'Eva Gonzal\xc3\xa8s',b'Awakening',b'FR',https://az334034.vo.msecnd.net/images-4/morning-awakening-eva-gonzales-3a13b663.jpg
b'Untitled',b'Lovis Corinth',b'Untitled',,https://az334034.vo.msecnd.net/images-5/untitled-lovis-corinth-2-87ba0ebd.jpg
b'La Tour en ruine du ch\xc3\xa2teau de Heidelberg',b'Carl Blechen',b'1829',b'DE',https://az333960.vo.msecnd.net/images-0/la-tour-en-ruine-du-chateau-de-heidelberg-carl-blechen-1829-1ad21a1c.jpg
b'View of Trento',b'Albrecht D\xc3\xbcrer',b'Trento',b'DE',https://az334034.vo.msecnd.net/images-5/view-of-trento-albrecht-durer-2f52f3c2.jpg
b'Paysage \xc3\xa0 Champrosay',b'Eug\xc3\xa8ne Delacroix',b'Champrosay',b'FR',https://az333960.vo.msecnd.net/images-6/paysage-a-champrosay-eugene-delacroix-710e32dd.jpg
b'River Landscape with Cows and Windmill',b'Salomon van Ruysdael',b'1669',b'NL',https://az334033.vo.msecnd.net/images-9/river-landscape-with-cows-and-windmill-salomon-van-ruysdael-1669-e16be523.jpg
b'Portrait of Actor Josef Kainz',b'Wilhelm Tr\xc3\xbcbner',b'1879',,https://az333959.vo.msecnd.net/images-2/portrait-of-actor-josef-kainz-wilhelm-trubner-1879-c805aa68.jpg
