Title,Artist,Year,Country,Thumbnail
b'Phryne before the Areopagus',b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1861',b'FR',https://az334034.vo.msecnd.net/images-8/phryne-before-the-areopagus-jean-leon-gerome-1861-90f280e3.jpg
b'Madonna',b'Edvard Munch',b'1895',b'NO',https://az333960.vo.msecnd.net/images-6/madonna-edvard-munch-1895-b0ddf2de.jpg
b'Helen of Troy',b'Dante Gabriel Rossetti',b'1863',b'GB',https://az334034.vo.msecnd.net/images-6/helen-of-troy-dante-gabriel-rossetti-b9a6e472.jpg
b'Self-portrait',b'Caspar David Friedrich',b'1810',b'DE',https://az334034.vo.msecnd.net/images-4/self-portrait-caspar-david-friedrich-1810-eda56374.jpg
b'The H\xc3\xbclsenbeck children',b'Philipp Otto Runge',b'1805',b'DE',https://az334033.vo.msecnd.net/images-9/the-hulsenbeck-children-philipp-otto-runge-1805-64511ed7.jpg
b'Nana',b'Edouard Manet',b'1877',b'FR',https://az334033.vo.msecnd.net/images-3/nana-edouard-manet-1877-bf527671.jpg
b'Hill and Ploughed Field near Dresden',b'Caspar David Friedrich',b'1825',b'DE',https://az333960.vo.msecnd.net/images-8/hill-and-ploughed-field-near-dresden-caspar-david-friedrich-1825-64a1ec71.jpg
b'Arabs (Cemetery)',b'Wassily Kandinsky',b'1909',b'RU',https://az333959.vo.msecnd.net/images-7/arabs-cemetery-vasily-kandinsky-1909-abea4b43.jpg
b'Portrait of Henri Rochefort',b'Edouard Manet',b'1881',b'FR',https://az333960.vo.msecnd.net/images-9/portrait-of-henri-rochefort-edouard-manet-1881-685a3be4.jpg
b'The Sea of Ice',b'Caspar David Friedrich',b'1820',b'DE',https://az333959.vo.msecnd.net/images-1/the-sea-of-ice-caspar-david-friedrich-1820-ca21d65d.jpg
b'Der Morgen',b'Philipp Otto Runge',b'1808',b'DE',https://az334034.vo.msecnd.net/images-0/untitled-philipp-otto-runge-1808-0497912a.jpg
b'Drifting Clouds',b'Caspar David Friedrich',b'1820',b'DE',https://az334033.vo.msecnd.net/images-4/drifting-clouds-caspar-david-friedrich-1820-92616c57.jpg
b'We Three',b'Philipp Otto Runge',b'1805',b'DE',https://az333960.vo.msecnd.net/images-7/we-three-philipp-otto-runge-1805-4398ad55.jpg
b'A Medieval Town',b'Carl Hasenpflug',b'1830',b'DE',https://az333960.vo.msecnd.net/images-0/a-medieval-town-carl-hasenpflug-1830-8d187930.jpg
b'The Girls on the Bridge',b'Edvard Munch',b'1901',b'NO',https://az333959.vo.msecnd.net/images-0/the-girls-on-the-bridge-edvard-munch-1901-1-ab28a676.jpg
b'Neubrandenburg in Flames',b'Caspar David Friedrich',b'1835',b'DE',https://az333960.vo.msecnd.net/images-8/neubrandenburg-in-flames-caspar-david-friedrich-1835-96d0bfd9.jpg
b'Simultaneous Windows on the City',b'Robert Delaunay',b'1912',b'FR',https://az333960.vo.msecnd.net/images-4/simultaneous-windows-on-the-city-robert-delaunay-1912-205ecb7a.jpg
b'Port of Greifswald',b'Caspar David Friedrich',b'1810',b'DE',https://az333960.vo.msecnd.net/images-0/port-of-greifswald-caspar-david-friedrich-1810-359f6c12.jpg
b'Tombs of the Fallen in the Fight for Independence',b'Caspar David Friedrich',b'1812',b'DE',https://az333960.vo.msecnd.net/images-3/tombs-of-the-fallen-in-the-fight-for-independence-caspar-david-friedrich-1812-d285a62a.jpg
b'Mountain landscape in Bohemia',b'Caspar David Friedrich',b'1830',b'DE',https://az334034.vo.msecnd.net/images-8/mountain-landscape-in-bohemia-caspar-david-friedrich-1830-00f4771b.jpg
|b'Young woman in an interior, receiving a letter'|,b'Pieter de Hooch',b'letter',b'NL',https://az334034.vo.msecnd.net/images-8/young-woman-in-an-interior-receiving-a-letter-pieter-de-hooch-66aad71b.jpg
b'Corn Fields on the Hills in Argenteuil',b'Alfred Sisley',b'1873',b'GB',https://az334033.vo.msecnd.net/images-2/corn-fields-on-the-hills-in-argenteuil-alfred-sisley-1873-222c7c17.jpg
b'Portrait of Maurits Huygens (1595-1642)',b'Rembrandt',b'(1595-1642)',b'NL',https://az333960.vo.msecnd.net/images-7/portrait-of-maurits-huygens-1595-1642-rembrandt-a03773bb.jpg
b'Breakfast Still Life',b'Georg Hainz',b'Life',,https://az334033.vo.msecnd.net/images-1/breakfast-still-life-georg-hainz-4534118d.jpg
b'Landscape with a Cottage and Trees',b'Jacob van Ruisdael',b'Trees',b'NL',https://az334033.vo.msecnd.net/images-7/landscape-with-a-cottage-and-trees-jacob-van-ruisdael-5442555a.jpg
b'Cabinet of Curiosities',b'Georg Hainz',b'1666',,https://az333960.vo.msecnd.net/images-4/cabinet-of-curiosities-georg-hainz-1666-228519cd.jpg
b'Simeon in the Temple',b'Rembrandt',b'Temple',b'NL',https://az333960.vo.msecnd.net/images-9/simeon-in-the-temple-rembrandt-900bfb57.jpg
b'Shipyard Workers Returning Home on the Elbe',b'Leopold Graf von Kalckreuth',b'1894',b'DE',https://az334034.vo.msecnd.net/images-8/shipyard-workers-returning-home-on-the-elbe-leopold-graf-von-kalckreuth-1894-3d8ff941.jpg
b'Untitled',b'Caspar David Friedrich',b'1830',b'DE',https://az334034.vo.msecnd.net/images-9/untitled-caspar-david-friedrich-1830-1-86c02ebe.jpg
b'Studio Wall',b'Adolph Menzel',b'1872',,https://az334033.vo.msecnd.net/images-9/studio-wall-adolph-menzel-1872-545cbe98.jpg
b'Coast in a Storm',b'Claude-Joseph Vernet',b'1782',b'FR',https://az333960.vo.msecnd.net/images-6/coast-in-a-storm-claude-joseph-vernet-1782-082ae63a.jpg
b'Cloud Study',b'Johan Christian Dahl',b'Study',b'NO',https://az334033.vo.msecnd.net/images-3/cloud-study-johan-christian-dahl-d4ae16c5.jpg
b'Cloud Study with two Towers in Copenhagen',b'Johan Christian Dahl',b'Copenhagen',b'NO',https://az333960.vo.msecnd.net/images-1/cloud-study-with-two-towers-in-copenhagen-johan-christian-dahl-6dd2d491.jpg
b'Untitled',b'Lovis Corinth',b'1911',,https://az334034.vo.msecnd.net/images-5/untitled-lovis-corinth-1911-1-0030c298.jpg
b'Untitled',b'Master Bertram',b'1390',,https://az333959.vo.msecnd.net/images-6/untitled-master-bertram-1390-5571e441.jpg
b'Nature morte : fleurs',b'Auguste Renoir',b'1864',b'FR',https://az333960.vo.msecnd.net/images-2/nature-morte-fleurs-pierre-auguste-renoir-1864-33e4ed85.jpg
b'Portrait Study of a Woman in Profile',b'Henri de Toulouse-Lautrec',b'1890',b'FR',https://az334033.vo.msecnd.net/images-3/portrait-study-of-a-woman-in-profile-henri-de-toulouse-lautrec-1890-fa7d3551.jpg
b"La Seine au quai d'Austerlitz (The Seine at Bercy)",b'Paul C\xc3\xa9zanne',b'1876',b'FR',https://az334034.vo.msecnd.net/images-2/la-seine-au-quai-d-austerlitz-the-seine-at-bercy-paul-cezanne-1876-1b71011d.jpg
