Title,Artist,Year,Country,Thumbnail
b'Landscape with Cows and Camel',b'August Macke',b'Camel',b'DE',https://az333960.vo.msecnd.net/images-1/landscape-with-cows-and-camel-august-macke-8393faa3.jpg
b'La montagne Sainte-Victoire',b'Paul C\xc3\xa9zanne',b'1906',b'FR',https://az333960.vo.msecnd.net/images-8/untitled-paul-cezanne-1905-78ae1cbf.jpg
b"Rochefort's Escape",b'Edouard Manet',b'1880',b'FR',https://az334034.vo.msecnd.net/images-3/rochefort-s-escape-edouard-manet-1880-4a1aa79d.jpg
b'Portrait of Monsieur X (Pierre Loti)',b'Henri Rousseau',b'1891',b'FR',https://az334034.vo.msecnd.net/images-2/untitled-henri-rousseau-1891-61d0b03b.jpg
|b'The Ruins of the old Kreuzkirche, Dresden'|,b'Bernardo Bellotto',b'1765',b'IT',https://az334033.vo.msecnd.net/images-7/the-ruins-of-the-old-kreuzkirche-dresden-bernardo-bellotto-1765-1-9929dab2.jpg
b'The Waitress',b'Amedeo Modigliani',b'1916',b'IT',https://az333959.vo.msecnd.net/images-6/the-waitress-amedeo-modigliani-1916-14794b62.jpg
b'Walk in the Wood',b'Henri Rousseau',b'1886',b'FR',https://az333959.vo.msecnd.net/images-8/walk-in-the-wood-henri-rousseau-1886-6622543a.jpg
b'Self-portrait',b'Anna Waser',b'1691',,https://az334033.vo.msecnd.net/images-9/self-portrait-anna-waser-1691-a377ff7c.jpg
b'Two Soldiers and a Serving Woman with a Trumpeter',b'Pieter de Hooch',b'Trumpeter',b'NL',https://az334033.vo.msecnd.net/images-0/two-soldiers-and-a-serving-woman-with-a-trumpeter-pieter-de-hooch-508f5710.jpg
b'The Apple Tree',b'Edvard Munch',b'1921',b'NO',https://az333960.vo.msecnd.net/images-0/the-apple-tree-edvard-munch-1921-3dc11d69.jpg
|b'Portrait of Charles de Guise, cardinal of Lorraine,...'|,b'El Greco',b'1571',b'GR',https://az334034.vo.msecnd.net/images-5/portrait-of-charles-de-guise-cardinal-of-lorraine-archbishop-of-reims-el-greco-1572-356f0a8d.jpg
b'Portrait of Winckelmann',b'Angelica Kauffmann',b'1764',b'SE',https://az334034.vo.msecnd.net/images-3/portrait-of-winckelmann-angelica-kauffman-1764-9a526e75.jpg
b'The Big Pear Tree at Montfoucault',b'Camille Pissarro',b'Montfoucault',b'FR',https://az333959.vo.msecnd.net/images-8/the-big-pear-tree-at-montfoucault-camille-pissarro-3d84a2f6.jpg
b'Apostle Simon',b'Rembrandt',b'Simon',b'NL',https://az333959.vo.msecnd.net/images-1/apostle-simon-rembrandt-95f4caad.jpg
b'Vase of Hollyhocks',b'Vincent van Gogh',b'1886',b'NL',https://az333959.vo.msecnd.net/images-8/vase-with-musk-mallows-vincent-van-gogh-1886-8df9d295.jpg
b'The Washerwomen in Bougival',b'Alfred Sisley',b'1875',b'GB',https://az333960.vo.msecnd.net/images-0/the-washerwomen-in-bougival-alfred-sisley-1875-3e89bdc8.jpg
b'View of Haarlem with Bleaching Fields',b'Jacob van Ruisdael',b'Fields',b'NL',https://az333959.vo.msecnd.net/images-1/view-of-haarlem-with-bleaching-fields-jacob-van-ruisdael-34c79930.jpg
b'View from the Dunes to the Sea',b'Jacob van Ruisdael',b'Sea',b'NL',https://az334034.vo.msecnd.net/images-6/view-from-the-dunes-to-the-sea-jacob-van-ruisdael-3ad8baa4.jpg
b'Bathing on a Summer Evening',b'F\xc3\xa9lix Vallotton',b'1893',b'CH',https://az334033.vo.msecnd.net/images-0/bathing-on-a-summer-evening-felix-vallotton-1893-f62961ed.jpg
|b'Medea, after Delacroix'|,b'Paul C\xc3\xa9zanne',b'1880',b'FR',https://az334033.vo.msecnd.net/images-4/medea-after-delacroix-paul-cezanne-1880-8afb1f07.jpg
b'Ambroise Vollard Portrait',b'Pierre Bonnard',b'1904',b'FR',https://az333959.vo.msecnd.net/images-1/ambroise-vollard-portrait-pierre-bonnard-1904-de96f467.jpg
b'Winter Landscape',b'Nicolaes Pieterszoon Berchem',b'1652',,https://az334033.vo.msecnd.net/images-4/winter-landscape-nicolaes-pieterszoon-berchem-1652-c2a0c314.jpg
b'Spring Awakening',b'Arnold B\xc3\xb6cklin',b'1880',b'CH',https://az333959.vo.msecnd.net/images-5/spring-awakening-arnold-bocklin-1880-7fcf31f0.jpg
b"L'enseigne d'un mar\xc3\xa9chal-ferrant",b'Th\xc3\xa9odore G\xc3\xa9ricault',b'1813',b'FR',https://az334034.vo.msecnd.net/images-6/l-enseigne-d-un-marechal-ferrant-theodore-gericault-1813-372f5ce9.jpg
b'Portrait of Cleophea Krieg von Bellikon',b'Hans Asper',b'1538',,https://az333960.vo.msecnd.net/images-1/portrait-of-cleophea-krieg-von-bellikon-hans-asper-1538-fca6d1d1.jpg
b'Wilhelm Wartmann',b'Edvard Munch',b'1923',b'NO',https://az333959.vo.msecnd.net/images-9/wilhelm-wartmann-edvard-munch-1923-19a46801.jpg
b'Portrait de Suzanne de Bourbers de Bern\xc3\xa2tre',b'Hyacinthe Rigaud',b'1686',,https://az334033.vo.msecnd.net/images-6/portrait-de-suzanne-de-bourbers-de-bernatre-hyacinthe-rigaud-1686-be7a54ce.jpg
b'La Dordogne \xc3\xa1 Carennac',b'F\xc3\xa9lix Vallotton',b'1925',b'CH',https://az333960.vo.msecnd.net/images-1/la-dordogne-a-carennac-felix-vallotton-1925-bd269d5d.jpg
