Title,Artist,Year,Country,Thumbnail
b'Fate of the Animals',b'Franz Marc',b'1913',b'DE',https://az333959.vo.msecnd.net/images-9/fate-of-the-animals-franz-marc-1913-482c2b12.jpg
b'Marguerite Gachet at the Piano',b'Vincent van Gogh',b'1890',b'NL',https://az333960.vo.msecnd.net/images-0/marguerite-gachet-at-the-piano-vincent-van-gogh-1890-5e65062e.jpg
b'The Muse Inspiring the Poet',b'Henri Rousseau',b'1909',b'FR',https://az333960.vo.msecnd.net/images-6/untitled-henri-rousseau-1909-7d6ce45e.jpg
b'Coastal Landscape',b'Edvard Munch',b'1918',b'NO',https://az333960.vo.msecnd.net/images-0/coastal-landscape-edvard-munch-1918-bf32c398.jpg
b'Lais of Corinth',b'Hans Holbein the Younger',b'1526',b'DE',https://az333959.vo.msecnd.net/images-8/lais-of-corinth-hans-holbein-97d01900.jpg
b'Portrait of Erasmus of Rotterdam',b'Hans Holbein the Younger',b'1530',b'DE',https://az334033.vo.msecnd.net/images-4/untitled-hans-holbein-511f9802.jpg
b'Hommage to Bl\xc3\xa9riot',b'Robert Delaunay',b'1914',b'FR',https://az333960.vo.msecnd.net/images-1/hommage-to-bleriot-robert-delaunay-1914-3cc98e3f.jpg
b'Madame Dorival',b'Amedeo Modigliani',b'1916',b'IT',https://az333960.vo.msecnd.net/images-7/untitled-amedeo-modigliani-1916-1-4795423e.jpg
b'Woman in Blue',b'Fernand L\xc3\xa9ger',b'1912',b'FR',https://az333960.vo.msecnd.net/images-4/woman-in-blue-fernand-leger-1912-f498286d.jpg
b'Self-Portrait',b'Catharina van Hemessen',b'1548',b'BE',https://az333960.vo.msecnd.net/images-3/self-portrait-catharina-van-hemessen-1548-4ee112d4.jpg
b'The Plague',b'Arnold B\xc3\xb6cklin',b'1898',b'CH',https://az333960.vo.msecnd.net/images-9/the-plague-arnold-bocklin-607c4833.jpg
|b"A Corner of L'Hermitage, Pontoise"|,b'Camille Pissarro',b'Pontoise',b'FR',https://az333959.vo.msecnd.net/images-0/a-corner-of-l-hermitage-pontoise-camille-pissarro-1-2264b719.jpg
b'Composition 7: Light Color Planes with Grey Contours',b'Piet Mondrian',b'1919',b'NL',https://az333959.vo.msecnd.net/images-7/composition-7-light-color-planes-with-grey-contours-piet-mondrian-1919-15e16b86.jpg
b'Venus and Amor',b'Hans Holbein the Younger',b'1524',b'DE',https://az333960.vo.msecnd.net/images-3/venus-and-amor-hans-holbein-1524-fc6267f0.jpg
b'The Body of the Dead Christ in the Tomb',b'Hans Holbein the Younger',b'1522',b'DE',https://az333959.vo.msecnd.net/images-8/the-body-of-the-dead-christ-in-the-tomb-hans-holbein-dff505c0.jpg
b'Isle of the Dead',b'Arnold B\xc3\xb6cklin',b'1880',b'CH',https://az334033.vo.msecnd.net/images-5/isle-of-the-dead-arnold-bocklin-1880-1-4cbb0888.jpg
b'Jockey bless\xc3\xa9',b'Edgar Degas',b'1897',b'FR',https://az333959.vo.msecnd.net/images-9/jockey-blesse-edgar-degas-1897-f8a494f9.jpg
b'Mars',b'Jean-Auguste-Dominique Ingres',b'1864',b'FR',https://az334033.vo.msecnd.net/images-6/mars-jean-auguste-dominique-ingres-1864-2bc1d4b4.jpg
b"Mortefontaine. L'\xc3\xa9tang aux canards",b'Jean-Baptiste-Camille Corot',b'1855',b'FR',https://az333959.vo.msecnd.net/images-4/mortefontaine-l-etang-aux-canards-camille-corot-1855-63f6544f.jpg
b'Diane et Act\xc3\xa9on',b'Jean Fran\xc3\xa7ois de Troy',b'1734',,https://az333960.vo.msecnd.net/images-6/diane-et-acteon-jean-francois-de-troy-1734-fe04f982.jpg
