Title,Artist,Year,Country,Thumbnail
b'The Painter\xe2\x80\x99s Studio',b'Janis Rozent\xc4\x81ls',b'Studio',,https://az334034.vo.msecnd.net/images-5/the-painter-s-studio-janis-rozentals-875d50f9.jpg
b'Bathing Boys',b'Johann Walter-Kurau',b'1900',,https://az333959.vo.msecnd.net/images-6/bathing-boys-johann-walter-kurau-1900-00a76014.jpg
b'After Church',b'Janis Rozent\xc4\x81ls',b'1894',,https://az333960.vo.msecnd.net/images-9/after-church-janis-rozentals-1894-3e7ec1bb.jpg
b'Landscape with river and angler',b'Alexei Savrasov',b'angler',,https://az334033.vo.msecnd.net/images-0/landscape-with-river-and-angler-alexei-savrasov-1e741dd1.jpg
b'The Gauja Valley',b'Julijus Federis',b'Valley',,https://az333960.vo.msecnd.net/images-1/the-gauja-valley-julijus-federis-591fea44.jpg
b'Refugees',b'J\xc4\x93kabs Kazaks',b'1917',,https://az334033.vo.msecnd.net/images-4/refugees-jekabs-kazaks-1917-b9680d0b.jpg
b'Jubilant children',b'Janis Rozent\xc4\x81ls',b'1901',,https://az334033.vo.msecnd.net/images-7/jubilant-children-janis-rozentals-1901-07f64418.jpg
b'Path of the Nightmare',b'J\xc4\x81zeps Grosvalds',b'1916',,https://az334034.vo.msecnd.net/images-9/path-of-the-nightmare-jazeps-grosvalds-1916-6bf74ded.jpg
b'Mother and Child',b'Janis Rozent\xc4\x81ls',b'1904',,https://az333960.vo.msecnd.net/images-2/mother-and-child-janis-rozentals-1904-9f3b1e59.jpg
b'Three Crosses',b'J\xc4\x81zeps Grosvalds',b'1917',,https://az334034.vo.msecnd.net/images-6/three-crosses-jazeps-grosvalds-1917-576b977e.jpg
b'Three Old Ladies',b'J\xc4\x93kabs Kazaks',b'1916',,https://az333960.vo.msecnd.net/images-2/three-old-ladies-jekabs-kazaks-1916-02cd49c9.jpg
b'Young Gypsy Woman',b'Carl Huns',b'Woman',,https://az334034.vo.msecnd.net/images-9/young-gypsy-woman-carl-huns-af0845a8.jpg
b'Princess with a Monkey',b'Janis Rozent\xc4\x81ls',b'Monkey',,https://az333959.vo.msecnd.net/images-9/princess-with-a-monkey-janis-rozentals-37b904cc.jpg
b'Madonna with Machine Gun',b'K\xc4\x81rlis Padegs',b'Gun',,https://az334033.vo.msecnd.net/images-7/madonna-with-machine-gun-karlis-padegs-154dd0f2.jpg
b'Winter',b'Vilhelms Purv\xc4\xabtis',b'1910',,https://az334033.vo.msecnd.net/images-7/winter-vilhelms-purvitis-1910-431e9272.jpg
b'Untitled',b'Ilya Repin',b'1876',b'RU',https://az334034.vo.msecnd.net/images-2/untitled-ilya-repin-1876-8d19d175.jpg
b'Madonna of Marijas Street',b'K\xc4\x81rlis Padegs',b'1932',,https://az334033.vo.msecnd.net/images-6/madonna-of-marijas-street-karlis-padegs-1932-cacccb46.jpg
b'In the Outskirts of Paris',b'J\xc4\x81zeps Grosvalds',b'1914',,https://az333959.vo.msecnd.net/images-5/in-the-outskirts-of-paris-jazeps-grosvalds-1914-4557bd02.jpg
