Title,Artist,Year,Country,Thumbnail
b'Saint Cecilia',b'Anonymous',b'1625',,https://az334033.vo.msecnd.net/images-3/saint-cecilia-anonymous-1625-601d4e45.jpg
b'Portrait of a Man',b'Gerrit Dou',b'1645',b'NL',https://az334033.vo.msecnd.net/images-6/portrait-of-a-man-gerrit-dou-1645-0adab8c7.jpg
b'Portrait of Philip Herbert',b'Anthony van Dyck',b'1634',b'NL',https://az333960.vo.msecnd.net/images-6/portrait-of-philip-herbert-anthony-van-dyck-1634-5ac10fab.jpg
b'Portrait of a Man in a Feathered Bonnet',b'Pieter Hermansz Verelst',b'1630',,https://az334033.vo.msecnd.net/images-9/portrait-of-a-man-in-a-feathered-bonnet-pieter-hermansz-verelst-1630-6cc91b3f.jpg
b'Allegory of Valor (Mars).',b'Marcello Bacciarelli',b'1792',,https://az333960.vo.msecnd.net/images-0/allegory-of-valor-mars-marcello-bacciarelli-1792-15b70e15.jpg
b'Untitled',b'Johann Baptist von Lampi the Elder',b'1791',,https://az333959.vo.msecnd.net/images-2/untitled-johann-baptist-von-lampi-the-elder-1791-037cdf68.jpg
b'The Prince of Nassau hunting a jaguar.',b'Jean-Baptiste Le Paon',b'1784',,https://az333960.vo.msecnd.net/images-6/the-prince-of-nassau-hunting-a-jaguar-jean-baptiste-le-paon-1784-1f62f3fa.jpg
b'Hunting trophy with landscape.',b'Anonymous',b'1651',,https://az334034.vo.msecnd.net/images-2/hunting-trophy-with-landscape-anonymous-1651-e451750e.jpg
b'Portrait of a Man in a black hat.',b'Anonymous',b'1650',,https://az334033.vo.msecnd.net/images-2/portrait-of-a-man-in-a-black-hat-anonymous-1650-c8203ce9.jpg
b'An Old Woman in a White Cap',b'Gerrit Dou',b'1645',b'NL',https://az333959.vo.msecnd.net/images-0/an-old-woman-in-a-white-cap-gerrit-dou-1645-dbfbaa84.jpg
