Title,Artist,Year,Country,Thumbnail
b'The Lady of Shalott looking at Lancelot',b'John William Waterhouse',b'Lancelot',b'GB',https://az334033.vo.msecnd.net/images-6/the-lady-of-shalott-looking-at-lancelot-john-william-waterhouse-a105f8fd.jpg
b'La route de Pontoise',b'Paul Signac',b'1886',b'FR',https://az333960.vo.msecnd.net/images-4/la-route-de-pontoise-paul-signac-1886-9ae82f03.jpg
|b'Horatio Walpole (1723\xe2\x80\x931809), 1st Earl of Orford (Second...'|,b'Pierre Subleyras',b'1746',,https://az333959.vo.msecnd.net/images-6/horatio-walpole-1723-1809-1st-earl-of-orford-second-creation-pierre-subleyras-1746-d16c9a4d.jpg
b'La Duchesse de La Fert\xc3\xa9 with the Duc de Bretagne and the...',b'Fran\xc3\xa7ois de Troy',b'1712',,https://az334034.vo.msecnd.net/images-7/la-duchesse-de-la-ferte-with-the-duc-de-bretagne-and-the-duc-d-anjou-francois-de-troy-1712-b04a61d4.jpg
b'Pink Roses',b'Henri Fantin-Latour',b'1875',b'FR',https://az333959.vo.msecnd.net/images-5/pink-roses-henri-fantin-latour-1875-e886c685.jpg
b'The Banquet',b'Adolphe Joseph Thomas Monticelli',b'Banquet',,https://az333959.vo.msecnd.net/images-3/the-banquet-adolphe-joseph-thomas-monticelli-ed34c502.jpg
b'Woodland Scene with Figures',b'Adolphe Joseph Thomas Monticelli',b'Figures',,https://az333960.vo.msecnd.net/images-5/woodland-scene-with-figures-adolphe-joseph-thomas-monticelli-cd565c32.jpg
b'Path through Trees',b'Narcisse Virgilio D\xc3\xadaz',b'Trees',b'FR',https://az334034.vo.msecnd.net/images-7/path-through-trees-narcisse-virgilio-diaz-4e89dc35.jpg
b'The Return of Persephone',b'Frederic Leighton',b'1891',b'GB',https://az333960.vo.msecnd.net/images-2/untitled-frederic-leighton-1891-abc3db0a.jpg
b'Scotland Forever!',b'Elizabeth Thompson',b'1881',,https://az334034.vo.msecnd.net/images-4/scotland-forever-elizabeth-thompson-1881-f9e10ca5.jpg
b'Rosa Bonheur (1822\xe2\x80\x931899)',b'Consuelo Fould',b'1893',,https://az333959.vo.msecnd.net/images-4/rosa-bonheur-1822-1899-consuelo-fould-1893-25ef943e.jpg
b'The Temptation of Sir Percival',b'Arthur Hacker',b'1894',b'GB',https://az333959.vo.msecnd.net/images-7/the-temptation-of-sir-percival-arthur-hacker-1894-1-3fc2a785.jpg
b'Une all\xc3\xa9e de bois du nord de la France. Automne',b'Jean-Baptiste-Camille Corot',b'1850',b'FR',https://az334034.vo.msecnd.net/images-2/une-allee-de-bois-du-nord-de-la-france-automne-camille-corot-1850-07da6ced.jpg
b'Capucines',b'Henri Fantin-Latour',b'1887',b'FR',https://az333960.vo.msecnd.net/images-2/capucines-henri-fantin-latour-1887-149df561.jpg
b'Nymph Reclining in a Wood',b'Narcisse Virgilio D\xc3\xadaz',b'Wood',b'FR',https://az333960.vo.msecnd.net/images-1/nymph-reclining-in-a-wood-narcisse-virgilio-diaz-26637f5a.jpg
|b'The Port of Marseille, 1916'|,b'Albert Marquet',b'1916',,https://az334034.vo.msecnd.net/images-2/the-port-of-marseille-1916-albert-marquet-1916-a81f2403.jpg
b'Les champs',b'Alfred Sisley',b'1874',b'GB',https://az334033.vo.msecnd.net/images-2/les-champs-alfred-sisley-1874-223f54d0.jpg
b'Moonlight on a Lake',b'Henri Harpignies',b'1902',,https://az333960.vo.msecnd.net/images-4/moonlight-on-a-lake-henri-harpignies-1902-75e1fff5.jpg
