Title,Artist,Year,Country,Thumbnail
b'Red Spot II',b'Wassily Kandinsky',b'1921',b'RU',https://az334034.vo.msecnd.net/images-3/red-spot-ii-vasily-kandinsky-1921-5eec83ea.jpg
b'Improvisation 26',b'Wassily Kandinsky',b'1912',b'RU',https://az333959.vo.msecnd.net/images-5/improvisation-26-vasily-kandinsky-1912-746d796e.jpg
b'Portrait of Marianne von Werefkin',b'Gabriele M\xc3\xbcnter',b'1909',b'DE',https://az333960.vo.msecnd.net/images-2/portrait-of-marianne-von-werefkin-gabriele-munter-1909-d0f9898d.jpg
b'Murnau View With Railway and Castle',b'Wassily Kandinsky',b'1909',b'RU',https://az333959.vo.msecnd.net/images-2/murnau-view-with-railway-and-castle-vasily-kandinsky-1909-eeb4eedb.jpg
b'Gorge',b'Wassily Kandinsky',b'1914',b'RU',https://az334034.vo.msecnd.net/images-4/gorge-vasily-kandinsky-1914-2b41d0d4.jpg
|b'K\xc3\xbche-rot, gr\xc3\xbcn, gelb'|,b'Franz Marc',b'1912',b'DE',https://az333959.vo.msecnd.net/images-4/untitled-franz-marc-1-c04f6f68.jpg
b'Gabriele M\xc3\xbcnter Painting',b'Wassily Kandinsky',b'1903',b'RU',https://az334033.vo.msecnd.net/images-5/gabriele-munter-painting-vasily-kandinsky-1903-41b002a9.jpg
b'All Saints Day l',b'Wassily Kandinsky',b'1911',b'RU',https://az333959.vo.msecnd.net/images-9/all-saints-day-l-vasily-kandinsky-1911-43e51c68.jpg
b'Gr\xc3\xbcngasse In Murnau',b'Wassily Kandinsky',b'1909',b'RU',https://az333959.vo.msecnd.net/images-0/grungasse-in-murnau-vasily-kandinsky-1909-f6a1caf9.jpg
b'Tiger',b'Franz Marc',b'1912',b'DE',https://az334034.vo.msecnd.net/images-3/untitled-franz-marc-2-46b40ff2.jpg
b'Blaues Pferd I',b'Franz Marc',b'1911',b'DE',https://az334033.vo.msecnd.net/images-9/untitled-franz-marc-7502084b.jpg
b'Munich-Schwabing with the Church of St. Ursula',b'Wassily Kandinsky',b'1908',b'RU',https://az333960.vo.msecnd.net/images-5/munich-schwabing-with-the-church-of-st-ursula-vasily-kandinsky-1908-5b5782fb.jpg
b'Bedroom in Aintmillerstrasse',b'Wassily Kandinsky',b'1909',b'RU',https://az333960.vo.msecnd.net/images-9/bedroom-in-aintmillerstrasse-vasily-kandinsky-1909-37ad4582.jpg
b'Sumpflegende',b'Paul Klee',b'1919',b'CH',https://az334034.vo.msecnd.net/images-4/sumpflegende-paul-klee-1919-fc868e3f.jpg
b'Oriental',b'Wassily Kandinsky',b'1909',b'RU',https://az333960.vo.msecnd.net/images-8/oriental-vasily-kandinsky-1909-97bc8ce1.jpg
b'Portr\xc3\xa4t mit \xc3\x84pfeln: Frau des K\xc3\xbcnstlers',b'August Macke',b'K\xc3\xbcnstlers',b'DE',https://az333959.vo.msecnd.net/images-5/portrat-mit-apfeln-frau-des-kunstlers-august-macke-3f6af909.jpg
|b'Riegsee, the Village Church'|,b'Wassily Kandinsky',b'1908',b'RU',https://az333959.vo.msecnd.net/images-2/riegsee-the-village-church-vasily-kandinsky-1908-1361196d.jpg
|b'Akhtyrka, Autumn'|,b'Wassily Kandinsky',b'1901',b'RU',https://az333959.vo.msecnd.net/images-8/akhtyrka-autumn-vasily-kandinsky-1901-755e4291.jpg
b'In the rain',b'Franz Marc',b'1912',b'DE',https://az334034.vo.msecnd.net/images-5/in-the-rain-franz-marc-1912-65dcbd49.jpg
b'Deer in the woods II',b'Franz Marc',b'1912',b'DE',https://az333959.vo.msecnd.net/images-6/deer-in-the-woods-ii-franz-marc-1912-d6b9aaa6.jpg
b'Deer in the snow',b'Franz Marc',b'1911',b'DE',https://az333960.vo.msecnd.net/images-9/deer-in-the-snow-franz-marc-1911-89fd7e56.jpg
b'Kochel \xe2\x80\x93 Wasserfall I',b'Wassily Kandinsky',b'1900',b'RU',https://az334034.vo.msecnd.net/images-9/kochel-wasserfall-i-vasily-kandinsky-1900-79a320b3.jpg
b'Improvisation 6 (African)',b'Wassily Kandinsky',b'1909',b'RU',https://az334034.vo.msecnd.net/images-5/improvisation-6-african-vasily-kandinsky-1909-9020fcec.jpg
b'Grazing Horses I',b'Franz Marc',b'1910',b'DE',https://az333960.vo.msecnd.net/images-8/grazing-horses-i-franz-marc-1910-57174784.jpg
b'Entwurf 3 zu "Komposition VII"',b'Wassily Kandinsky',b'1913',b'RU',https://az333959.vo.msecnd.net/images-3/entwurf-3-zu-komposition-vii-vasily-kandinsky-1913-ddcf94b3.jpg
b'Der Maler Carl Strathmann',b'Lovis Corinth',b'1895',,https://az334034.vo.msecnd.net/images-4/der-maler-carl-strathmann-lovis-corinth-1895-4394e518.jpg
b'Untitled',b'Lovis Corinth',b'1896',,https://az333960.vo.msecnd.net/images-2/untitled-lovis-corinth-1896-75344516.jpg
b'Interieur (Mein Esszimmer)',b'Wassily Kandinsky',b'1909',b'RU',https://az333960.vo.msecnd.net/images-4/interieur-mein-esszimmer-vasily-kandinsky-1909-9ee659b6.jpg
b'Murnauer Landschaft',b'Alexej von Jawlensky',b'1909',b'RU',https://az333960.vo.msecnd.net/images-0/murnauer-landschaft-alexej-von-jawlensky-1909-fb1cf8b6.jpg
b'Improvisation Sintflut',b'Wassily Kandinsky',b'1913',b'RU',https://az334033.vo.msecnd.net/images-6/improvisation-sintflut-vasily-kandinsky-1913-44db2c1c.jpg
b'Red and Blue Horses',b'Franz Marc',b'1912',b'DE',https://az334033.vo.msecnd.net/images-8/red-and-blue-horses-franz-marc-1912-2918eb69.jpg
b'Zwei Schafe',b'Franz Marc',b'1913',b'DE',https://az334034.vo.msecnd.net/images-6/zwei-schafe-franz-marc-1913-2d23bab0.jpg
b'Native Americans on Horses',b'August Macke',b'1911',b'DE',https://az333959.vo.msecnd.net/images-6/native-americans-on-horses-august-macke-1911-f5e89b8b.jpg
b'Murnau \xe2\x80\x93 Blick aus dem Fenster des Griesbr\xc3\xa4u',b'Wassily Kandinsky',b'1908',b'RU',https://az334034.vo.msecnd.net/images-3/murnau-blick-aus-dem-fenster-des-griesbrau-vasily-kandinsky-1908-66898ee2.jpg
b'Rapallo \xe2\x80\x93 Bucht',b'Wassily Kandinsky',b'1906',b'RU',https://az334034.vo.msecnd.net/images-5/rapallo-bucht-vasily-kandinsky-1906-5aa931b9.jpg
b'Im Walde',b'Wassily Kandinsky',b'1904',b'RU',https://az333960.vo.msecnd.net/images-9/im-walde-vasily-kandinsky-1904-878607ad.jpg
b'Skizze aus Murnau',b'Alexej von Jawlensky',b'1908',b'RU',https://az334034.vo.msecnd.net/images-3/skizze-aus-murnau-alexej-von-jawlensky-1908-6b18e212.jpg
b'Gabriele M\xc3\xbcnter Painting',b'Wassily Kandinsky',b'1903',b'RU',https://az333960.vo.msecnd.net/images-1/gabriele-munter-painting-vasily-kandinsky-1903-1-c3d9b900.jpg
b'Our Street in Grau',b'August Macke',b'1911',b'DE',https://az334034.vo.msecnd.net/images-7/our-street-in-grau-august-macke-1911-def7f806.jpg
