Title,Artist,Year,Country,Thumbnail
b'A Sewing Break',b'Li Mei-shu',b'1958',b'CN',https://az333960.vo.msecnd.net/images-8/a-sewing-break-li-mei-shu-1958-7c2ad40e.jpg
b'Cooling Off In The Shade',b'Li Mei-shu',b'1976',b'CN',https://az334034.vo.msecnd.net/images-5/cooling-off-in-the-shade-li-mei-shu-1976-7d7f9546.jpg
b'Boy Chasing Turkeys',b'Li Mei-shu',b'1937',b'CN',https://az334034.vo.msecnd.net/images-2/boy-chasing-turkeys-li-mei-shu-1937-0425f0a1.jpg
b'Picking Wax Apple-2',b'Li Mei-shu',b'1969',b'CN',https://az334033.vo.msecnd.net/images-8/picking-wax-apple-2-li-mei-shu-1969-49e2db88.jpg
b'RiversideWashing clothes',b'Li Mei-shu',b'1980',b'CN',https://az333960.vo.msecnd.net/images-2/riversidewashing-clothes-li-mei-shu-1980-8b0b2973.jpg
b'Daybreak',b'Li Mei-shu',b'1968',b'CN',https://az334034.vo.msecnd.net/images-9/daybreak-li-mei-shu-1968-08ac2b10.jpg
b'Nude',b'Li Mei-shu',b'1933',b'CN',https://az333959.vo.msecnd.net/images-5/nude-li-mei-shu-1933-f84b1007.jpg
b'Springtime',b'Li Mei-shu',b'1953',b'CN',https://az334033.vo.msecnd.net/images-4/springtime-li-mei-shu-1953-623c1489.jpg
b'Seaside',b'Li Mei-shu',b'Seaside',b'CN',https://az334034.vo.msecnd.net/images-0/seaside-li-mei-shu-133c6757.jpg
b'Sun Moon Lake',b'Li Mei-shu',b'Lake',b'CN',https://az334033.vo.msecnd.net/images-0/sun-moon-lake-li-mei-shu-ffcaae6e.jpg
b'Girl in The Red Dress',b'Li Mei-shu',b'1939',b'CN',https://az334033.vo.msecnd.net/images-6/girl-in-the-red-dress-li-mei-shu-1939-fbd80215.jpg
b'Enjoying The Rippling Water',b'Li Mei-shu',b'1979',b'CN',https://az333960.vo.msecnd.net/images-4/enjoying-the-rippling-water-li-mei-shu-1979-bb94fc17.jpg
b'Mid Summer',b'Li Mei-shu',b'1964',b'CN',https://az334033.vo.msecnd.net/images-5/mid-summer-li-mei-shu-1964-5683daee.jpg
b'Girl with Flowers',b'Li Mei-shu',b'1940',b'CN',https://az333959.vo.msecnd.net/images-7/girl-with-flowers-li-mei-shu-1940-8801ff57.jpg
b'ChiNan Temple',b'Li Mei-shu',b'Temple',b'CN',https://az333959.vo.msecnd.net/images-6/chinan-temple-li-mei-shu-ae0fc6ad.jpg
b'Buddhism Lady',b'Li Mei-shu',b'1976',b'CN',https://az333960.vo.msecnd.net/images-9/buddhism-lady-li-mei-shu-1976-af380bcf.jpg
b'Young Woman by The Window',b'Li Mei-shu',b'1959',b'CN',https://az334033.vo.msecnd.net/images-4/young-woman-by-the-window-li-mei-shu-1959-1b56383e.jpg
b'Nude',b'Li Mei-shu',b'1934',b'CN',https://az333960.vo.msecnd.net/images-9/nude-li-mei-shu-1934-a21b0675.jpg
b'On A Cattle Farm',b'Li Mei-shu',b'1980',b'CN',https://az333959.vo.msecnd.net/images-3/on-a-cattle-farm-li-mei-shu-1980-bdfd766e.jpg
b'Buffalo',b'Li Mei-shu',b'1930',b'CN',https://az333959.vo.msecnd.net/images-8/buffalo-li-mei-shu-1930-dfe28425.jpg
