Title,Artist,Year,Country,Thumbnail
b'Venus at a Mirror',b'Peter Paul Rubens',b'1614',b'NL',https://az334034.vo.msecnd.net/images-6/untitled-peter-paul-rubens-2-32ebd577.jpg
b'Mars and Rhea Silvia',b'Peter Paul Rubens',b'1617',b'NL',https://az334033.vo.msecnd.net/images-2/mars-and-rhea-silvia-peter-paul-rubens-1617-db5d7170.jpg
b'Saint Eustache',b'Lucas Cranach the Elder',b'1515',b'DE',https://az334033.vo.msecnd.net/images-0/saint-eustache-lucas-cranach-the-elder-1515-7fc45fd7.jpg
b'Erichthonius discovered by the daughters of Cecrops',b'Peter Paul Rubens',b'1616',b'NL',https://az334034.vo.msecnd.net/images-2/erichthonius-discovered-by-the-daughters-of-cecrops-peter-paul-rubens-1616-8da04307.jpg
b'Portrait of a Canon',b'Quentin Matsys',b'Canon',b'BE',https://az334034.vo.msecnd.net/images-7/portrait-of-a-canon-quentin-matsys-8eefe110.jpg
b'Portrait of a man',b"Barth\xc3\xa9lemy d'Eyck",b'1456',,https://az334034.vo.msecnd.net/images-4/portrait-of-a-man-barthelemy-d-eyck-1456-8dc4a23a.jpg
b'St. John the Baptist in the Wilderness',b'Giulio Romano',b'1520',b'IT',https://az333959.vo.msecnd.net/images-9/st-john-the-baptist-in-the-wilderness-giulio-romano-1520-9ca9af35.jpg
b'Still life of fruit and a chalice in a niche',b'Abraham Mignon',b'1665',b'DE',https://az333959.vo.msecnd.net/images-2/still-life-of-fruit-and-a-chalice-in-a-niche-abraham-mignon-1665-c6443c96.jpg
b'The Fat Kitchen',b'Jan Steen',b'Kitchen',b'NL',https://az333959.vo.msecnd.net/images-2/the-fat-kitchen-jan-steen-2-8041ead3.jpg
b'Portrait of a Man',b'Raphael',b'1502',b'IT',https://az334033.vo.msecnd.net/images-1/portrait-of-a-man-raphael-1502-c1286df7.jpg
b'Hercules at the Crossroads',b'Pompeo Batoni',b'1748',,https://az333959.vo.msecnd.net/images-4/hercules-at-the-crossroads-pompeo-batoni-1748-ea45a162.jpg
b'Cupid Blowing a Soap Bubble',b'Rembrandt',b'Bubble',b'NL',https://az333959.vo.msecnd.net/images-3/cupid-blowing-a-soap-bubble-rembrandt-b2b28f4e.jpg
b'A Waterfall in a Rocky Landscape',b'Jacob van Ruisdael',b'Landscape',b'NL',https://az334033.vo.msecnd.net/images-7/a-waterfall-in-a-rocky-landscape-jacob-van-ruisdael-08a0646b.jpg
b'The Garden',b'Bernardo Bellotto',b'1759',b'IT',https://az334033.vo.msecnd.net/images-0/the-garden-bernardo-bellotto-1759-49ebf5a5.jpg
b'Portrait of a man',b'Frans Hals',b'1650',b'NL',https://az333959.vo.msecnd.net/images-0/portrait-of-a-man-frans-hals-1650-4-55453fa9.jpg
b'Flowers in a Terracotta Vase',b'Jan van Huysum',b'1725',b'NL',https://az333959.vo.msecnd.net/images-1/flowers-in-a-terracotta-vase-jan-van-huysum-1725-8bcd21ba.jpg
b'The Death of Decius Mus',b'Anthony van Dyck',b'1617',b'NL',https://az334034.vo.msecnd.net/images-9/the-death-of-decius-mus-anthony-van-dyck-1617-bf42e422.jpg
b'Portrait of the Infanta Isabella Clara Eugenia as Nun',b'Anthony van Dyck',b'Nun',b'NL',https://az333960.vo.msecnd.net/images-9/portrait-of-the-infanta-isabella-clara-eugenia-as-nun-anthony-van-dyck-3c5b3039.jpg
b'Decius Mus relating his dream',b'Anthony van Dyck',b'1616',b'NL',https://az333960.vo.msecnd.net/images-3/decius-mus-relating-his-dream-anthony-van-dyck-1616-6cf54dba.jpg
