Title,Artist,Year,Country,Thumbnail
b'Reclining nude',b'Carlos Baca-Flor',b'1886',,https://az334033.vo.msecnd.net/images-9/reclining-nude-carlos-baca-flor-1886-9693028c.jpg
b'Carolina Guti\xc3\xa9rrez de la Fuente',b'Pablo Petrovits Temesvar',b'1854',,https://az333959.vo.msecnd.net/images-2/carolina-gutierrez-de-la-fuente-pablo-petrovits-temesvar-1854-e8791430.jpg
b'Mariano Alejo \xc3\x81lvarez and his Son',b'Jos\xc3\xa9 Gil de Castro',b'1834',,https://az334033.vo.msecnd.net/images-0/mariano-alejo-alvarez-and-his-son-jose-gil-de-castro-1834-2ac24844.jpg
b'The ransom of Atahualpa',b'Carlos Baca-Flor',b'1896',,https://az333959.vo.msecnd.net/images-8/the-ransom-of-atahualpa-carlos-baca-flor-1896-23c0e3b4.jpg
b'Woman in wheat field',b'Luis Astete y Concha',b'1897',,https://az333959.vo.msecnd.net/images-9/woman-in-wheat-field-luis-astete-y-concha-1897-5ace79df.jpg
b'Girl in white',b'Carlos Baca-Flor',b'1902',,https://az334033.vo.msecnd.net/images-6/girl-in-white-carlos-baca-flor-1902-5c2efa48.jpg
b'The Laundress',b'Francisco Laso',b'1858',,https://az333959.vo.msecnd.net/images-8/the-laundress-francisco-laso-1858-54d08900.jpg
b'Ecstasy of Saint Camillus de Lellis',b'Crist\xc3\xb3bal Lozano',b'1762',,https://az333960.vo.msecnd.net/images-2/ecstasy-of-saint-camillus-de-lellis-cristobal-lozano-1762-7b06e308.jpg
b'Double Trinity with Saint Augustine and Saint Catherine...',b'Anonymous',b'1700',,https://az333959.vo.msecnd.net/images-5/double-trinity-with-saint-augustine-and-saint-catherine-of-siena-anonymous-1700-ae6eb5cb.jpg
b'Sim\xc3\xb3n Bol\xc3\xadvar',b'Jos\xc3\xa9 Gil de Castro',b'1823',,https://az334033.vo.msecnd.net/images-1/simon-bolivar-jose-gil-de-castro-1823-2ce0adbe.jpg
b'View of the Grand Canal of Venice',b'Federico del Campo',b'1913',,https://az333960.vo.msecnd.net/images-3/view-of-the-grand-canal-of-venice-federico-del-campo-1913-df698709.jpg
b'The Three Races or Equality before the Law',b'Francisco Laso',b'1859',,https://az334033.vo.msecnd.net/images-0/the-three-races-or-equality-before-the-law-francisco-laso-1859-96f8cbb8.jpg
b'The Funerals of Inca Atahualpa',b'Luis Montero',b'1867',,https://az334033.vo.msecnd.net/images-9/the-funerals-of-inca-atahualpa-luis-montero-1867-78d4682f.jpg
b'Paris Nocturne. The Singer',b'Carlos Baca-Flor',b'1900',,https://az333960.vo.msecnd.net/images-7/paris-nocturne-the-singer-carlos-baca-flor-1900-275fb8a8.jpg
b'Saint Rose of Lima with Child Jesus',b'Anonymous',b'1680',,https://az334033.vo.msecnd.net/images-7/saint-rose-of-lima-with-child-jesus-anonymous-1680-5c0aa611.jpg
b'Immaculate Virgin Victorious over the Serpent of Heresy',b'Basilio Santa Cruz Pumacallao',b'1670',,https://az334034.vo.msecnd.net/images-8/immaculate-virgin-victorious-over-the-serpent-of-heresy-basilio-santa-cruz-pumacallao-1670-22bac1bf.jpg
b'Archangel Eliel with Harquebus',b'Anonymous',b'1690',,https://az333959.vo.msecnd.net/images-3/archangel-eliel-with-harquebus-anonymous-1690-5db4256c.jpg
b'Trifacial Trinity',b'Anonymous',b'1750',,https://az333960.vo.msecnd.net/images-3/trifacial-trinity-anonymous-1750-2cc7956e.jpg
b'Saint Rose of Lima',b'Jos\xc3\xa9 del Pozo',b'1810',,https://az333959.vo.msecnd.net/images-9/saint-rose-of-lima-jose-del-pozo-1810-60cbbafe.jpg
b'Corpus Christi Procession',b'Anonymous',b'1860',,https://az333959.vo.msecnd.net/images-6/corpus-christi-procession-anonymous-1860-87334081.jpg
b'Tapada lime\xc3\xb1a',b'Pancho Fierro',b'1840',,https://az333960.vo.msecnd.net/images-7/tapada-limena-pancho-fierro-1840-d0d1ab0a.jpg
b'Lady bathing at Chorrillos',b'Pancho Fierro',b'1840',,https://az333959.vo.msecnd.net/images-3/lady-bathing-at-chorrillos-pancho-fierro-1840-8803fc96.jpg
