Title,Artist,Year,Country,Thumbnail
|b'The Artist\xe2\x80\x99s Parents, Mr. and Mrs. J. P. Bloch in Their...'|,b'Carl Bloch',b'Their...',b'DK',https://az334033.vo.msecnd.net/images-8/the-artist-s-parents-mr-and-mrs-j-p-bloch-in-their-sitting-room-carl-bloch-e9b38b77.jpg
b'Road by the Village Pond in Baldersbr\xc3\xb8nde',b'Laurits Andersen Ring',b'Baldersbr\xc3\xb8nde',b'DK',https://az333960.vo.msecnd.net/images-4/road-by-the-village-pond-in-baldersbronde-laurits-andersen-ring-7dbba138.jpg
b'Sketch for \xe2\x80\x9cThe Girl with the Sunflowers\xe2\x80\x9d',b'Michael Peter Ancher',b'Sunflowers\xe2\x80\x9d',b'DK',https://az334033.vo.msecnd.net/images-1/sketch-for-the-girl-with-the-sunflowers-michael-peter-ancher-f566d458.jpg
|b'Portrait of the Artist\xe2\x80\x99s Wife, the Painter Anna Ancher'|,b'Michael Peter Ancher',b'1900',b'DK',https://az334034.vo.msecnd.net/images-1/portrait-of-the-artist-s-wife-the-painter-anna-ancher-michael-peter-ancher-fbaba3c1.jpg
b'Gathering Storm Near Ry',b'Vilhelm Kyhn',b'Ry',,https://az333960.vo.msecnd.net/images-9/gathering-storm-near-ry-vilhelm-kyhn-fa0d1f1a.jpg
b'Female Model Before a Mirror',b'Ludvig August Smith',b'Mirror',,https://az334034.vo.msecnd.net/images-4/female-model-before-a-mirror-ludvig-august-smith-10af8564.jpg
b'Evening Atmosphere',b'Vilhelm Kyhn',b'Atmosphere',,https://az334034.vo.msecnd.net/images-8/evening-atmosphere-vilhelm-kyhn-06c1a493.jpg
b'Summer Day',b'Harald Slott-M\xc3\xb8ller',b'Day',b'DK',https://az333959.vo.msecnd.net/images-6/summer-day-harald-slott-moller-d3ea2691.jpg
b'Late Autumn Afternoon. Motif from Horneland Near Faaborg',b'Vilhelm Kyhn',b'Faaborg',,https://az334033.vo.msecnd.net/images-2/late-autumn-afternoon-motif-from-horneland-near-faaborg-vilhelm-kyhn-a6a7e437.jpg
|b'Self-Portrait, the Artist\xe2\x80\x99s Last Work'|,b'Julius Exner',b'Work',b'DK',https://az333959.vo.msecnd.net/images-8/self-portrait-the-artist-s-last-work-julius-exner-2dbc2401.jpg
b'By the Village Pond at Baldersbr\xc3\xb8nde',b'Laurits Andersen Ring',b'Baldersbr\xc3\xb8nde',b'DK',https://az334033.vo.msecnd.net/images-7/by-the-village-pond-at-baldersbronde-laurits-andersen-ring-87066855.jpg
b'Potato Harvest',b'Michael Peter Ancher',b'Harvest',b'DK',https://az333960.vo.msecnd.net/images-8/potato-harvest-michael-peter-ancher-f211c837.jpg
b'Road with Boy',b'Laurits Andersen Ring',b'Boy',b'DK',https://az334033.vo.msecnd.net/images-3/road-with-boy-laurits-andersen-ring-76fa6752.jpg
|b'Study of a Model, Young Girl Undressing'|,b'Joel Ballin',b'Undressing',,https://az334033.vo.msecnd.net/images-5/study-of-a-model-young-girl-undressing-joel-ballin-962670ba.jpg
b'The New Hat',b'Ludvig Find',b'Hat',,https://az333959.vo.msecnd.net/images-0/the-new-hat-ludvig-find-88f9dd47.jpg
b'On the Way to Church',b'Anna Ancher',b'Church',b'DK',https://az333960.vo.msecnd.net/images-6/on-the-way-to-church-anna-ancher-bb3432e0.jpg
b'Summer Meadow',b'Vilhelm Kyhn',b'Meadow',,https://az334034.vo.msecnd.net/images-0/summer-meadow-vilhelm-kyhn-1d5f65b8.jpg
b'The Parsonage in Greve',b'Vilhelm Kyhn',b'Greve',,https://az334034.vo.msecnd.net/images-7/the-parsonage-in-greve-vilhelm-kyhn-a44144be.jpg
