Title,Artist,Year,Country,Thumbnail
b'Bouquet of Flowers in an Urn',b'Jan van Huysum',b'1724',b'NL',https://az333960.vo.msecnd.net/images-4/bouquet-of-flowers-in-an-urn-jan-van-huysum-df59c154.jpg
b'Cycles Perfecta',b'Alphonse Maria Mucha',b'1897',b'CZ',https://az334034.vo.msecnd.net/images-7/cycles-perfecta-alphonse-maria-mucha-1897-46797e77.jpg
b'October in the Catskills',b'Sanford Robinson Gifford',b'1880',b'US',https://az333960.vo.msecnd.net/images-3/october-in-the-catskills-sanford-robinson-gifford-1880-5e93c140.jpg
b'Cat under Chrysanthemums  Hen and Chicks under Flower',b'Anonymous',b'1700',,https://az333960.vo.msecnd.net/images-1/cat-under-chrysanthemums-hen-and-chicks-under-flower-anonymous-1-9cf1ffd7.jpg
b'Tiger Under Bamboo and Pine Trees',b'Anonymous',b'1800',,https://az334033.vo.msecnd.net/images-4/tiger-under-bamboo-and-pine-trees-anonymous-c5a968c2.jpg
b'Rhode Island Shore',b'Martin Johnson Heade',b'1858',b'US',https://az333959.vo.msecnd.net/images-8/rhode-island-shore-martin-johnson-heade-1858-52661c3c.jpg
b'Man Wearing Laurels',b'John Singer Sargent',b'1880',b'US',https://az334033.vo.msecnd.net/images-7/man-wearing-laurels-john-singer-sargent-19a36526.jpg
|b'Myriad Birds, Insects and Flowers'|,b'Ueno Setsugaku',b'1865',,https://az334033.vo.msecnd.net/images-2/myriad-birds-insects-and-flowers-ueno-setsugaku-57c14d90.jpg
b'Green Geometric',b'Hannah Borger Overbeck',b'1915',b'US',https://az333959.vo.msecnd.net/images-0/green-geometric-hannah-borger-overbeck-1915-c32733eb.jpg
b'The Studio of Jacques-Louis David',b'L\xc3\xa9on Matthieu Cochereau',b'1814',b'FR',https://az334034.vo.msecnd.net/images-8/the-studio-of-jacques-louis-david-leon-matthieu-cochereau-12884aa3.jpg
b'Sunflowers (possibly Jerusalem Artichoke)',b'Hannah Borger Overbeck',b'1915',b'US',https://az334033.vo.msecnd.net/images-0/sunflowers-possibly-jerusalem-artichoke-hannah-borger-overbeck-1915-14745dd8.jpg
|b'Boston Harbor, Sunset'|,b'Fitz Henry Lane',b'1855',b'US',https://az333959.vo.msecnd.net/images-6/boston-harbor-sunset-fitz-henry-lane-62f6feb1.jpg
b'Untitled (Burning Bush)',b'Hannah Borger Overbeck',b'1915',b'US',https://az334034.vo.msecnd.net/images-9/untitled-burning-bush-hannah-borger-overbeck-1915-22c0bd52.jpg
b'Entrance to an Inn in the Praestegarden at Hillested',b'Martinus R\xc3\xb8rbye',b'1844',b'DK',https://az334033.vo.msecnd.net/images-5/entrance-to-an-inn-in-the-praestegarden-at-hillested-martinus-rorbye-5712e549.jpg
b'Paysage (Eragny)',b'Camille Pissarro',b'1890',b'FR',https://az334034.vo.msecnd.net/images-6/untitled-camille-pissarro-68-d5c37bc7.jpg
b'Selene and Endymion',b'Ubaldo Gandolfi',b'1770',,https://az333959.vo.msecnd.net/images-8/selene-and-endymion-ubaldo-gandolfi-c3d6063f.jpg
b'The Young Christ',b'Alexej von Jawlensky',b'1920',b'RU',https://az334033.vo.msecnd.net/images-9/the-young-christ-alexej-von-jawlensky-33933a4e.jpg
b'Moonlight on the Water',b'Winslow Homer',b'1906',b'US',https://az334033.vo.msecnd.net/images-8/moonlight-on-the-water-winslow-homer-d138b596.jpg
b'Still Life With Cherries And Peaches',b'Paul C\xc3\xa9zanne',b'1887',b'FR',https://az334033.vo.msecnd.net/images-7/still-life-with-cherries-and-peaches-paul-cezanne-ea6a1ec3.jpg
|b'Alas, Poor Yorick'|,b'William Michael Harnett',b'1877',b'IE',https://az333959.vo.msecnd.net/images-3/alas-poor-yorick-william-michael-harnett-1877-3ce1ad21.jpg
|b'A Hillside, Giverny'|,b'Theodore Robinson',b'1887',,https://az334033.vo.msecnd.net/images-9/valley-of-the-seine-giverny-theodore-robinson-1887-ac285cb6.jpg
b'Venus Disarming Cupid',b'Alessandro Allori',b'1570',b'IT',https://az333960.vo.msecnd.net/images-7/venus-disarming-cupid-alessandro-allori-30624ab8.jpg
|b'Portrait of Mrs. Edward L. Davis and Her Son, Livingston...'|,b'John Singer Sargent',b'1890',b'US',https://az334033.vo.msecnd.net/images-8/portrait-of-mrs-edward-l-davis-and-her-son-livingston-davis-john-singer-sargent-f34524c1.jpg
b'Soap Bubbles',b'Jean-Baptiste-Sim\xc3\xa9on Chardin',b'1739',b'FR',https://az334033.vo.msecnd.net/images-1/soap-bubbles-jean-baptiste-simeon-chardin-1-17326a1b.jpg
b'Bamboo',b'Anonymous',b'1800',,https://az334034.vo.msecnd.net/images-7/bamboo-anonymous-2b35dfed.jpg
b'The Story of King Mandhatar; The Story of King...',b'Anonymous',b'1700',,https://az334034.vo.msecnd.net/images-9/the-story-of-king-mandhatar-the-story-of-king-candraprabha-the-tale-of-the-island-of-vadaradvipa-painting-from-an-avadana-kalpalata-jataka-series-anonymous-833ff2df.jpg
b'Seine and Old Bridge at Limay',b'Jean-Baptiste-Camille Corot',b'1872',b'FR',https://az334033.vo.msecnd.net/images-9/seine-and-old-bridge-at-limay-jean-baptiste-camille-corot-d11697a7.jpg
|b'The Path to Les Pouilleux, Pontoise'|,b'Camille Pissarro',b'1881',b'FR',https://az333959.vo.msecnd.net/images-2/the-path-to-les-pouilleux-pontoise-camille-pissarro-efe17b14.jpg
b'Portrait of Cecilia Tower',b'James J. Shannon',b'1889',b'US',https://az333959.vo.msecnd.net/images-0/portrait-of-cecilia-tower-james-j-shannon-1889-0f91e92a.jpg
b'Cliff Dwellers',b'George Bellows',b'1913',b'US',https://az333959.vo.msecnd.net/images-7/cliff-dwellers-george-bellows-5a902282.jpg
b'Two Nudes in a Room',b'Ernst Ludwig Kirchner',b'1914',b'DE',https://az333960.vo.msecnd.net/images-7/two-nudes-in-a-room-ernst-ludwig-kirchner-40ebf4db.jpg
