Title,Artist,Year,Country,Thumbnail
b'Isleworth Mona Lisa',b'Leonardo da Vinci',b'Lisa',b'IT',https://az334034.vo.msecnd.net/images-5/isleworth-mona-lisa-leonardo-da-vinci-e8ad112c.jpg
b'Madame R\xc3\xa9camier',b'Jacques-Louis David',b'1800',b'FR',https://az334033.vo.msecnd.net/images-4/portrait-of-madame-recamier-jacques-louis-david-1800-b01366c6.jpg
b'Diana leaving her Bath',b'Fran\xc3\xa7ois Boucher',b'1742',b'FR',https://az334033.vo.msecnd.net/images-4/diana-leaving-her-bath-francois-boucher-1742-cc7adbf9.jpg
b"Mysteries of Christ's Passion",b'Antonio Campi',b'1569',b'IT',https://az333959.vo.msecnd.net/images-9/mysteries-of-christ-s-passion-antonio-campi-1569-c550c198.jpg
b'The Lock',b'Jean-Honor\xc3\xa9 Fragonard',b'1774',b'FR',https://az333960.vo.msecnd.net/images-0/the-lock-jean-honore-fragonard-1774-9c222ca7.jpg
b"L'atelier de Corot (Jeune femme assise devant un chevalet)",b'Jean-Baptiste-Camille Corot',b'1865',b'FR',https://az333960.vo.msecnd.net/images-9/untitled-jean-baptiste-camille-corot-1865-5-4830dc72.png
b'Peace bringing back Prosperity',b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'1780',b'FR',https://az333960.vo.msecnd.net/images-6/peace-bringing-back-prosperity-louise-elisabeth-vigee-le-brun-1780-2f65e90a.jpg
b'Mona Lisa',b'Leonardo da Vinci',b'1519',b'IT',https://az333959.vo.msecnd.net/images-1/mona-lisa-leonardo-da-vinci-1506-7f1b1ceb.jpg
b'La Grande Odalisque',b'Jean-Auguste-Dominique Ingres',b'1814',b'FR',https://az333960.vo.msecnd.net/images-0/la-grande-odalisque-jean-auguste-dominique-ingres-1814-4166ebeb.jpg
b'Philosopher in Meditation',b'Rembrandt',b'1632',b'NL',https://az333960.vo.msecnd.net/images-4/philosopher-in-meditation-rembrandt-1632-63c81524.jpg
b'Rolla',b'Henri Gervex',b'1878',,https://az333960.vo.msecnd.net/images-9/rolla-henri-gervex-1878-79871a77.jpg
b"Gabrielle d'Estr\xc3\xa9es et une de ses s\xc5\x93urs",b'Anonymous',b'1594',,https://az334034.vo.msecnd.net/images-6/gabrielle-d-estrees-et-une-de-ses-soeurs-anonymous-1594-12c77f74.jpg
b'Lady in Blue',b'Jean-Baptiste-Camille Corot',b'1874',b'FR',https://az334033.vo.msecnd.net/images-4/lady-in-blue-jean-baptiste-camille-corot-1874-78855c46.jpg
b'The Young Martyr',b'Paul Delaroche',b'1865',b'FR',https://az334033.vo.msecnd.net/images-5/the-young-martyr-paul-delaroche-1865-5315fd05.jpg
|b'Mariana Waldstein, Ninth Marquesa de Santa Cruz'|,b'Francisco de Goya',b'1797',b'ES',https://az333960.vo.msecnd.net/images-7/mariana-waldstein-ninth-marquesa-de-santa-cruz-francisco-de-goya-1797-b6074e77.jpg
b'David and Goliath (verso)',b'Daniele da Volterra',b'1550',,https://az334034.vo.msecnd.net/images-2/david-and-goliath-verso-daniele-da-volterra-1550-78a528c6.jpg
