Title,Artist,Year,Country,Thumbnail
b'The Midday',b'Caspar David Friedrich',b'1821',b'DE',https://az333960.vo.msecnd.net/images-2/the-midday-caspar-david-friedrich-1821-283d40b3.jpg
b'The Morning',b'Caspar David Friedrich',b'1821',b'DE',https://az333959.vo.msecnd.net/images-4/the-morning-caspar-david-friedrich-1821-cd0412af.jpg
b'Str\xc3\xa5t\xc3\xa6kte huse og kirke i St. J\xc3\xb8rgensberg',b'Laurits Andersen Ring',b'1916',b'DK',https://az334034.vo.msecnd.net/images-6/untitled-laurits-andersen-ring-48-3fc98b5c.jpg
b'Coast in Hongleur',b'F\xc3\xa9lix Vallotton',b'1915',b'CH',https://az333960.vo.msecnd.net/images-1/coast-in-hongleur-felix-vallotton-1915-400c577b.jpg
b'The Afternoon',b'Caspar David Friedrich',b'1821',b'DE',https://az334033.vo.msecnd.net/images-5/the-afternoon-caspar-david-friedrich-1821-001fbd51.jpg
b'The Inspiration of Anacreon',b'Nicolas Poussin',b'Anacreon',b'FR',https://az333960.vo.msecnd.net/images-4/the-inspiration-of-anacreon-nicolas-poussin-e523d5c9.jpg
b'Hilly Landscape with Waterfall',b'Jacob van Ruisdael',b'Waterfall',b'NL',https://az334033.vo.msecnd.net/images-0/hilly-landscape-with-waterfall-jacob-van-ruisdael-a706e5fe.jpg
b'Landscape with the Baptism of the Eunuch',b'Rembrandt',b'Eunuch',b'NL',https://az333960.vo.msecnd.net/images-0/landscape-with-the-baptism-of-the-eunuch-rembrandt-9c258749.jpg
b'Low Tide',b'Andreas Achenbach',b'1837',b'DE',https://az334034.vo.msecnd.net/images-9/low-tide-andreas-achenbach-1837-710f6741.jpg
b'The Evening',b'Caspar David Friedrich',b'1821',b'DE',https://az333960.vo.msecnd.net/images-4/the-evening-caspar-david-friedrich-1821-789d4842.jpg
b'People in Front of a House',b'Laurits Andersen Ring',b'1885',b'DK',https://az334033.vo.msecnd.net/images-3/untitled-laurits-andersen-ring-49-77959edb.jpg
b'Huse i Hersted',b'Laurits Andersen Ring',b'1890',b'DK',https://az333959.vo.msecnd.net/images-6/untitled-laurits-andersen-ring-1890-4970f692.jpg
b'Portrait of an older man',b'Caspar David Friedrich',b'1809',b'DE',https://az333959.vo.msecnd.net/images-7/portrait-of-an-older-man-caspar-david-friedrich-1809-6c2a2708.jpg
b'Morning',b'Caspar David Friedrich',b'Morning',b'DE',https://az333959.vo.msecnd.net/images-1/morning-caspar-david-friedrich-50544e1b.jpg
b'Fantasy Landscape with Buildings by a Lagoon',b'Francesco Guardi',b'1790',b'IT',https://az334033.vo.msecnd.net/images-3/fantasy-landscape-with-buildings-by-a-lagoon-francesco-guardi-1790-6dedf4f3.jpg
b'Untitled',b'Anselm Feuerbach',b'1854',,https://az333960.vo.msecnd.net/images-5/untitled-anselm-feuerbach-1854-78bec4c2.jpg
b'Saint Jerome penitent',b'Pontormo',b'1525',b'IT',https://az334034.vo.msecnd.net/images-1/saint-jerome-penitent-pontormo-1525-7df2fb6b.jpg
b'Untitled',b'Laurits Andersen Ring',b'Untitled',b'DK',https://az334033.vo.msecnd.net/images-4/untitled-laurits-andersen-ring-47-2ed5316c.jpg
b'Portrait of Gerrit Bicker van Swieten (1632-1716)',b'Caspar Netscher',b'1673',b'NL',https://az333959.vo.msecnd.net/images-9/portrait-of-gerrit-bicker-van-swieten-1632-1716-caspar-netscher-1673-d54fe42e.jpg
b'Papageienmann',b'Max Slevogt',b'1901',b'DE',https://az334034.vo.msecnd.net/images-4/papageienmann-max-slevogt-1901-c9d6cb05.jpg
|b'View of the Church of St. Maria im Kapitol, Cologne'|,b'Gerrit Adriaenszoon Berckheyde',b'1672',,https://az334034.vo.msecnd.net/images-0/view-of-the-church-of-st-maria-im-kapitol-cologne-gerrit-adriaenszoon-berckheyde-1672-3206faf4.jpg
