Title,Artist,Year,Country,Thumbnail
b'Portrait de Julie Duvidal de Montferrier',b'Fran\xc3\xa7ois G\xc3\xa9rard',b'1801',b'FR',https://az333959.vo.msecnd.net/images-2/portrait-de-julie-duvidal-de-montferrier-francois-pascal-simon-gerard-baron-1801-7612d3a4.jpg
b'Le Satyre',b'Fernand Cormon',b'1886',,https://az333960.vo.msecnd.net/images-3/le-satyre-fernand-cormon-1886-41575732.jpg
b'L\xc3\xa9opoldine and the Book of Hours',b'Auguste de Ch\xc3\xa2tillon',b'1835',,https://az333959.vo.msecnd.net/images-4/leopoldine-and-the-book-of-hours-auguste-de-chatillon-1835-876b2ea2.jpg
b'Lord David Dirry-Moir',b'Georges Rochegrosse',b'1886',,https://az334033.vo.msecnd.net/images-4/lord-david-dirry-moir-georges-rochegrosse-1886-462482fb.jpg
b'Sc\xc3\xa8nes tir\xc3\xa9es de Notre-Dame de Paris',b'Auguste Couder',b'1833',,https://az334033.vo.msecnd.net/images-0/scenes-tirees-de-notre-dame-de-paris-auguste-couder-1833-0bc0e5aa.jpg
b'Portrait de Victor Hugo',b'Aim\xc3\xa9 Morot',b'1850',,https://az333960.vo.msecnd.net/images-5/portrait-de-victor-hugo-aime-morot-1850-ade225bc.jpg
b'Portrait du Lieutenant Ren\xc3\xa9-Henri Drouet',b'Jean-Antoine-Th\xc3\xa9odore Giroust',b'1753',,https://az334033.vo.msecnd.net/images-1/portrait-du-lieutenant-rene-henri-drouet-jean-antoine-theodore-giroust-1753-7c6332c0.jpg
b'Le Naufrage',b'Georges Rochegrosse',b'1886',,https://az333959.vo.msecnd.net/images-3/le-naufrage-georges-rochegrosse-1886-157e1626.jpg
b'Sara la baigneuse',b'Jean-Jacques Henner',b'1903',,https://az334033.vo.msecnd.net/images-2/sara-la-baigneuse-jean-jacques-henner-1903-c6d319bd.jpg
b"La premi\xc3\xa8re d'Hernani. Avant la bataille",b'Paul-Albert Besnard',b'1903',,https://az333960.vo.msecnd.net/images-8/la-premiere-d-hernani-avant-la-bataille-paul-albert-besnard-1903-d4b0174a.jpg
b'Portrait de M. Victor Hugo',b'L\xc3\xa9on Bonnat',b'1879',b'FR',https://az334034.vo.msecnd.net/images-8/portrait-de-m-victor-hugo-leon-bonnat-1879-52bb44b4.jpg
b"Jean Valjean devant la cour d'assises d'Arras (Les...",b'Andr\xc3\xa9 Devambez',b'1904',,https://az334034.vo.msecnd.net/images-2/jean-valjean-devant-la-cour-d-assises-d-arras-les-miserables-andre-devambez-1904-b9dca012.jpg
|b'Aimons toujours, aimons encore'|,b'Pascal Dagnan-Bouveret',b'1886',,https://az333959.vo.msecnd.net/images-1/aimons-toujours-aimons-encore-pascal-dagnan-bouveret-1886-8450f879.jpg
b'Arcadion',b'Jean-Joseph Benjamin-Constant',b'1893',,https://az333959.vo.msecnd.net/images-1/arcadion-jean-joseph-benjamin-constant-1893-98036ce2.jpg
b'Quasimodo sauvant Esm\xc3\xa9ralda des mains de ses bourreaux',b'Elisa Victorine Henry',b'1832',,https://az333960.vo.msecnd.net/images-3/quasimodo-sauvant-esmeralda-des-mains-de-ses-bourreaux-elisa-victorine-henry-1832-33828d5e.jpg
b"Han d'Islande abordant le baron W\xc5\x93tha\xc3\xbcn",b'Guillaume Albert Demarest',b'1889',,https://az333960.vo.msecnd.net/images-6/han-d-islande-abordant-le-baron-woethaun-guillaume-albert-demarest-1889-1b248927.jpg
|b"Leopold d'Auverney, le chien Rask et Habibrah (Bug - Jargal)"|,b'Anonymous',b'1826',,https://az334033.vo.msecnd.net/images-3/leopold-d-auverney-le-chien-rask-et-habibrah-bug-jargal-anonymous-1826-a0126990.jpg
b'Le Satyre',b'Henri Fantin-Latour',b'1903',b'FR',https://az333959.vo.msecnd.net/images-3/le-satyre-henri-fantin-latour-1903-31f50863.jpg
b"Gwynplaine. L'Homme qui rit",b'Georges Rochegrosse',b'1886',,https://az333959.vo.msecnd.net/images-5/gwynplaine-l-homme-qui-rit-georges-rochegrosse-1886-c8e4c300.jpg
b'Victor Hugo descendant de son cabinet de travail \xc3\xa0...',b'Georges-Victor Hugo',b'1880',,https://az334033.vo.msecnd.net/images-7/victor-hugo-descendant-de-son-cabinet-de-travail-a-hauteville-house-georges-victor-hugo-1880-b7a67f4d.jpg
b'Kennybol et Guldon Stayper',b'Guillaume Albert Demarest',b'1889',,https://az333959.vo.msecnd.net/images-2/kennybol-et-guldon-stayper-guillaume-albert-demarest-1889-14d15c4d.jpg
b"Don Alphonse d'Este",b'Gaston M\xc3\xa9lingue',b'1882',,https://az333960.vo.msecnd.net/images-3/don-alphonse-d-este-gaston-melingue-1882-77417522.jpg
b'La mort de Baudin',b'Jean-Paul Laurens',b'1902',b'FR',https://az334034.vo.msecnd.net/images-2/la-mort-de-baudin-jean-paul-laurens-1902-2283a33f.jpg
b'Charles Hugo enfant',b'Charles-\xc3\x89mile-Callande de Champmartin',b'1834',,https://az333959.vo.msecnd.net/images-8/charles-hugo-enfant-charles-emile-callande-de-champmartin-1834-3f02e197.jpg
b'Hernani ; - dernier acte',b'Louis \xc3\x89douard Fournier',b'1903',,https://az334034.vo.msecnd.net/images-9/hernani-dernier-acte-louis-edouard-fournier-1903-92cfa4ce.jpg
b'La famille du bourreau Nychol',b'Guillaume Albert Demarest',b'1889',,https://az333959.vo.msecnd.net/images-9/la-famille-du-bourreau-nychol-guillaume-albert-demarest-1889-cd71ec5b.jpg
b'Jeanne endormie',b'Albert Fouri\xc3\xa9',b'1888',,https://az333960.vo.msecnd.net/images-9/jeanne-endormie-albert-fourie-1888-5803c3e3.jpg
b'Le g\xc3\xa9n\xc3\xa9ral Joseph-Leopold Sigisbert Hugo',b'Julie Hugo',b'1801',,https://az333960.vo.msecnd.net/images-6/le-general-joseph-leopold-sigisbert-hugo-julie-hugo-1801-60a24cab.jpg
b'Portrait du g\xc3\xa9n\xc3\xa9ral Louis Hugo (1777-1843)',b'Anonymous',b'1801',,https://az334033.vo.msecnd.net/images-2/portrait-du-general-louis-hugo-1777-1843-anonymous-1801-c99dc871.jpg
|b'Salle \xc3\xa0 manger de Hauteville II, maison de Juliette...'|,b'Edmond de Pal\xc3\xa9zieux',b'1883',,https://az333960.vo.msecnd.net/images-5/salle-a-manger-de-hauteville-ii-maison-de-juliette-drouet-a-guernesey-edmond-de-palezieux-1883-2800cc9a.jpg
|b'Les Fun\xc3\xa9railles de Victor Hugo, 31 mai et 1er juin 1885'|,b'Jean-Paul Sinibaldi',b'1885',,https://az334033.vo.msecnd.net/images-0/les-funerailles-de-victor-hugo-31-mai-et-1er-juin-1885-jean-paul-sinibaldi-1885-db65d4db.jpg
b"La chambre de Victor Hugo avenue d'Eylau",b'D\xc3\xa9sir\xc3\xa9 Fran\xc3\xa7ois Laug\xc3\xa9e',b'1885',,https://az333959.vo.msecnd.net/images-5/la-chambre-de-victor-hugo-avenue-d-eylau-desire-francois-laugee-1885-1ee49a9a.jpg
b'Claude Gueux rapportant \xc3\xa0 sa famille le pain vol\xc3\xa9',b'Louis-\xc3\x89douard Rioult',b'1834',,https://az333960.vo.msecnd.net/images-0/claude-gueux-rapportant-a-sa-famille-le-pain-vole-louis-edouard-rioult-1834-2c895414.jpg
b'La Ronde du Sabbat',b'Louis Boulanger',b'1861',,https://az333959.vo.msecnd.net/images-1/la-ronde-du-sabbat-louis-boulanger-1861-7d3acd1d.jpg
|b'La premi\xc3\xa8re communion de L\xc3\xa9opoldine \xc3\xa0 Fourqueux, le 8...'|,b'Auguste de Ch\xc3\xa2tillon',b'1836',,https://az334033.vo.msecnd.net/images-5/la-premiere-communion-de-leopoldine-a-fourqueux-le-8-septembre-1836-auguste-de-chatillon-1836-e19bad5f.jpg
b'La Esmeralda et sa ch\xc3\xa8vre',b'Anonymous',b'1839',,https://az333959.vo.msecnd.net/images-6/la-esmeralda-et-sa-chevre-anonymous-1839-eec702b1.jpg
b'Victor Hugo sur son lit de mort',b'Pierre-Paul-L\xc3\xa9on Glaize',b'1885',,https://az333960.vo.msecnd.net/images-3/victor-hugo-sur-son-lit-de-mort-pierre-paul-leon-glaize-1885-dfd5dc9e.jpg
b'La maison de Victor Hugo \xc3\xa0 Guernesey',b'Eug\xc3\xa8ne Bourgeois',b'1900',,https://az334033.vo.msecnd.net/images-0/la-maison-de-victor-hugo-a-guernesey-eugene-bourgeois-1900-64f31cc0.jpg
b'Portrait de Victor Hugo sur fond de Notre-Dame de Reims',b'Jean Alaux',b'1825',,https://az333960.vo.msecnd.net/images-9/portrait-de-victor-hugo-sur-fond-de-notre-dame-de-reims-jean-alaux-1825-6c2c9f46.jpg
b'Esm\xc3\xa9ralda',b'Lionel Royer',b'1889',,https://az333960.vo.msecnd.net/images-3/esmeralda-lionel-royer-1889-728c2e38.jpg
b'Petit Paul',b'Henri Jules Jean Geoffroy',b'1853',,https://az333959.vo.msecnd.net/images-3/petit-paul-henri-jules-jean-geoffroy-1853-7c207c4a.jpg
b'Portrait de Victor Hugo avec son fils de Fran\xc3\xa7ois-Victor...',b'Auguste de Ch\xc3\xa2tillon',b'1836',,https://az333959.vo.msecnd.net/images-2/portrait-de-victor-hugo-avec-son-fils-de-francois-victor-hugo-auguste-de-chatillon-1836-31744523.jpg
b'Le cercueil de Victor Hugo couvert de couronnes',b'E Durang',b'1885',,https://az333959.vo.msecnd.net/images-0/le-cercueil-de-victor-hugo-couvert-de-couronnes-e-durang-1885-cfbcd55a.jpg
