Title,Artist,Year,Country,Thumbnail
b'The Cemetery',b'Carl Fredrik Hill',b'1877',b'CH',https://az334033.vo.msecnd.net/images-4/the-cemetery-carl-fredrik-hill-1877-0ea90c68.jpg
b'Imatra in wintertime',b'Akseli Gallen-Kallela',b'1893',b'FI',https://az333960.vo.msecnd.net/images-8/imatra-in-wintertime-akseli-gallen-kallela-1893-71247f90.jpg
b'The abduction of Sampo',b'Akseli Gallen-Kallela',b'1905',b'FI',https://az333960.vo.msecnd.net/images-7/the-abduction-of-sampo-akseli-gallen-kallela-1905-9121f2e1.jpg
b'Untitled',b'Richard Bergh',b'Untitled',,https://az333959.vo.msecnd.net/images-8/untitled-richard-bergh-2-4544a258.jpg
b'After the prom',b'Carl Larsson',b'1908',b'SE',https://az333959.vo.msecnd.net/images-5/after-the-prom-carl-larsson-1908-b8b40a59.jpg
b'The black spruces',b'Carl Fredrik Hill',b'1878',b'CH',https://az333959.vo.msecnd.net/images-0/the-black-spruces-carl-fredrik-hill-1878-a5c59d3f.jpg
b'Girl and rocking chair',b'Carl Larsson',b'1907',b'SE',https://az334033.vo.msecnd.net/images-8/girl-and-rocking-chair-carl-larsson-1907-bd2881d7.jpg
b'Field of Oats at Grez',b'Karl Nordstr\xc3\xb6m',b'1885',,https://az333960.vo.msecnd.net/images-6/field-of-oats-at-grez-karl-nordstrom-1885-1b12be07.jpg
b'Flower by the Shore',b'August Strindberg',b'1892',b'SE',https://az334033.vo.msecnd.net/images-0/flower-by-the-shore-august-strindberg-1892-0dacd322.jpg
b'Self-Portrait',b'Anders Zorn',b'1907',b'SE',https://az333959.vo.msecnd.net/images-7/self-portrait-anders-zorn-1907-bec481fb.jpg
b'Tuvstarr is still sitting there wistfully looking into...',b'John Bauer',b'into...',,https://az333960.vo.msecnd.net/images-1/tuvstarr-is-still-sitting-there-wistfully-looking-into-the-water-john-bauer-1a8f9d44.jpg
|b'Interior with potted plant on card table, Bredgade 25'|,b'Vilhelm Hammersh\xc3\xb8i',b'1910',b'DK',https://az334034.vo.msecnd.net/images-0/interior-with-potted-plant-on-card-table-bredgade-25-vilhelm-hammershoi-1910-acc3f73e.jpg
b'Treppenhuis',b'August Jernberg',b'Treppenhuis',,https://az333960.vo.msecnd.net/images-2/treppenhuis-august-jernberg-8f003b62.jpg
b'Untitled (Oriental interior)',b'Carl Fredrik Hill',b'1897',b'CH',https://az334033.vo.msecnd.net/images-3/untitled-oriental-interior-carl-fredrik-hill-1897-9ebfe904.jpg
b'Portrait of the artist\xc2\xb4s wife: Marie Kr\xc3\xb6yer',b'Peder Severin Kr\xc3\xb8yer',b'Kr\xc3\xb6yer',b'DK',https://az334034.vo.msecnd.net/images-7/portrait-of-the-artist-s-wife-marie-kroyer-peder-severin-kroyer-4e51bda0.jpg
b'The Fall of Man',b'Frans Floris I',b'1560',,https://az333960.vo.msecnd.net/images-7/the-fall-of-man-frans-floris-i-1560-85febd82.jpg
b'Portrait of baron Knut J\xc3\xb6nsson Kurck',b'Martin Mytens',b'1678',,https://az333960.vo.msecnd.net/images-4/portrait-of-baron-knut-jonsson-kurck-martin-mytens-1678-d6ba0f14.jpg
b'Self-Portrait',b'Alexander Roslin',b'1790',,https://az333959.vo.msecnd.net/images-8/self-portrait-alexander-roslin-1790-3b04ba9d.jpg
|b'The Sawmill, December sun'|,b'Ester Almqvist',b'1914',,https://az333960.vo.msecnd.net/images-6/the-sawmill-december-sun-ester-almqvist-1914-ea42e0ef.jpg
b"Old fashioned priest's daughter",b'Ester Almqvist',b'1890',,https://az334034.vo.msecnd.net/images-1/old-fashioned-priest-s-daughter-ester-almqvist-1890-3df9978a.jpg
b'The Bay',b'Carl Wilhelmson',b'1901',,https://az334034.vo.msecnd.net/images-7/the-bay-carl-wilhelmson-1901-d21c379a.jpg
