Title,Artist,Year,Country,Thumbnail
b'Hylas and the Nymphs',b'John William Waterhouse',b'1896',b'GB',https://az334033.vo.msecnd.net/images-7/hylas-and-the-nymphs-john-william-waterhouse-1896-5c07fae3.jpg
b'Astarte Syriaca',b'Dante Gabriel Rossetti',b'Syriaca',b'GB',https://az333959.vo.msecnd.net/images-0/astarte-syriaca-dante-gabriel-rossetti-590e6f1e.jpg
b'Stages of Cruelty',b'Ford Madox Brown',b'Cruelty',b'GB',https://az334033.vo.msecnd.net/images-9/stages-of-cruelty-ford-madox-brown-d5a311fc.jpg
b'Manfred on the Jungfrau',b'Ford Madox Brown',b'1842',b'GB',https://az333959.vo.msecnd.net/images-4/manfred-on-the-jungfrau-ford-madox-brown-1842-9c4ac863.jpg
b'The Sirens and Ulysses',b'William Etty',b'Ulysses',b'GB',https://az334034.vo.msecnd.net/images-7/the-sirens-and-ulysses-william-etty-855dc861.jpg
b'The Hireling Shepherd',b'William Holman Hunt',b'1851',b'GB',https://az334033.vo.msecnd.net/images-7/the-hireling-shepherd-william-holman-hunt-1851-20988ba3.jpg
b'Autumn Leaves',b'John Everett Millais',b'1856',b'GB',https://az333960.vo.msecnd.net/images-3/autumn-leaves-john-everett-millais-1856-a42601da.jpg
b'Captive Andromache',b'Frederic Leighton',b'1888',b'GB',https://az334034.vo.msecnd.net/images-1/captive-andromache-frederic-leighton-1888-b8b8224c.jpg
b'Marshall Ney at Retreat in Russia',b'Adolphe Yvon',b'1856',b'FR',https://az333959.vo.msecnd.net/images-5/marshall-ney-at-retreat-in-russia-adolphe-yvon-1856-3436d132.png
b'Victory O Lord!',b'John Everett Millais',b'1871',b'GB',https://az334034.vo.msecnd.net/images-0/victory-o-lord-john-everett-millais-1871-1593d935.jpg
b'Sappho',b'Charles Mengin',b'1877',,https://az333960.vo.msecnd.net/images-5/sappho-charles-mengin-daa91116.jpg
b'The Coffee Bearer',b'John Frederick Lewis',b'1857',,https://az333959.vo.msecnd.net/images-0/the-coffee-bearer-john-frederick-lewis-1857-9f3e07dd.jpg
b'The Bower Meadow',b'Dante Gabriel Rossetti',b'1872',b'GB',https://az333960.vo.msecnd.net/images-9/untitled-dante-gabriel-rossetti-1872-661906ee.jpg
b'The Shadow of Death',b'William Holman Hunt',b'1873',b'GB',https://az333960.vo.msecnd.net/images-5/the-shadow-of-death-william-holman-hunt-1873-9359ded3.jpg
b'Work',b'Ford Madox Brown',b'1865',b'GB',https://az334034.vo.msecnd.net/images-5/work-ford-madox-brown-1865-7d3311bc.jpg
|b'Cromwell, Protector of the Vaudois'|,b'Ford Madox Brown',b'1877',b'GB',https://az333960.vo.msecnd.net/images-8/cromwell-protector-of-the-vaudois-ford-madox-brown-1877-55dd80c7.jpg
