Title,Artist,Year,Country,Thumbnail
b'View of S\xc3\xa3o Jo\xc3\xa3o del Rey',b'Luc\xc3\xadlio de Albuquerque',b'Rey',,https://az334033.vo.msecnd.net/images-1/view-of-sao-joao-del-rey-lucilio-de-albuquerque-ed5bc57f.jpg
b'Bandeirante',b'Rodolfo Amoedo',b'1929',,https://az333960.vo.msecnd.net/images-1/bandeirante-rodolfo-amoedo-1929-5461a3a7.jpg
b'Untitled',b'Tom\xc3\xa1s da Anuncia\xc3\xa7\xc3\xa3o',b'1867',,https://az334034.vo.msecnd.net/images-7/untitled-tomas-da-anunciacao-1867-1fed0f97.jpg
b'Portrait of Maria Am\xc3\xa1lia Ferreira Lage',b'Jos\xc3\xa9 J\xc3\xbalio de Sousa Pinto',b'1887',,https://az333959.vo.msecnd.net/images-5/portrait-of-maria-amalia-ferreira-lage-jose-julio-de-sousa-pinto-1887-705240b6.jpg
b'Untitled',b'Jos\xc3\xa9 J\xc3\xbalio de Sousa Pinto',b'1886',,https://az333960.vo.msecnd.net/images-8/untitled-jose-julio-de-sousa-pinto-1886-9fccb9ed.jpg
b'Recorda\xc3\xa7\xc3\xa3o',b'Rodolfo Amoedo',b'1900',,https://az334034.vo.msecnd.net/images-5/recordacao-rodolfo-amoedo-1900-c9576ad3.jpg
b'Mexican Dance',b'Felix Bernardelli',b'Dance',,https://az334033.vo.msecnd.net/images-4/mexican-dance-felix-bernardelli-95a856b8.jpg
b'Rural Scene',b'Ant\xc3\xb3nio Carvalho de Silva Porto',b'1895',,https://az334033.vo.msecnd.net/images-1/rural-scene-antonio-carvalho-de-silva-porto-1895-c676a397.jpg
b'The silversmith',b'Thomas Georg Driendl',b'1892',,https://az333959.vo.msecnd.net/images-8/the-silversmith-thomas-georg-driendl-1892-5fb9918c.jpg
b'Untitled',b'Jos\xc3\xa9 J\xc3\xbalio de Sousa Pinto',b'1900',,https://az334033.vo.msecnd.net/images-4/untitled-jose-julio-de-sousa-pinto-1900-a224c70f.jpg
