Title,Artist,Year,Country,Thumbnail
b'Women Crossing the Fields',b'Vincent van Gogh',b'1890',b'NL',https://az334033.vo.msecnd.net/images-4/untitled-vincent-van-gogh-9-9497bc99.jpg
b'Portrait of the Artist with the Idol',b'Paul Gauguin',b'1893',b'FR',https://az333959.vo.msecnd.net/images-8/portrait-of-the-artist-with-the-idol-paul-gauguin-1893-f50095fd.jpg
b'Sister of Charity',b'Paul Gauguin',b'1902',b'FR',https://az334034.vo.msecnd.net/images-5/sister-of-charity-paul-gauguin-1902-fa717c15.jpg
b'Haymakers Resting',b'Camille Pissarro',b'1891',b'FR',https://az333960.vo.msecnd.net/images-8/haymakers-resting-camille-pissarro-1891-3654c34e.jpg
b'Convolvulus and Nasturtiums',b'Edouard Manet',b'1881',b'FR',https://az334033.vo.msecnd.net/images-7/convolvulus-and-nasturtiums-edouard-manet-1881-93c6b3c8.jpg
b'Two wings of an altarpiece (Moses and the Burning Bush &...',b'Aelbrecht Bouts',b'&...',,https://az333959.vo.msecnd.net/images-3/two-wings-of-an-altarpiece-moses-and-the-burning-bush-gideon-and-the-fleece-aelbrecht-bouts-4c1d2fdc.jpg
b'Guernesey',b'Auguste Renoir',b'1882',b'FR',https://az333960.vo.msecnd.net/images-2/guernesey-pierre-auguste-renoir-1882-19245aae.jpg
b'The Art Dealers',b'\xc3\x89douard Vuillard',b'1912',b'FR',https://az334034.vo.msecnd.net/images-8/the-art-dealers-edouard-vuillard-1912-95d7d45d.jpg
b'The Route from Saint-Germain to Marly',b'Alfred Sisley',b'1872',b'GB',https://az334033.vo.msecnd.net/images-5/the-route-from-saint-germain-to-marly-alfred-sisley-1872-0bf09da1.jpg
b'The Serenade',b'Auguste Renoir',b'1919',b'FR',https://az333959.vo.msecnd.net/images-0/the-serenade-pierre-auguste-renoir-1919-53a9ecc6.jpg
