Title,Artist,Year,Country,Thumbnail
b'Yard with Lunatics',b'Francisco de Goya',b'1794',b'ES',https://az333959.vo.msecnd.net/images-7/yard-with-lunatics-francisco-de-goya-1794-7fd1515e.jpg
b'Landscape with Garland of Flowers',b'Juan van der Hamen',b'Flowers',,https://az334034.vo.msecnd.net/images-6/landscape-with-garland-of-flowers-juan-van-der-hamen-8026d6a1.jpg
b'Portrait of Queen Mariana',b'Diego Vel\xc3\xa1zquez',b'1655',b'ES',https://az333960.vo.msecnd.net/images-6/portrait-of-queen-mariana-diego-velazquez-1655-632d5ff3.jpg
b'Untitled',b'Francisco Goya',b'1775',,https://az333959.vo.msecnd.net/images-6/untitled-francisco-goya-1775-ef6546a8.jpg
b'Saint Francis Kneeling in Meditation',b'El Greco',b'1605',b'GR',https://az334033.vo.msecnd.net/images-8/saint-francis-kneeling-in-meditation-el-greco-1605-fe978850.jpg
b'Female Figure',b'Diego Vel\xc3\xa1zquez',b'Figure',b'ES',https://az334034.vo.msecnd.net/images-2/female-figure-diego-velazquez-2dfb91ef.jpg
b'Untitled',b'Francisco de Goya',b'1806',b'ES',https://az333960.vo.msecnd.net/images-6/untitled-francisco-de-goya-1806-c22248df.jpg
b'Untitled',b'Diego Vel\xc3\xa1zquez',b'1623',b'ES',https://az333960.vo.msecnd.net/images-4/untitled-diego-velazquez-1623-1-08b3ef60.jpg
b'The Annunciation',b'El Greco',b'1600',b'GR',https://az333960.vo.msecnd.net/images-9/the-annunciation-el-greco-1600-16912e2e.jpg
|b'Portrait of Mariano Goya, the Artist\xe2\x80\x99s Grandson'|,b'Francisco Goya',b'1827',,https://az333960.vo.msecnd.net/images-5/portrait-of-mariano-goya-the-artist-s-grandson-francisco-goya-1827-b0af02ef.jpg
