Title,Artist,Year,Country,Thumbnail
b'Young Priestess',b'William-Adolphe Bouguereau',b'Priestess',b'FR',https://az333959.vo.msecnd.net/images-7/young-priestess-william-adolphe-bouguereau-b8269264.jpg
b'Portrait of a man',b'Frans Hals',b'1655',b'NL',https://az333959.vo.msecnd.net/images-6/portrait-of-a-man-frans-hals-1655-1-a4bc8b7d.jpg
|b'Waterloo Bridge, Veiled Sun'|,b'Claude Monet',b'1903',b'FR',https://az334033.vo.msecnd.net/images-5/waterloo-bridge-veiled-sun-claude-monet-1903-e26ee142.jpg
b"View of Mt. Marseilleveyre and the Isle of Maire (L'Estaque)",b'Paul C\xc3\xa9zanne',b'1880',b'FR',https://az333960.vo.msecnd.net/images-5/view-of-mt-marseilleveyre-and-the-isle-of-maire-l-estaque-paul-cezanne-1880-46397573.jpg
b"Torn-in-Transit with Woman's Photograph",b'John Haberle',b'1888',,https://az334034.vo.msecnd.net/images-6/torn-in-transit-with-woman-s-photograph-john-haberle-1888-2e4a0f9b.jpg
|b'Charles Gaspard Guillaume de Vintimille du Luc,...'|,b'Hyacinthe Rigaud',b'1731',,https://az333960.vo.msecnd.net/images-1/charles-gaspard-guillaume-de-vintimille-du-luc-archbishop-of-paris-1656-1746-hyacinthe-rigaud-1731-fda98984.jpg
|b'The Rocks at Pourville, Low Tide'|,b'Claude Monet',b'1882',b'FR',https://az333960.vo.msecnd.net/images-4/the-rocks-at-pourville-low-tide-claude-monet-1882-6c5d6d5a.jpg
|b'Portrait of Charles de Coss\xc3\xa9, comte de Brissac'|,b'Corneille de Lyon',b'1530',,https://az333959.vo.msecnd.net/images-0/portrait-of-charles-de-cosse-comte-de-brissac-corneille-de-lyon-1530-b1e4a639.jpg
b'Untitled',b'Jean-Auguste-Dominique Ingres',b'1800',b'FR',https://az333959.vo.msecnd.net/images-3/untitled-jean-auguste-dominique-ingres-1800-272213f4.jpg
b'Portrait of a Young Man in an Armchair',b'Rembrandt',b'Armchair',b'NL',https://az334034.vo.msecnd.net/images-1/portrait-of-a-young-man-in-an-armchair-rembrandt-ab9e947b.jpg
b'Near Cagnes',b'Auguste Renoir',b'Cagnes',b'FR',https://az333960.vo.msecnd.net/images-7/near-cagnes-pierre-auguste-renoir-14ef473e.jpg
b'Washerwomen of Fouesnant',b'William-Adolphe Bouguereau',b'1869',b'FR',https://az334034.vo.msecnd.net/images-4/washerwomen-of-fouesnant-william-adolphe-bouguereau-1869-ddc36f58.jpg
b'Entre Coubron et Montfermeil',b'Jean-Baptiste-Camille Corot',b'1871',b'FR',https://az334034.vo.msecnd.net/images-2/entre-coubron-et-montfermeil-camille-corot-1871-e9db2553.jpg
b'The Pond at Chaville',b'Auguste Renoir',b'1911',b'FR',https://az333960.vo.msecnd.net/images-7/the-pond-at-chaville-pierre-auguste-renoir-1911-32c4ad63.jpg
b'A Mill Wheel',b'Jean-Baptiste-Camille Corot',b'1842',b'FR',https://az333960.vo.msecnd.net/images-6/a-mill-wheel-camille-corot-1842-f534bc4b.jpg
b'Portrait of an Italian Nobleman in Armor',b'Anthony van Dyck',b'1625',b'NL',https://az333960.vo.msecnd.net/images-0/portrait-of-an-italian-nobleman-in-armor-anthony-van-dyck-1625-8a3074f4.jpg
