Title,Artist,Year,Country,Thumbnail
|b'Wind River Mountains, Nebraska Territory'|,b'Albert Bierstadt',b'1862',,https://az333959.vo.msecnd.net/images-7/wind-river-mountains-nebraska-territory-albert-bierstadt-1862-11e66515.jpg
b'Homer and His Guide',b'William-Adolphe Bouguereau',b'1874',b'FR',https://az333959.vo.msecnd.net/images-8/homer-and-his-guide-william-adolphe-bouguereau-1874-28c31350.jpg
b'Grizzly Bears',b'Albert Bierstadt',b'1859',,https://az333960.vo.msecnd.net/images-5/grizzly-bears-albert-bierstadt-1859-b0713094.jpg
b'Seated Imaginary Animal',b'Franz Marc',b'1913',b'DE',https://az334034.vo.msecnd.net/images-4/seated-imaginary-animal-franz-marc-1913-16baf9b4.jpg
b'Dodo with a Feather Hat',b'Ernst Ludwig Kirchner',b'1911',b'DE',https://az334033.vo.msecnd.net/images-5/dodo-with-a-feather-hat-ernst-ludwig-kirchner-1911-84765029.jpg
b'The Gardener',b'Alexej von Jawlensky',b'1912',b'RU',https://az334034.vo.msecnd.net/images-2/the-gardener-alexej-von-jawlensky-1912-d207fec5.jpg
b'Moses Presenting the Tablets of the Law',b'Philippe de Champaigne',b'1648',b'NL',https://az333960.vo.msecnd.net/images-1/moses-presenting-the-tablets-of-the-law-philippe-de-champaigne-1648-1f0b77fa.jpg
b'The Satyrs',b'Charles-Am\xc3\xa9d\xc3\xa9e-Philippe van Loo',b'1761',,https://az334034.vo.msecnd.net/images-7/the-satyrs-charles-amedee-philippe-van-loo-1761-8d30c77a.jpg
|b"View from the Artist's Studio, Le Cannet"|,b'Pierre Bonnard',b'1945',b'FR',https://az333959.vo.msecnd.net/images-6/view-from-the-artist-s-studio-le-cannet-pierre-bonnard-1945-f87bb32a.jpg
b'The Two Majesties',b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1883',b'FR',https://az333959.vo.msecnd.net/images-4/the-two-majesties-jean-leon-gerome-1883-5ccbbde6.jpg
b'The Shepherdess',b'Jean-Honor\xc3\xa9 Fragonard',b'1750',b'FR',https://az333959.vo.msecnd.net/images-2/the-shepherdess-jean-honore-fragonard-1750-60a97cba.jpg
b'City of Workers',b'Hans Baluschek',b'Workers',,https://az333959.vo.msecnd.net/images-5/city-of-workers-hans-baluschek-431ab341.jpg
b'Saint Monica in a Landscape',b'Alexandre Cabanel',b'1845',b'FR',https://az333959.vo.msecnd.net/images-9/saint-monica-in-a-landscape-alexandre-cabanel-1845-01feb734.jpg
b'Boating on the Yerres',b'Gustave Caillebotte',b'1877',b'FR',https://az333959.vo.msecnd.net/images-9/boating-on-the-yerres-gustave-caillebotte-1877-59b04acb.jpg
b'Saint Augustine in His Study',b'Alexandre Cabanel',b'1845',b'FR',https://az334034.vo.msecnd.net/images-9/saint-augustine-in-his-study-alexandre-cabanel-1845-71c1cceb.jpg
b'Three Cuirassiers',b'Henri de Toulouse-Lautrec',b'1879',b'FR',https://az334034.vo.msecnd.net/images-4/three-cuirassiers-henri-de-toulouse-lautrec-1879-4d9b24c6.jpg
|b'Portrait of Margaret, Lady Tufton'|,b'Anthony van Dyck',b'1632',b'NL',https://az333960.vo.msecnd.net/images-2/portrait-of-margaret-lady-tufton-anthony-van-dyck-1632-ed33f5a0.jpg
b'A Young Woman at a Window with a Parrot and a Birdcage',b'Pieter Cornelisz van Slingelandt',b'Birdcage',,https://az333959.vo.msecnd.net/images-4/a-young-woman-at-a-window-with-a-parrot-and-a-birdcage-pieter-cornelisz-van-slingelandt-0f6cac14.jpg
b'Harvest Time in Normandy',b'Jan Monchablon',b'1886',,https://az333959.vo.msecnd.net/images-1/harvest-time-in-normandy-jan-monchablon-1886-a6689a6b.jpg
|b'Near Quilleboeuf, Normandy'|,b'Victor Jean Baptiste Barth\xc3\xa9lemy Binet',b'Normandy',,https://az333959.vo.msecnd.net/images-4/near-quilleboeuf-normandy-victor-jean-baptiste-barthelemy-binet-0f0db59b.jpg
b'The Death of Phocion',b'Charles Brocas',b'1804',,https://az333959.vo.msecnd.net/images-5/the-death-of-phocion-charles-brocas-1804-b18fb836.jpg
b'Ships in a Storm',b'Willem van de Velde the Younger',b'1670',,https://az334034.vo.msecnd.net/images-4/ships-in-a-storm-willem-van-de-velde-the-younger-1670-9317bd79.jpg
b'View of Nijmegen from the Northeast',b'Jan van Goyen',b'1644',b'NL',https://az334034.vo.msecnd.net/images-7/view-of-nijmegen-from-the-northeast-jan-van-goyen-1644-ce8e09a4.jpg
b'Forest Landscape with Figures',b'Narcisse Virgilio D\xc3\xadaz',b'1860',b'FR',https://az333960.vo.msecnd.net/images-1/forest-landscape-with-figures-narcisse-virgilio-diaz-1860-3ba0103d.jpg
