Title,Artist,Year,Country,Thumbnail
b'Portrait of Paris von G\xc3\xbctersloh',b'Egon Schiele',b'1918',b'AT',https://az333959.vo.msecnd.net/images-6/portrait-of-paris-von-gtersloh-1887-1973-egon-schiele-1918-2b555448.jpg
b'Olive Trees',b'Vincent van Gogh',b'1889',b'NL',https://az334033.vo.msecnd.net/images-8/olive-trees-vincent-van-gogh-1889-9148dc52.jpg
b'Young Greeks in the Mosque',b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1865',b'FR',https://az333960.vo.msecnd.net/images-5/young-greeks-in-the-mosque-jean-leon-gerome-1865-6f5a9311.jpg
b'Howling Dog',b'Paul Klee',b'1928',b'CH',https://az333960.vo.msecnd.net/images-6/howling-dog-paul-klee-1928-deb395fb.jpg
b'Nude on a Couch',b'Gustave Caillebotte',b'1880',b'FR',https://useumstorage.blob.core.windows.net/useumdir/blank.gif
b'Portrait of Mlle. Hortense Valpin\xc3\xa7on',b'Edgar Degas',b'1866',b'FR',https://az333959.vo.msecnd.net/images-2/portrait-of-mlle-hortense-valpincon-edgar-degas-1866-d32ebbab.jpg
b'Still Life',b'Juan Gris',b'1917',b'ES',https://az333960.vo.msecnd.net/images-3/still-life-juan-gris-1917-d89510bd.jpg
b'Mademoiselle Lange as Dana\xc3\xab',b'Anne-Louis Girodet de Roussy-Trioson',b'1799',b'FR',https://az334033.vo.msecnd.net/images-1/mademoiselle-lange-as-danae-anne-louis-girodet-de-roussy-trioson-e05d908e.jpg
|b'Portrait of Dorothy Beridge, ne Gladwin (1760-1792)'|,b'Joseph Wright of Derby',b'1777',b'GB',https://az334033.vo.msecnd.net/images-5/portrait-of-dorothy-beridge-ne-gladwin-1760-1792-joseph-wright-of-derby-1777-1d0f43d1.jpg
b'Study for Improvisation V',b'Wassily Kandinsky',b'1910',b'RU',https://az334033.vo.msecnd.net/images-5/study-for-improvisation-v-vasily-kandinsky-1910-271ac30c.jpg
b'The Smoker',b'Edouard Manet',b'1866',b'FR',https://az333959.vo.msecnd.net/images-2/the-smoker-edouard-manet-1866-6bb4f419.jpg
b'Orpheus and Eurydice',b'Maurice Denis',b'1910',b'FR',https://az334033.vo.msecnd.net/images-6/orpheus-and-eurydice-maurice-denis-1910-3c248fd4.jpg
b'Nymphenburg',b'Wassily Kandinsky',b'1904',b'RU',https://az333960.vo.msecnd.net/images-8/nymphenburg-vasily-kandinsky-1904-659ad1e6.jpg
b'Modern Bohemia',b'Ernst Ludwig Kirchner',b'1924',b'DE',https://az334034.vo.msecnd.net/images-4/modern-bohemia-ernst-ludwig-kirchner-1924-465eebda.jpg
b'Blessing of the Tuna Fleet at Groix',b'Paul Signac',b'1923',b'FR',https://az333960.vo.msecnd.net/images-0/blessing-of-the-tuna-fleet-at-groix-paul-signac-1923-b522d7e4.jpg
b'Dance Training',b'Ernst Ludwig Kirchner',b'Training',b'DE',https://az334033.vo.msecnd.net/images-2/dance-training-ernst-ludwig-kirchner-3a809be6.jpg
b'Carcass of Beef',b'Chaim Soutine',b'1925',,https://az333959.vo.msecnd.net/images-1/carcass-of-beef-chaim-soutine-1925-69ff1641.jpg
b'Giardino del Palazzo Vendramin',b'Mart\xc3\xadn Rico',b'Vendramin',b'ES',https://az333960.vo.msecnd.net/images-3/giardino-del-palazzo-vendramin-martin-rico-a8349ff8.jpg
b'Portrait of Mademoiselle Dubois',b'Alfred Stevens',b'1884',b'BE',https://az333960.vo.msecnd.net/images-6/portrait-of-mademoiselle-dubois-alfred-stevens-1884-dc1a3880.jpg
|b'Tamaris, France'|,b'Auguste Renoir',b'France',b'FR',https://az333959.vo.msecnd.net/images-8/tamaris-france-pierre-auguste-renoir-e61483fb.jpg
b'Battledore',b'Albert Joseph Moore',b'1870',b'GB',https://az333959.vo.msecnd.net/images-9/battledore-albert-joseph-moore-f1fe3495.jpg
b'The Pleasures of the Seasons: Winter',b'Johann Georg Platzer',b'Winter',,https://az334034.vo.msecnd.net/images-0/the-pleasures-of-the-seasons-winter-johann-georg-platzer-ffb7a520.jpg
b"The Artist's Mother Opening a Door",b'\xc3\x89douard Vuillard',b'1886',b'FR',https://az333959.vo.msecnd.net/images-8/the-artist-s-mother-opening-a-door-edouard-vuillard-1886-7bd93af7.jpg
b"Jonathan's Token to David",b'Frederic Leighton',b'1868',b'GB',https://az333960.vo.msecnd.net/images-6/jonathan-s-token-to-david-frederic-leighton-1868-d2bcdf03.jpg
b'The Girl from \xc3\x84lvdalen',b'Anders Zorn',b'1911',b'SE',https://az333960.vo.msecnd.net/images-0/the-girl-from-lvdalen-anders-zorn-dd23c03c.jpg
b'Temptation',b'William-Adolphe Bouguereau',b'1880',b'FR',https://az334034.vo.msecnd.net/images-5/temptation-william-adolphe-bouguereau-1880-69c97f50.jpg
b'Portrait of Mlle. Lange as Danae',b'Anne-Louis Girodet de Roussy-Trioson',b'1799',b'FR',https://az333960.vo.msecnd.net/images-4/portrait-of-mlle-lange-as-danae-anne-louis-girodet-de-roussy-trioson-1799-7aa7333b.jpg
