Title,Artist,Year,Country,Thumbnail
b'The Starry Night',b'Vincent van Gogh',b'1889',b'NL',https://az333960.vo.msecnd.net/images-2/the-starry-night-vincent-van-gogh-1889-8dd69f36.jpg
b'The Persistence of Memory',b'Salvador Dal\xc3\xad',b'1931',b'ES',https://az334033.vo.msecnd.net/images-9/the-persistence-of-memory-salvador-dali-1931-4ad23db0.jpg
b'The Olive Trees',b'Vincent van Gogh',b'1889',b'NL',https://az334033.vo.msecnd.net/images-2/the-olive-trees-vincent-van-gogh-1889-f1574f2f.jpg
|b'The Empire of Light, II'|,b'Ren\xc3\xa9 Magritte',b'1950',b'BE',https://az333959.vo.msecnd.net/images-3/the-empire-of-light-ii-rene-magritte-1950-c407b970.jpg
b'The Dream',b'Henri Rousseau',b'1910',b'FR',https://az334034.vo.msecnd.net/images-0/the-dream-henri-rousseau-1910-c19c07dc.jpg
b'The Birth of Venus',b'Odilon Redon',b'1912',b'FR',https://az334033.vo.msecnd.net/images-7/the-birth-of-venus-odilon-redon-1912-c48f33ec.jpg
b'States of Mind II: Those Who Go',b'Umberto Boccioni',b'1911',b'IT',https://az334033.vo.msecnd.net/images-9/states-of-mind-ii-those-who-go-umberto-boccioni-1911-73c20987.jpg
b'Still Life with Three Puppies',b'Paul Gauguin',b'1888',b'FR',https://az333959.vo.msecnd.net/images-2/still-life-with-three-puppies-paul-gauguin-1888-9c6496fa.jpg
b'The Sleeping Gypsy',b'Henri Rousseau',b'1897',b'FR',https://az333959.vo.msecnd.net/images-7/the-sleeping-gypsy-henri-rousseau-1897-7271dd06.jpg
b"Les Demoiselles d'Avignon (The Young Ladies of Avignon)",b'Pablo Picasso',b'1907',b'ES',https://az333959.vo.msecnd.net/images-7/les-demoiselles-d-avignon-the-young-ladies-of-avignon-pablo-picasso-1907-093d81a3.jpg
b'Hope II',b'Gustav Klimt',b'1907',b'AT',https://az333959.vo.msecnd.net/images-8/hope-ii-gustav-klimt-1907-81745455.jpg
b'Dance (I)',b'Henri Matisse',b'1909',b'FR',https://az333960.vo.msecnd.net/images-0/la-danse-henri-matisse-1909-53794706.jpg
b'Frida and Diego Rivera or Frida Kahlo and Diego Rivera',b'Frida Kahlo',b'1931',b'MX',https://az333960.vo.msecnd.net/images-1/frida-and-diego-rivera-or-frida-kahlo-and-diego-rivera-frida-kahlo-1931-1e59f6f2.jpg
b"Christina's World",b'Andrew Wyeth',b'1948',b'US',https://az333960.vo.msecnd.net/images-4/christina-s-world-andrew-wyeth-1948-1-6fc9b2da.jpg
b'One: Number 31',b'Jackson Pollock',b'1950',b'US',https://az334033.vo.msecnd.net/images-4/one-number-31-jackson-pollock-1950-24661011.jpg
b'Chief',b'Franz Kline',b'1950',b'US',https://az334034.vo.msecnd.net/images-5/chief-franz-kline-1950-c2c655bc.jpg
b'Cat and Bird',b'Paul Klee',b'1928',b'CH',https://az333959.vo.msecnd.net/images-3/cat-and-bird-paul-klee-1928-0cf64f54.jpg
b'Heroic strokes of the bow',b'Paul Klee',b'bow',b'CH',https://az333959.vo.msecnd.net/images-9/heroic-strokes-of-the-bow-paul-klee-fe436772.jpg
b'Standard Collage',b'Edward Ruscha',b'1989',b'US',https://az333960.vo.msecnd.net/images-4/standard-collage-edward-ruscha-1989-f925f462.jpg
b'Turning Road at Montgeroult',b'Paul C\xc3\xa9zanne',b'1898',b'FR',https://az333959.vo.msecnd.net/images-0/turning-road-at-montgeroult-paul-cezanne-1898-a89fd721.jpg
b'Empress of India',b'Frank Stella',b'1965',b'US',https://az333960.vo.msecnd.net/images-2/empress-of-india-frank-stella-1965-c0905f97.jpg
|b'Jar, Bottle and Glass'|,b'Juan Gris',b'1911',b'ES',https://az333960.vo.msecnd.net/images-4/jar-bottle-and-glass-juan-gris-1911-422a635c.jpg
b'Street Berlin',b'Ernst Ludwig Kirchner',b'1913',b'DE',https://az334033.vo.msecnd.net/images-2/street-berlin-ernst-ludwig-kirchner-1913-cad42fef.jpg
b'Reclining Nude',b'Amedeo Modigliani',b'1917',b'IT',https://az334034.vo.msecnd.net/images-7/reclining-nude-amedeo-modigliani-1917-09dfdef3.jpg
b'Target with Four Faces',b'Jasper Johns',b'1955',,https://az334034.vo.msecnd.net/images-4/target-with-four-faces-jasper-johns-1955-287ab532.jpg
b'Awning 1',b'Eberhard Havekost',b'2004',b'DE',https://az333960.vo.msecnd.net/images-5/awning-1-eberhard-havekost-2004-8fcd773b.jpg
b'Two Roses on a Tablecloth',b'Edouard Manet',b'Tablecloth',b'FR',https://az334033.vo.msecnd.net/images-7/two-roses-on-a-tablecloth-edouard-manet-fe507cdf.jpg
|b'Pines and Rocks, Fontainebleau'|,b'Paul C\xc3\xa9zanne',b'1897',b'FR',https://az333959.vo.msecnd.net/images-0/pines-and-rocks-fontainebleau-paul-cezanne-1897-5c4191b0.jpg
b'Woman with Pails: Dynamic Arrangement',b'Kazimir Malevich',b'1912',b'RU',https://az333960.vo.msecnd.net/images-8/woman-with-pails-dynamic-arrangement-kazimir-malevich-1912-1-fec5c763.jpg
b'Self-Portrait in a Straw Hat',b'Paul C\xc3\xa9zanne',b'1876',b'FR',https://az334034.vo.msecnd.net/images-2/self-portrait-in-a-straw-hat-paul-cezanne-1875-61503b95.jpg
b'Painterly Architectonic',b'Lyubov Popova',b'1917',b'RU',https://az333960.vo.msecnd.net/images-8/painterly-architectonic-lyubov-popova-1917-f30d9b56.jpg
b'On the Cliff at Pourville Clear Weather',b'Claude Monet',b'1882',b'FR',https://az334034.vo.msecnd.net/images-7/on-the-cliff-at-pourville-clear-weather-claude-monet-1882-23fb3ce8.jpg
b'Washerwomen',b'Paul Gauguin',b'Washerwomen',b'FR',https://az333960.vo.msecnd.net/images-3/washerwomen-paul-gauguin-748cfe38.jpg
b'Opus 217. Against the Enamel of a Background Rhythmic...',b'Paul Signac',b'1890',b'FR',https://az334033.vo.msecnd.net/images-2/opus-217-against-the-enamel-of-a-background-rhythmic-with-beats-and-angles-tones-and-tints-portrait-of-m-felix-feneon-in-1890-paul-signac-1890-ee4bae8b.jpg
b'Portrait of Joseph Roulin',b'Vincent van Gogh',b'1889',b'NL',https://az333959.vo.msecnd.net/images-5/portrait-of-joseph-roulin-vincent-van-gogh-1889-b1f27145.jpg
|b'Channel at Gravelines, Evening, Marine avec des ancres'|,b'Georges Seurat',b'1890',b'FR',https://az334034.vo.msecnd.net/images-2/channel-at-gravelines-evening-marine-avec-des-ancres-georges-seurat-3863a48c.jpg
b'Sand Hills in Engadine',b'Ernst Ludwig Kirchner',b'Engadine',b'DE',https://az333959.vo.msecnd.net/images-4/sand-hills-in-engadine-ernst-ludwig-kirchner-661998eb.jpg
b'Seed of the Areoi',b'Paul Gauguin',b'1892',b'FR',https://az333959.vo.msecnd.net/images-6/seed-of-the-areoi-paul-gauguin-1892-5587fcec.jpg
b'Factory and the Bridge',b'Olga Rozanova',b'1913',b'RU',https://az334034.vo.msecnd.net/images-2/factory-and-the-bridge-olga-rozanova-1913-e96dfcd3.jpg
b'The Storm',b'Edvard Munch',b'1893',b'NO',https://az333960.vo.msecnd.net/images-2/the-storm-edvard-munch-1893-584e8d92.jpg
b'Grey Scrambled Double Square',b'Frank Stella',b'1964',b'US',https://az334034.vo.msecnd.net/images-2/grey-scrambled-double-square-frank-stella-1964-22fb7f5b.jpg
b'Birthday',b'Marc Chagall',b'1915',,https://az334033.vo.msecnd.net/images-3/birthday-marc-chagall-1915-141316bf.png
b'Composition in Oval with Color Planes 1',b'Piet Mondrian',b'1914',b'NL',https://az334033.vo.msecnd.net/images-2/composition-in-oval-with-color-planes-1-piet-mondrian-1914-07d4aee5.jpg
b'Broadway Boogie-Woogie',b'Piet Mondrian',b'1942',b'NL',https://az334034.vo.msecnd.net/images-0/broadway-boogie-woogie-piet-mondrian-1942-01b34ae9.jpg
b'Rhytm of a Russian dance',b'Theo van Doesburg',b'1918',b'NL',https://az333960.vo.msecnd.net/images-6/rhytm-of-a-russian-dance-theo-van-doesburg-1918-e4b4a63e.jpg
b'Anna Zborowska',b'Amedeo Modigliani',b'1917',b'IT',https://az333960.vo.msecnd.net/images-7/anna-zborowska-amedeo-modigliani-1917-681c5b98.jpg
b'Simultaneous Contrasts: Sun and Moon',b'Robert Delaunay',b'1912',b'FR',https://az333959.vo.msecnd.net/images-5/simultaneous-contrasts-sun-and-moon-robert-delaunay-1912-d92715e6.jpg
b'Composition VIII (The Cow)',b'Theo van Doesburg',b'1918',b'NL',https://az333959.vo.msecnd.net/images-3/composition-viii-the-cow-theo-van-doesburg-1918-98477f63.jpg
b'Setting Sun. Sardine Fishing. Adagio. Opus 221 from the...',b'Paul Signac',b'1891',b'FR',https://az333959.vo.msecnd.net/images-0/setting-sun-sardine-fishing-adagio-opus-221-from-the-series-the-sea-the-boats-concarneau-paul-signac-1891-dd9f111a.jpg
b"At the Milliner's",b'Edgar Degas',b'1882',b'FR',https://az333960.vo.msecnd.net/images-8/at-the-milliner-s-edgar-degas-1882-0a927422.jpg
b'Rocks on the Beach',b'Odilon Redon',b'Beach',b'FR',https://az333959.vo.msecnd.net/images-0/rocks-on-the-beach-odilon-redon-8c052950.jpg
b'Black Adder from the V Series',b'Frank Stella',b'1968',b'US',https://az334033.vo.msecnd.net/images-2/black-adder-from-the-v-series-frank-stella-1968-ce9b5480.jpg
