Title,Artist,Year,Country,Thumbnail
b'Os galgos',b'Amadeo de Souza Cardoso',b'galgos',b'PT',https://az334034.vo.msecnd.net/images-3/os-galgos-amadeo-de-souza-cardoso-e2bfa451.jpg
b'Untitled',b'Amadeo de Souza Cardoso',b'1913',b'PT',https://az334034.vo.msecnd.net/images-8/untitled-amadeo-de-souza-cardoso-1913-ec815508.jpg
b'Untitled',b'Amadeo de Souza Cardoso',b'1917',b'PT',https://az333960.vo.msecnd.net/images-1/untitled-amadeo-de-souza-cardoso-1917-c8aec79c.jpg
b'Untitled',b'Dominguez Alvarez',b'1930',,https://az333960.vo.msecnd.net/images-6/untitled-dominguez-alvarez-1930-11816b8e.jpg
b'Head',b'Amadeo de Souza Cardoso',b'1913',b'PT',https://az333959.vo.msecnd.net/images-8/head-amadeo-de-souza-cardoso-1913-c43737ae.jpg
b'Untitled',b'Dominguez Alvarez',b'1929',,https://az334034.vo.msecnd.net/images-9/untitled-dominguez-alvarez-1929-84eb2feb.jpg
|b'Coty, painting by Amadeo de Souza-Cardoso'|,b'Amadeo de Souza Cardoso',b'1917',b'PT',https://az333959.vo.msecnd.net/images-1/coty-painting-by-amadeo-de-souza-cardoso-amadeo-de-souza-cardoso-1917-accccc5b.jpg
b'Untitled',b'Dominguez Alvarez',b'1931',,https://az333960.vo.msecnd.net/images-8/untitled-dominguez-alvarez-1931-dfa69384.jpg
b'The little bright house - Landscape',b'Amadeo de Souza Cardoso',b'1915',b'PT',https://az334034.vo.msecnd.net/images-0/the-little-bright-house-landscape-amadeo-de-souza-cardoso-1915-2bb4f605.jpg
b'Untitled',b'Armando Basto',b'1910',,https://az333959.vo.msecnd.net/images-1/untitled-armando-basto-1910-1265ee39.jpg
b'Untitled',b'Armando Basto',b'2000',,https://az333960.vo.msecnd.net/images-9/untitled-armando-basto-2000-ead22a75.jpg
b'Untitled',b'Dominguez Alvarez',b'1934',,https://az333959.vo.msecnd.net/images-4/untitled-dominguez-alvarez-1934-aa545cfb.jpg
b'Untitled',b'Dominguez Alvarez',b'1930',,https://az333960.vo.msecnd.net/images-9/untitled-dominguez-alvarez-1930-1-7665d876.jpg
