Title,Artist,Year,Country,Thumbnail
b'October',b'James Tissot',b'1877',b'FR',https://az334033.vo.msecnd.net/images-2/untitled-james-tissot-1877-ff1490fb.jpg
b'Portrait of the Artist',b'William-Adolphe Bouguereau',b'1879',b'FR',https://az333959.vo.msecnd.net/images-7/untitled-william-adolphe-bouguereau-1879-8e3ffe62.jpg
b'Salome with the Head of John the Baptist',b'Godfried Schalcken',b'1700',b'NL',https://az333960.vo.msecnd.net/images-0/salome-with-the-head-of-john-the-baptist-godfried-schalcken-1700-43edc3b0.jpg
b'The Great Alley in Giverny',b'Claude Monet',b'1900',b'FR',https://az334033.vo.msecnd.net/images-9/untitled-claude-monet-1900-ccc11055.jpg
b'T\xc3\xaate de jeune fille napolitaine (Head of a young...',b'Auguste Renoir',b'1881',b'FR',https://az334034.vo.msecnd.net/images-2/untitled-pierre-auguste-renoir-1881-2-c8329da8.jpg
b'Landscape with cottages',b'Rembrandt',b'cottages',b'NL',https://az334033.vo.msecnd.net/images-9/landscape-with-cottages-rembrandt-9ad9201d.jpg
b'The Return of the Herd',b'Pieter Brueghel the Younger',b'1620',,https://az334033.vo.msecnd.net/images-5/the-return-of-the-herd-pieter-brueghel-the-younger-1620-d6162b5d.jpg
b'Virgin and Child',b'Master of the Nativity of Castello',b'1445',,https://az334034.vo.msecnd.net/images-6/virgin-and-child-master-of-the-nativity-of-castello-1445-0caa8139.jpg
|b'Fort du Roule, Cherbourg'|,b'Paul Signac',b'1932',b'FR',https://az333959.vo.msecnd.net/images-3/untitled-paul-signac-1932-3a3dd8a7.jpg
b'Crown of Flowers',b'William-Adolphe Bouguereau',b'1884',b'FR',https://az333960.vo.msecnd.net/images-8/crown-of-flowers-william-adolphe-bouguereau-1884-7b1389df.jpg
b"Saint Martin's Summer",b'John Everett Millais',b'1878',b'GB',https://az334034.vo.msecnd.net/images-3/untitled-john-everett-millais-1878-f2d086c5.jpg
b'Peace and Justice',b'Pompeo Batoni',b'1745',,https://az334034.vo.msecnd.net/images-9/peace-and-justice-pompeo-batoni-1745-d42d3820.jpg
b'A Woman tuning a lute',b'Gerard van Honthorst',b'1624',b'NL',https://az333959.vo.msecnd.net/images-2/a-woman-tuning-a-lute-gerard-van-honthorst-1624-b48d80a4.jpg
b'Le Denier de C\xc3\xa9sar',b'Philippe de Champaigne',b'1655',b'NL',https://az333960.vo.msecnd.net/images-4/untitled-philippe-de-champaigne-2-c12fe5e4.jpg
b'Portrait of a Gentleman from the Casa de Leiva',b'El Greco',b'1580',b'GR',https://az334034.vo.msecnd.net/images-7/portrait-of-a-gentleman-from-the-casa-de-leiva-el-greco-cf5517c6.jpg
b'Alexander der Gro\xc3\x9fe und Campaspe im Atelier des Apelles',b'Giovanni Battista Tiepolo',b'1725',b'IT',https://az333959.vo.msecnd.net/images-1/untitled-giovanni-battista-tiepolo-1725-05417ade.jpg
b'Temptation of Saint Hilarion',b'Octave Tassaert',b'1843',,https://az334034.vo.msecnd.net/images-8/temptation-of-saint-hilarion-octave-tassaert-1843-ac75637c.jpg
b'Girls Dancing Around An Obelisk',b'Hubert Robert',b'1798',b'FR',https://az334034.vo.msecnd.net/images-4/girls-dancing-around-an-obelisk-hubert-robert-1798-a7352731.jpg
