Title,Artist,Year,Country,Thumbnail
b'Separation',b'Edvard Munch',b'1896',b'NO',https://az333960.vo.msecnd.net/images-6/separation-edvard-munch-1896-9500c4d8.jpg
b'Madonna',b'Edvard Munch',b'1894',b'NO',https://az333959.vo.msecnd.net/images-7/madonna-edvard-munch-1894-7e24d302.jpg
b'Train Smoke',b'Edvard Munch',b'1900',b'NO',https://az333959.vo.msecnd.net/images-7/train-smoke-edvard-munch-1900-9a03af39.jpg
b'Naked model by the wicker chair',b'Edvard Munch',b'chair',b'NO',https://az334034.vo.msecnd.net/images-1/naked-model-by-the-wicker-chair-edvard-munch-4eeac612.jpg
b'Despair',b'Edvard Munch',b'1894',b'NO',https://az334034.vo.msecnd.net/images-6/despair-edvard-munch-1894-814992ab.jpg
b'Separation',b'Edvard Munch',b'1896',b'NO',https://az334033.vo.msecnd.net/images-4/separation-edvard-munch-1896-1-f21ca31b.jpg
b'Inheritance',b'Edvard Munch',b'1897',b'NO',https://az334034.vo.msecnd.net/images-1/inheritance-edvard-munch-1897-3c90e8a3.jpg
b'Girls watering Flowers (The Linde Frieze)',b'Edvard Munch',b'1904',b'NO',https://az334033.vo.msecnd.net/images-2/girls-watering-flowers-the-linde-frieze-edvard-munch-1904-e1fe3e66.jpg
b'Self-Portrait',b'Edvard Munch',b'1882',b'NO',https://az333960.vo.msecnd.net/images-1/self-portrait-edvard-munch-1882-1-510eb0ed.jpg
b'The Scream',b'Edvard Munch',b'1910',b'NO',https://az333960.vo.msecnd.net/images-9/the-scream-edvard-munch-1910-8805524c.jpg
b'The Kiss',b'Edvard Munch',b'1897',b'NO',https://az334033.vo.msecnd.net/images-9/the-kiss-edvard-munch-1897-408e1275.jpg
b'Cupid and Psyche',b'Edvard Munch',b'1907',b'NO',https://az333960.vo.msecnd.net/images-0/cupid-and-psyche-edvard-munch-1907-d826ff76.jpg
b'Anxiety',b'Edvard Munch',b'1894',b'NO',https://az333960.vo.msecnd.net/images-8/anxiety-edvard-munch-2916633c.jpg
b'Christmas in the Brothel',b'Edvard Munch',b'1904',b'NO',https://az334034.vo.msecnd.net/images-8/christmas-in-the-brothel-edvard-munch-c6c1a6c3.jpg
b'Aase N\xc3\xb8rregaard',b'Edvard Munch',b'1902',b'NO',https://az333960.vo.msecnd.net/images-0/aase-norregaard-edvard-munch-1902-20031aee.jpg
b'Two Women in a Landscape',b'Edvard Munch',b'1897',b'NO',https://az333959.vo.msecnd.net/images-9/two-women-in-a-landscape-edvard-munch-1897-5d0d5219.jpg
b'Starry Night',b'Edvard Munch',b'1922',b'NO',https://az334033.vo.msecnd.net/images-1/starry-night-edvard-munch-1922-53501428.jpg
b'Self-Portrait With a Bottle of Wine',b'Edvard Munch',b'1906',b'NO',https://az334033.vo.msecnd.net/images-0/self-portrait-with-a-bottle-of-wine-edvard-munch-1906-2afa85d2.jpg
b'The Haymaker',b'Edvard Munch',b'1917',b'NO',https://az334033.vo.msecnd.net/images-4/the-haymaker-edvard-munch-1917-3efb2ff4.jpg
b'Self-Portrait with Brushes',b'Edvard Munch',b'1904',b'NO',https://az333959.vo.msecnd.net/images-4/self-portrait-with-brushes-edvard-munch-1904-52cbcbbe.jpg
b'Workers on their Way Home',b'Edvard Munch',b'1913',b'NO',https://az334034.vo.msecnd.net/images-1/workers-on-their-way-home-edvard-munch-1913-7fb6b5cb.jpg
b'Death in the Sickroom',b'Edvard Munch',b'1893',b'NO',https://az333959.vo.msecnd.net/images-2/death-in-the-sickroom-edvard-munch-1893-1-0cc6bb7f.jpg
b'Trees by the Beach (The Linde Frieze)',b'Edvard Munch',b'1904',b'NO',https://az334033.vo.msecnd.net/images-0/trees-by-the-beach-the-linde-frieze-edvard-munch-1904-55c548c7.jpg
b'Red and White',b'Edvard Munch',b'1899',b'NO',https://az334033.vo.msecnd.net/images-5/red-and-white-edvard-munch-1899-6732878f.jpg
b'Four Girls in \xc3\x85sg\xc3\xa5rdstrand',b'Edvard Munch',b'1903',b'NO',https://az334033.vo.msecnd.net/images-5/four-girls-in-asgardstrand-edvard-munch-1903-5a059d15.jpg
b'Desire',b'Edvard Munch',b'1906',b'NO',https://az333960.vo.msecnd.net/images-4/desire-edvard-munch-1906-0ba4ee07.jpg
b'At the Roulette Table in Monte Carlo',b'Edvard Munch',b'1892',b'NO',https://az334034.vo.msecnd.net/images-4/at-the-roulette-table-in-monte-carlo-edvard-munch-1892-23471099.jpg
b'Daniel Jacobsen',b'Edvard Munch',b'1908',b'NO',https://az333960.vo.msecnd.net/images-4/daniel-jacobsen-edvard-munch-1908-68771320.jpg
b'Two Girls with Blue Aprons',b'Edvard Munch',b'1904',b'NO',https://az334033.vo.msecnd.net/images-4/two-girls-with-blue-aprons-edvard-munch-1904-9ae11b00.jpg
b'Beach',b'Edvard Munch',b'1904',b'NO',https://az334033.vo.msecnd.net/images-6/beach-edvard-munch-1904-5dd9a22c.jpg
b'Metabolism',b'Edvard Munch',b'1898',b'NO',https://az334033.vo.msecnd.net/images-7/metabolism-edvard-munch-1898-89a930c9.jpg
b'The Death of Marat',b'Edvard Munch',b'1907',b'NO',https://az334033.vo.msecnd.net/images-8/the-death-of-marat-edvard-munch-1907-7fd6906d.jpg
b'Self-Portrait. Between the Clock and the Bed',b'Edvard Munch',b'1940',b'NO',https://az333960.vo.msecnd.net/images-4/self-portrait-between-the-clock-and-the-bed-edvard-munch-1940-53af3734.jpg
b'Death and Life',b'Edvard Munch',b'1894',b'NO',https://az334033.vo.msecnd.net/images-0/death-and-life-edvard-munch-1894-e30b846f.jpg
b'The Sick Child',b'Edvard Munch',b'1925',b'NO',https://az334034.vo.msecnd.net/images-2/the-sick-child-edvard-munch-1925-7097b976.jpg
b'The House is Burning!',b'Edvard Munch',b'1925',b'NO',https://az333960.vo.msecnd.net/images-7/the-house-is-burning-edvard-munch-1925-956fc14e.jpg
