Title,Artist,Year,Country,Thumbnail
b'Crucifixion',b'Giovanni Bellini',b'1455',b'IT',https://az333959.vo.msecnd.net/images-9/crucifixion-giovanni-bellini-1455-a429f1b4.jpg
b'Two Venetian Ladies',b'Vittore Carpaccio',b'1490',b'IT',https://az333960.vo.msecnd.net/images-8/two-venetian-ladies-vittore-carpaccio-1490-fb0ca01f.jpg
b'Angeli Musicanti',b'Stefano da Verona',b'Musicanti',b'IT',https://az333960.vo.msecnd.net/images-8/angeli-musicanti-stefano-da-verona-17ea2010.jpg
b'Ritratto del Doge Paolo Renier',b'Lodovico Gallina',b'Renier',,https://az334033.vo.msecnd.net/images-4/ritratto-del-doge-paolo-renier-lodovico-gallina-1bc1a098.jpg
b'Crucifixion',b'Hugo van der Goes',b'1470',,https://az334034.vo.msecnd.net/images-7/crucifixion-hugo-van-der-goes-1470-f037390c.jpg
b'Martyrdom of St Mamete',b"Francesco de' Franceschi",b'Mamete',,https://az333960.vo.msecnd.net/images-7/martyrdom-of-st-mamete-francesco-de-franceschi-342c6b81.jpg
b'Madonna col Bambino (Jacobello del Fiore)',b'Jacobello del Fiore',b'1410',,https://az334034.vo.msecnd.net/images-3/madonna-col-bambino-jacobello-del-fiore-jacobello-del-fiore-1410-ddbb949e.jpg
b'Dead Christ Supported by Two Angels',b'Giovanni Bellini',b'1460',b'IT',https://az334034.vo.msecnd.net/images-0/dead-christ-supported-by-two-angels-giovanni-bellini-1460-40b4afc6.jpg
b'Man with Red Hat',b'Vittore Carpaccio',b'1490',b'IT',https://az333960.vo.msecnd.net/images-7/man-with-red-hat-vittore-carpaccio-1490-423f1338.jpg
b'Untitled',b'Giovanni Bellini',b'1455',b'IT',https://az334033.vo.msecnd.net/images-8/untitled-giovanni-bellini-1455-1-e47026d3.jpg
b'Crucifixion',b'Jacopo Bellini',b'Crucifixion',,https://az334033.vo.msecnd.net/images-3/crucifixion-jacopo-bellini-33370d52.jpg
b"La Madonna tra San Giovanni Battista e Sant'Agostino",b'Giovanni Permeniate',b"Sant'Agostino",,https://az334034.vo.msecnd.net/images-7/la-madonna-tra-san-giovanni-battista-e-sant-agostino-giovanni-permeniate-e253c816.jpg
b'San Michele Arcangelo combatte contro Satana',b'Guariento di Arpo',b'Satana',,https://az333959.vo.msecnd.net/images-3/san-michele-arcangelo-combatte-contro-satana-guariento-di-arpo-c2160412.jpg
b'La morte di San Mamante',b"Francesco de' Franceschi",b'Mamante',,https://az334033.vo.msecnd.net/images-6/la-morte-di-san-mamante-francesco-de-franceschi-f8bfadce.jpg
