Title,Artist,Year,Country,Thumbnail
b'The offering',b'Saturnino Herr\xc3\xa1n',b'1913',b'MX',https://az334034.vo.msecnd.net/images-9/the-offering-saturnino-herran-1913-97f0cacf.jpg
b'Saint Francis Xavier',b'Miguel Cabrera',b'1000',b'MX',https://az333959.vo.msecnd.net/images-6/saint-francis-xavier-miguel-cabrera-1000-0bdcfccc.jpg
b'The Conversion of Saint Ignatius Loyola',b'Miguel Cabrera',b'Loyola',b'MX',https://az334033.vo.msecnd.net/images-0/the-conversion-of-saint-ignatius-loyola-miguel-cabrera-b4797670.jpg
b'Christ Consoled by the Angels',b'Juan Patricio Morlete Ruiz',b'Angels',,https://az334034.vo.msecnd.net/images-5/christ-consoled-by-the-angels-juan-patricio-morlete-ruiz-1850c567.jpg
b'The Mystic Betrothal of Saint Rose of Lima',b'Nicol\xc3\xa1s Correa',b'1691',,https://az334034.vo.msecnd.net/images-1/the-mystic-betrothal-of-saint-rose-of-lima-nicolas-correa-1691-8f443f26.jpg
b'The Adoration of the Kings',b'Jos\xc3\xa9 Ju\xc3\xa1rez',b'1655',,https://az333959.vo.msecnd.net/images-8/the-adoration-of-the-kings-jose-juarez-1655-ebc7e330.jpg
b'The Burial of Christ',b'Baltasar de Echave y Rioja',b'1665',,https://az334034.vo.msecnd.net/images-0/the-burial-of-christ-baltasar-de-echave-y-rioja-1665-c6a677ee.jpg
b'The Bedroom',b'Jos\xc3\xa9 Clemente Orozco',b'1910',,https://az334033.vo.msecnd.net/images-9/the-bedroom-jose-clemente-orozco-1910-d6434281.jpg
b'The Miracle of the Little Spring',b'Rafael Ximeno y Planes',b'1809',,https://az333959.vo.msecnd.net/images-1/the-miracle-of-the-little-spring-rafael-ximeno-y-planes-1809-d9f45e6c.jpg
b'The Virgin of the Apocalypse',b'Miguel Cabrera',b'1760',b'MX',https://az333960.vo.msecnd.net/images-0/the-virgin-of-the-apocalypse-miguel-cabrera-1760-09c131be.jpg
b'Altarpiece of the Virgin of Guadalupe with Saint John the...',b'Miguel Cabrera',b'the...',b'MX',https://az334033.vo.msecnd.net/images-9/altarpiece-of-the-virgin-of-guadalupe-with-saint-john-the-baptist-fray-juan-de-zumarraga-and-juan-diego-miguel-cabrera-4d9087fe.jpg
b'Saint Ignatius Loyola',b'Miguel Cabrera',b'Loyola',b'MX',https://az334033.vo.msecnd.net/images-1/saint-ignatius-loyola-miguel-cabrera-eec2eb56.jpg
b'The Divine Shepherdess',b'Miguel Cabrera',b'Shepherdess',b'MX',https://az333960.vo.msecnd.net/images-9/the-divine-shepherdess-miguel-cabrera-745d4731.jpg
b'Allegory of the Virgin Patroness of the Dominicans',b'Miguel Cabrera',b'Dominicans',b'MX',https://az334033.vo.msecnd.net/images-7/allegory-of-the-virgin-patroness-of-the-dominicans-miguel-cabrera-b113de57.jpg
b'The Resurrection of Christ',b'Alonso L\xc3\xb3pez de Herrera',b'1625',,https://az333959.vo.msecnd.net/images-2/the-resurrection-of-christ-alonso-lopez-de-herrera-1625-ef31145d.jpg
b'The Inmaculate Conception with Jesuits',b'Juan Francisco de Aguilera',b'1720',,https://az333959.vo.msecnd.net/images-7/the-inmaculate-conception-with-jesuits-juan-francisco-de-aguilera-1720-a54fe47e.jpg
b'Roman Charity',b'Luis Monroy',b'1873',,https://az334033.vo.msecnd.net/images-7/roman-charity-luis-monroy-1873-47891c48.jpg
b'Flora and Fauna from the Miocene Cenozoic Period',b'Jos\xc3\xa9 Mar\xc3\xada Velasco G\xc3\xb3mez Obreg\xc3\xb3n',b'Period',,https://az333959.vo.msecnd.net/images-8/flora-and-fauna-from-the-miocene-cenozoic-period-jose-maria-velasco-gomez-obregon-53ef2df1.jpg
b'Puebla Kitchen',b'Anonymous',b'Kitchen',,https://az334034.vo.msecnd.net/images-8/puebla-kitchen-anonymous-23366554.jpg
b'The Betrothal of the Virgin',b'Sebasti\xc3\xa1n L\xc3\xb3pez de Arteaga',b'Virgin',,https://az334034.vo.msecnd.net/images-1/the-betrothal-of-the-virgin-sebastian-lopez-de-arteaga-4e46de90.jpg
b'Saint Alexius',b'Jos\xc3\xa9 Ju\xc3\xa1rez',b'1653',,https://az333960.vo.msecnd.net/images-0/saint-alexius-jose-juarez-1653-7b40fca1.jpg
b'The Martyrdom of Saint Apronianus',b'Baltasar de Echave Orio',b'1612',,https://az333960.vo.msecnd.net/images-4/the-martyrdom-of-saint-apronianus-baltasar-de-echave-orio-1612-bf5ea9f2.jpg
|b'The Child, Joaqu\xc3\xadn Manuel Fern\xc3\xa1ndez de Santa Cruz'|,b'Nicol\xc3\xa1s Rodr\xc3\xadguez Ju\xc3\xa1rez',b'Cruz',,https://az333959.vo.msecnd.net/images-5/the-child-joaquin-manuel-fernandez-de-santa-cruz-nicolas-rodriguez-juarez-4207ea6f.jpg
b'The Virgin of the Carmen with Saint Theresa and Saint...',b'Juan Rodr\xc3\xadguez Ju\xc3\xa1rez',b'Saint...',,https://az334033.vo.msecnd.net/images-5/the-virgin-of-the-carmen-with-saint-theresa-and-saint-john-of-the-cross-juan-rodriguez-juarez-e597593c.jpg
b'Self-portrait',b'Juan Rodr\xc3\xadguez Ju\xc3\xa1rez',b'Self-portrait',,https://az333960.vo.msecnd.net/images-6/self-portrait-juan-rodriguez-juarez-f6964e2f.jpg
b'The Assumption of the Virgin',b'Alonso L\xc3\xb3pez de Herrera',b'1625',,https://az333960.vo.msecnd.net/images-0/the-assumption-of-the-virgin-alonso-lopez-de-herrera-1625-b3c6808c.jpg
