Title,Artist,Year,Country,Thumbnail
b'Evening Mood',b'William-Adolphe Bouguereau',b'1882',b'FR',https://az333959.vo.msecnd.net/images-8/evening-mood-william-adolphe-bouguereau-1882-df1c3010.jpg
b'Innocence',b'William-Adolphe Bouguereau',b'1891',b'FR',https://az333959.vo.msecnd.net/images-4/innocence-william-adolphe-bouguereau-1891-a16dbd4c.jpg
b'The Martyrdom of Saint Ursula',b'Fran\xc3\xa7ois de Nom\xc3\xa9',b'1650',,https://az333960.vo.msecnd.net/images-9/the-martyrdom-of-saint-ursula-francois-de-nome-1650-ab414c9e.jpg
b'La Plaza partida',b'Lucas Vel\xc3\xa1zquez',b'1853',,https://az333959.vo.msecnd.net/images-9/la-plaza-partida-lucas-velazquez-1853-e23c2700.jpg
b'Portrait of the Duke of Orl\xc3\xa9ans',b'Jean-Auguste-Dominique Ingres',b'1830',b'FR',https://az334033.vo.msecnd.net/images-8/portrait-of-the-duke-of-orleans-jean-auguste-dominique-ingres-1830-4a65d5ce.jpg
b'La Ola',b'Gustave Courbet',b'Ola',b'FR',https://az333959.vo.msecnd.net/images-8/la-ola-gustave-courbet-7ed525ee.jpg
b'Brunoy: On the way to the farm',b'Jean-Baptiste Camille Corot',b'farm',,https://az333960.vo.msecnd.net/images-6/brunoy-on-the-way-to-the-farm-jean-baptiste-camille-corot-462b1d71.jpg
b'El Amor vencido por la Castidad',b'Fran\xc3\xa7ois G\xc3\xa9rard',b'Castidad',b'FR',https://az333960.vo.msecnd.net/images-3/el-amor-vencido-por-la-castidad-francois-pascal-simon-gerard-baron-4ba5aaaa.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1855',b'FR',https://az333960.vo.msecnd.net/images-2/untitled-jean-baptiste-camille-corot-1855-43d0b9ca.jpg
b'Family meeting',b'Willem van Mieris',b'meeting',,https://az334033.vo.msecnd.net/images-0/family-meeting-willem-van-mieris-86c37666.jpg
b'Gran corrida de toros y cuca\xc3\xb1a',b'Lucas Vel\xc3\xa1zquez',b'1860',,https://az334033.vo.msecnd.net/images-7/gran-corrida-de-toros-y-cucana-lucas-velazquez-1860-2dac6df5.jpg
|b'Chelsea College, the Rotonda, Ranelagh House and the Thames'|,b'Canaletto',b'1751',b'IT',https://az333959.vo.msecnd.net/images-4/chelsea-college-the-rotonda-ranelagh-house-and-the-thames-canaletto-1751-cdcb935e.jpg
b'The Tower of Babel',b'Jacob Grimmer',b'1550',,https://az333959.vo.msecnd.net/images-0/the-tower-of-babel-jacob-grimmer-1550-66069892.jpg
b'Italian Scene',b'Nicolaes Pieterszoon Berchem',b'1650',,https://az334033.vo.msecnd.net/images-4/italian-scene-nicolaes-pieterszoon-berchem-1650-2381c975.jpg
b'Shipwrecked',b'Fran\xc3\xa7ois-Auguste Biard',b'1882',,https://az334034.vo.msecnd.net/images-8/shipwrecked-francois-auguste-biard-1882-ed240b5a.jpg
b'La ninfa',b'Henri Fantin-Latour',b'ninfa',b'FR',https://az333959.vo.msecnd.net/images-9/la-ninfa-henri-fantin-latour-1275d798.jpg
b'Los robles',b'Henri Harpignies',b'1905',,https://az333960.vo.msecnd.net/images-4/los-robles-henri-harpignies-1905-1f86d46e.jpg
b'Retrato de Sarah Bernhardt',b'Georges Clairin',b'1893',,https://az333959.vo.msecnd.net/images-4/retrato-de-sarah-bernhardt-georges-clairin-1893-8ddd9e2c.jpg
