Title,Artist,Year,Country,Thumbnail
b'Judith Slaying Holofernes',b'Artemisia Gentileschi',b'1611',b'IT',https://az333959.vo.msecnd.net/images-6/judith-slaying-holofernes-artemisia-gentileschi-1611-1a31c076.jpg
b'A Boy Blowing on an Ember to Light a Candle (Sopl\xc3\xb3n)',b'El Greco',b'1572',b'GR',https://az333959.vo.msecnd.net/images-6/untitled-el-greco-1571-0cd2bdff.jpg
b'The Choice of Hercules',b'Annibale Carracci',b'1596',b'IT',https://az334034.vo.msecnd.net/images-7/the-choice-of-hercules-annibale-carracci-1596-dbb7d6e2.jpg
b'Portrait of Pope Paul III',b'Titian',b'1545',b'IT',https://az333960.vo.msecnd.net/images-6/portrait-of-pope-paul-iii-titian-1545-baebdf71.jpg
b'Giulio Clovia',b'El Greco',b'1572',b'GR',https://az333959.vo.msecnd.net/images-9/giulio-clovia-el-greco-1571-fbe8a288.jpg
b'Self-portrait at the Spinnet',b'Sofonisba Anguissola',b'Spinnet',,https://az333959.vo.msecnd.net/images-0/self-portrait-at-the-spinnet-sofonisba-anguissola-f8bc1422.jpg
b'Ulysses at the court of Alcinous',b'Francesco Hayez',b'1815',b'IT',https://az334033.vo.msecnd.net/images-2/ulysses-at-the-court-of-alcinous-francesco-hayez-1815-50812b55.jpg
b'Madonna of Divine Love',b'Raphael',b'1516',b'IT',https://az333960.vo.msecnd.net/images-8/madonna-of-divine-love-raphael-1516-79d7e243.jpg
b'Saint Sebastian',b'Mattia Preti',b'1657',,https://az333959.vo.msecnd.net/images-4/saint-sebastian-mattia-preti-1657-12b9808e.jpg
b'Saint Jerome in His Study',b'Niccol\xc3\xb2 Antonio Colantonio',b'1444',,https://az333960.vo.msecnd.net/images-2/saint-jerome-in-his-study-niccolo-antonio-colantonio-1444-46c05677.jpg
b'The Flagellation of Christ',b'Michelangelo Merisi da Caravaggio',b'1607',b'IT',https://az333959.vo.msecnd.net/images-5/the-flagellation-of-christ-caravaggio-1607-f87c5af7.jpg
