Title,Artist,Year,Country,Thumbnail
b'La casa de Collette en Cagnes',b'Auguste Renoir',b'Cagnes',b'FR',https://az334033.vo.msecnd.net/images-8/untitled-pierre-auguste-renoir-5-045c05b8.jpg
b'Lamentation of Christ',b'Tintoretto',b'1555',,https://az333959.vo.msecnd.net/images-7/lamentation-of-christ-tintoretto-1555-206230ff.jpg
b'Ad\xc3\xa1n y Eva',b'Lucas Cranach the Elder',b'Eva',b'DE',https://az334033.vo.msecnd.net/images-7/untitled-lucas-cranach-the-elder-2-7d2e80d9.jpg
b'Saint Peter in Tears (detail)',b'El Greco',b'1596',b'GR',https://az333959.vo.msecnd.net/images-4/untitled-el-greco-1587-4cbe798c.jpg
|b'Venecia, Puente de Rialto'|,b'Giorgio de Chirico',b'Rialto',b'IT',https://az333959.vo.msecnd.net/images-3/venecia-puente-de-rialto-giorgio-de-chirico-93eed687.jpg
b'Portrait of a girl',b'Auguste Renoir',b'girl',b'FR',https://az334034.vo.msecnd.net/images-7/untitled-pierre-auguste-renoir-43555f5f.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1873',b'FR',https://az334034.vo.msecnd.net/images-4/untitled-jean-baptiste-camille-corot-1873-3-87350c28.jpg
b'Retrato de Jean Renoir',b'Auguste Renoir',b'Renoir',b'FR',https://az333960.vo.msecnd.net/images-4/untitled-pierre-auguste-renoir-9-5721849b.jpg
b'Cottage with a Peasant Coming Back Home',b'Vincent van Gogh',b'1885',b'NL',https://az333959.vo.msecnd.net/images-5/untitled-vincent-van-gogh-1885-aa515154.jpg
b'Puerto mediterr\xc3\xa1neo',b'Claude-Joseph Vernet',b'mediterr\xc3\xa1neo',b'FR',https://az334033.vo.msecnd.net/images-2/untitled-claude-joseph-vernet-caa701f7.jpg
b'Mary Magalene as Melancholy',b'Artemisia Gentileschi',b'Melancholy',b'IT',https://az334033.vo.msecnd.net/images-0/mary-magalene-as-melancholy-artemisia-gentileschi-23de76dc.jpg
b'The Typographer (Pedro)',b'Amedeo Modigliani',b'(Pedro)',b'IT',https://az333960.vo.msecnd.net/images-8/untitled-amedeo-modigliani-12-65a8e601.jpg
b'Saint Peter',b'Jusepe de Ribera',b'Peter',b'ES',https://az333959.vo.msecnd.net/images-6/untitled-jusepe-de-ribera-8-3d82de06.jpg
b'Peatery in Drenthe',b'Vincent van Gogh',b'1883',b'NL',https://az333960.vo.msecnd.net/images-9/peatery-in-drenthe-vincent-van-gogh-1883-c09a7684.jpg
b'A Bearded Man',b'Peter Paul Rubens',b'Man',b'NL',https://az333959.vo.msecnd.net/images-7/a-bearded-man-peter-paul-rubens-806264ca.jpg
b'Cupido y Psique',b'Trophime Bigot',b'1638',,https://az333959.vo.msecnd.net/images-9/untitled-trophime-bigot-1638-29d4491e.jpg
b'La Virgen y el Ni\xc3\xb1o en un nicho',b'Sandro Botticelli',b'1477',b'IT',https://az334033.vo.msecnd.net/images-6/untitled-sandro-botticelli-1-90c3e6c7.jpg
b'Shepherd with a Flock of Sheep',b'Vincent van Gogh',b'1884',b'NL',https://az333959.vo.msecnd.net/images-4/untitled-vincent-van-gogh-7-88a1337e.jpg
b'Paris: Boulevard at Night',b'Maximilien Luce',b'1893',,https://az334033.vo.msecnd.net/images-3/paris-boulevard-at-night-maximilien-luce-1893-65fc24d2.jpg
b'Desnudo extendido',b'Henri Lebasque',b'1923',,https://az333960.vo.msecnd.net/images-6/desnudo-extendido-henri-lebasque-1923-2439129b.jpg
b'Untitled',b'Anonymous',b'Untitled',,https://az334034.vo.msecnd.net/images-5/untitled-anonymous-217-20cb0035.jpg
b'Family of General Don Felipe Codallos',b'Agust\xc3\xadn Arrieta',b'Codallos',,https://az334034.vo.msecnd.net/images-6/family-of-general-don-felipe-codallos-agustin-arrieta-a73ddd8a.jpg
b"La Viga's walk",b'Pedro de Villegas Marmolejo',b'1642',,https://az333959.vo.msecnd.net/images-2/la-viga-s-walk-pedro-de-villegas-marmolejo-1642-78499115.jpg
b'The feast of the bulls in the Cathedral of San Marcos',b'Giovanni Battista Cimaroli',b'1740',,https://az334033.vo.msecnd.net/images-1/the-feast-of-the-bulls-in-the-cathedral-of-san-marcos-giovanni-battista-cimaroli-1740-566e55a2.jpg
|b'La Virgen, quien adora al Ni\xc3\xb1o dormido'|,b'Giovanni Battista Salvi da Sassoferrato',b'1650',,https://az334034.vo.msecnd.net/images-1/la-virgen-quien-adora-al-nino-dormido-giovanni-battista-salvi-da-sassoferrato-1650-3e601502.jpg
b'Saint Lucy',b'Artemisia Gentileschi',b'1642',b'IT',https://az334034.vo.msecnd.net/images-0/saint-lucy-artemisia-gentileschi-1642-2957021c.jpg
b'Madonna and Child',b'Davide Ghirlandaio',b'1490',,https://az333960.vo.msecnd.net/images-8/madonna-and-child-davide-ghirlandaio-1490-6541c0cf.jpg
b'Madonna and Child with the Infant St John the Baptist',b'Francesco Botticini',b'Baptist',,https://az334033.vo.msecnd.net/images-4/madonna-and-child-with-the-infant-st-john-the-baptist-francesco-botticini-32ddebbc.jpg
b'Saint Apollonia',b'Artemisia Gentileschi',b'1642',b'IT',https://az333959.vo.msecnd.net/images-0/saint-apollonia-artemisia-gentileschi-1642-35e42bbd.jpg
