Title,Artist,Year,Country,Thumbnail
b'The Naked Maja',b'Francisco de Goya',b'1800',b'ES',https://az334034.vo.msecnd.net/images-9/the-nude-maja-la-maja-desnuda-francisco-goya-1800-fcaec258.jpg
b'Despu\xc3\xa9s del ba\xc3\xb1o',b'Raimundo de Madrazo y Garreta',b'1895',b'ES',https://az334034.vo.msecnd.net/images-2/despues-del-bano-raimundo-de-madrazo-y-garreta-1895-df71225e.jpg
b'Archduke Leopold Wilhelm in his Gallery',b'David Teniers the Younger',b'1651',b'NL',https://az334033.vo.msecnd.net/images-4/archduke-leopold-wilhelm-in-his-gallery-david-teniers-the-younger-1651-1-b845ea0c.jpg
|b'Venus, Adonis and Cupid'|,b'Annibale Carracci',b'1590',b'IT',https://az333960.vo.msecnd.net/images-1/venus-adonis-and-cupid-annibale-carracci-1590-3d646876.jpg
b'Coronation of the Virgin',b'Diego Vel\xc3\xa1zquez',b'1635',b'ES',https://az334034.vo.msecnd.net/images-4/coronation-of-the-virgin-diego-velazquez-1635-3e2fa3d5.jpg
b'Madonna with the Fish',b'Raphael',b'1513',b'IT',https://az333959.vo.msecnd.net/images-3/madonna-with-the-fish-raphael-1513-5f101556.jpg
b'Mars Resting',b'Diego Vel\xc3\xa1zquez',b'1640',b'ES',https://az334034.vo.msecnd.net/images-2/mars-resting-diego-velazquez-1640-ea8ad9ec.jpg
b'Madonna of the Pomegranate',b'Fra Angelico',b'1426',b'IT',https://az334033.vo.msecnd.net/images-9/madonna-of-the-pomegranate-fra-angelico-1-ec336e6d.jpg
b'Saturn Devouring His Son',b'Francisco de Goya',b'1819',b'ES',https://az334034.vo.msecnd.net/images-7/saturn-devouring-his-son-francisco-de-goya-1819-11dadfd5.jpg
b'The Fall of Man (Titian)',b'Titian',b'1550',b'IT',https://az333960.vo.msecnd.net/images-2/the-fall-of-man-titian-titian-1550-3e893da2.jpg
b'The Pentecost',b'El Greco',b'1600',b'GR',https://az333960.vo.msecnd.net/images-3/untitled-el-greco-91-138a230d.jpg
b'Virgin and Child with a Rosary',b'Bartolom\xc3\xa9 Esteban Murillo',b'1655',b'ES',https://az333960.vo.msecnd.net/images-6/untitled-bartolome-esteban-murillo-1650-b2c5867a.jpg
b'The Annunciation',b'El Greco',b'1600',b'GR',https://az334034.vo.msecnd.net/images-6/the-annunciation-el-greco-1597-9d2d606b.jpg
b'The Fall of Man',b'Peter Paul Rubens',b'1599',b'NL',https://az334033.vo.msecnd.net/images-4/the-fall-of-man-peter-paul-rubens-1599-3d140078.jpg
b'Fable',b'El Greco',b'1580',b'GR',https://az334033.vo.msecnd.net/images-4/untitled-el-greco-69-6737195d.jpg
b'The Adoration of the Shepherds',b'El Greco',b'1614',b'GR',https://az333960.vo.msecnd.net/images-1/the-adoration-of-the-shepherds-el-greco-1612-9aff5907.jpg
b'The Colossus',b'Francisco de Goya',b'1825',b'ES',https://az333960.vo.msecnd.net/images-3/the-colossus-francisco-de-goya-1808-90eb10de.jpg
b'Chicos en la playa',b'Joaquin Sorolla y Bastida',b'1910',b'ES',https://az333960.vo.msecnd.net/images-2/chicos-en-la-playa-joaquin-sorolla-1910-00501507.jpg
b'The Seven Deadly Sins and the Four Last Things',b'Hieronymus Bosch',b'1500',b'NL',https://az333960.vo.msecnd.net/images-7/the-seven-deadly-sins-and-the-four-last-things-hieronymus-bosch-1500-33f2131d.jpg
b'The Triumph of Death',b'Pieter Brueghel the Elder',b'1562',b'NL',https://az333960.vo.msecnd.net/images-8/the-triumph-of-death-pieter-brueghel-the-elder-1562-8d3dc0af.jpg
b'The Rape of Europa',b'Peter Paul Rubens',b'1620',b'NL',https://az333959.vo.msecnd.net/images-0/the-rape-of-europa-peter-paul-rubens-1620-f577b1b1.jpg
b'San Benito de Nursia',b'El Greco',b'1579',b'GR',https://az333959.vo.msecnd.net/images-0/untitled-el-greco-1577-3-b9d52914.jpg
b'The Annunciation',b'El Greco',b'1570',b'GR',https://az333960.vo.msecnd.net/images-8/untitled-el-greco-1570-2-15a161c7.jpg
b'The Flight into Egypt',b'El Greco',b'1570',b'GR',https://az333959.vo.msecnd.net/images-9/untitled-el-greco-1570-3d6c7874.jpg
b'The Rape of Ganymede',b'Peter Paul Rubens',b'1636',b'NL',https://az334034.vo.msecnd.net/images-0/the-rape-of-ganymede-peter-paul-rubens-1636-97a623de.jpg
b'The Holy Family',b'Francisco de Goya',b'1775',b'ES',https://az333960.vo.msecnd.net/images-9/the-holy-family-francisco-de-goya-1775-85ba56a2.jpg
b'Venus and Adonis',b'Paolo Veronese',b'1580',b'IT',https://az333959.vo.msecnd.net/images-3/venus-and-adonis-paolo-veronese-1580-9fcd659c.jpg
b'Portrait of a Doctor',b'El Greco',b'1585',b'GR',https://az334033.vo.msecnd.net/images-9/portrait-of-a-doctor-el-greco-1585-7fd93a83.jpg
b'Saint Thomas',b'El Greco',b'1614',b'GR',https://az334034.vo.msecnd.net/images-7/untitled-el-greco-1608-4-4758212a.jpg
b'Saint George and the Dragon',b'Peter Paul Rubens',b'1605',b'NL',https://az334034.vo.msecnd.net/images-3/saint-george-and-the-dragon-peter-paul-rubens-1605-ed502213.jpg
b'Portrait of a Gentleman',b'El Greco',b'1605',b'GR',https://az334033.vo.msecnd.net/images-0/untitled-el-greco-1603-1-8a1af3bd.jpg
b'The Duchess of Alba and La Beata',b'Francisco de Goya',b'1795',b'ES',https://az334034.vo.msecnd.net/images-6/untitled-francisco-de-goya-1795-75aa5fb2.jpg
b'Juli\xc3\xa1n Romero de las Azanas and his Patron Saint',b'El Greco',b'1618',b'GR',https://az334033.vo.msecnd.net/images-1/untitled-el-greco-1612-5ba4cb07.jpg
|b'The Senses of Hearing, Touch and Taste'|,b'Jan Brueghel the Elder',b'1618',b'BE',https://az333959.vo.msecnd.net/images-5/the-senses-of-hearing-touch-and-taste-jan-brueghel-the-elder-1618-5eef93d6.jpg
|b'Saint Anthony Abbot and St. Paul, the first hermit'|,b'Diego Vel\xc3\xa1zquez',b'1634',b'ES',https://az334034.vo.msecnd.net/images-1/saint-anthony-abbot-and-st-paul-the-first-hermit-diego-velazquez-1634-7fa3e902.jpg
b'Rodrigo V\xc3\xa1zquez de Arce',b'El Greco',b'1590',b'GR',https://az334033.vo.msecnd.net/images-9/untitled-el-greco-1587-1-51dfd6eb.jpg
b"Witches' Flight",b'Francisco de Goya',b'Flight',b'ES',https://az333960.vo.msecnd.net/images-4/witches-flight-francisco-de-goya-16d6784e.jpg
b'The Judgment of Paris',b'Peter Paul Rubens',b'1606',b'NL',https://az334034.vo.msecnd.net/images-7/the-judgment-of-paris-peter-paul-rubens-1606-62e27fa9.jpg
b'Adoration of the Magi',b'El Greco',b'Magi',b'GR',https://az334033.vo.msecnd.net/images-3/untitled-el-greco-56-295a4665.jpg
b'The Milkmaid of Bordeaux',b'Francisco de Goya',b'1827',b'ES',https://az333960.vo.msecnd.net/images-9/the-milkmaid-of-bordeaux-francisco-de-goya-1827-5a6a801b.jpg
b'Nude Old Man in the Sun',b'Mari\xc3\xa0 Fortuny',b'1871',b'ES',https://az333959.vo.msecnd.net/images-5/nude-old-man-in-the-sun-maria-fortuny-1871-d1bfddda.jpg
b'The Holy Family with a Lamb',b'Raphael',b'1507',b'IT',https://az334034.vo.msecnd.net/images-7/the-holy-family-with-a-lamb-raphael-1507-2ea81c5f.jpg
b'Christ the Saviour',b'El Greco',b'1614',b'GR',https://az334034.vo.msecnd.net/images-7/untitled-el-greco-1608-3-a7b117db.jpg
b'Paradise and Hell',b'Hieronymus Bosch',b'Hell',b'NL',https://az334034.vo.msecnd.net/images-4/paradise-and-hell-hieronymus-bosch-877113fd.jpg
b'Portrait of Francisco Lezcano',b'Diego Vel\xc3\xa1zquez',b'1635',b'ES',https://az333959.vo.msecnd.net/images-9/portrait-of-francisco-lezcano-diego-velazquez-1635-72e242c5.jpg
b'The Coronation of the Virgin',b'El Greco',b'1592',b'GR',https://az334034.vo.msecnd.net/images-8/untitled-el-greco-45-b419514a.jpg
b'Men Reading',b'Francisco de Goya',b'1819',b'ES',https://az334034.vo.msecnd.net/images-4/men-reading-francisco-de-goya-1819-bfa0be01.jpg
b'San Francisco de As\xc3\xads en \xc3\xa9xtasis',b'El Greco',b'17',b'GR',https://az333959.vo.msecnd.net/images-8/untitled-el-greco-1600-1-0421ac85.jpg
b'San Juan Evangelista y san Francisco de As\xc3\xads',b'El Greco',b'1600',b'GR',https://az334033.vo.msecnd.net/images-5/untitled-el-greco-84-8e669d6b.jpg
b'Untitled',b'Parmigianino',b'1524',b'IT',https://az333960.vo.msecnd.net/images-4/untitled-parmigianino-1524-c3c5af7e.jpg
b'Portrait of Federico II Gonzaga',b'Titian',b'1529',b'IT',https://az334034.vo.msecnd.net/images-6/portrait-of-federico-ii-gonzaga-titian-1529-84860284.jpg
b"Le Cardinal-infant Fernando d'Autriche chasseur",b'Diego Vel\xc3\xa1zquez',b'1634',b'ES',https://az333960.vo.msecnd.net/images-7/untitled-diego-velazquez-1634-1-c5aae5b0.jpg
b'Saint John the Evangelist',b'El Greco',b'1605',b'GR',https://az334033.vo.msecnd.net/images-5/untitled-el-greco-1609-3-484c3f33.jpg
b'The Empress Do\xc3\xb1a Margarita de Austria in Mourning Dress ...',b'Juan Bautista Mart\xc3\xadnez del Mazo',b'1665',,https://az333960.vo.msecnd.net/images-1/the-empress-dona-margarita-de-austria-in-mourning-dress-juan-bautista-martinez-del-mazo-1665-a4ae8c43.jpg
|b'The Spinners, or the Fable of Arachne'|,b'Diego Vel\xc3\xa1zquez',b'1660',b'ES',https://az333960.vo.msecnd.net/images-9/las-hilanderas-diego-velazquez-1650-73f62a96.jpg
b'Christ Carrying the Cross',b'El Greco',b'1602',b'GR',https://az333960.vo.msecnd.net/images-6/untitled-el-greco-1597-5-7e292e2c.jpg
b"Joseph and Potiphar's Wife",b'Tintoretto',b'1555',,https://az333960.vo.msecnd.net/images-4/joseph-and-potiphar-s-wife-tintoretto-1555-622d7953.jpg
b'Hippomenes and Atalanta',b'Guido Reni',b'1618',b'IT',https://az333960.vo.msecnd.net/images-6/hippomenes-and-atalanta-guido-reni-1618-77c2f610.jpg
b'Madonna and Child with the Young Saint John',b'Antonio da Correggio',b'John',b'IT',https://az333959.vo.msecnd.net/images-4/madonna-and-child-with-the-young-saint-john-antonio-da-correggio-b37cc599.jpg
